iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
HR013,HU004,3,Nycticorax nycticorax,15.7,45.6167,10000,17.2166,46.6666,12072
HU004,RU179,2,Nycticorax nycticorax,17.2166,46.6666,12072,48.5,46,1150000
HU004,IT062,2,Nycticorax nycticorax,17.2166,46.6666,12072,13.3167,45.75,32815
BA001,HU004,2,Nycticorax nycticorax,17.7667,43.05,6144,17.2166,46.6666,12072
HR005,HU004,2,Nycticorax nycticorax,18.1667,45.6667,41384,17.2166,46.6666,12072
HR023,HU004,2,Nycticorax nycticorax,17.55,42.95,11500,17.2166,46.6666,12072
HR001,HU004,2,Nycticorax nycticorax,18.8333,45.6667,37111,17.2166,46.6666,12072
ES200,FR241,1,Nycticorax nycticorax,-4.5667,39.9167,4,4.9,43.7333,21800
HU004,IT060,1,Nycticorax nycticorax,17.2166,46.6666,12072,12.25,45.6667,50
ES055,ES200,1,Nycticorax nycticorax,-4.3,41.0167,11500,-4.5667,39.9167,4
ES046,ES137,1,Nycticorax nycticorax,-2.75,42.0833,142000,3.1167,42.2,5454
ES072,ES194,1,Nycticorax nycticorax,-3.6667,40,18000,-3.5,39.6667,128000
FR159,FR162,1,Nycticorax nycticorax,5.0167,46.0333,79800,4.8667,44.7667,2100
ES200,ES281,1,Nycticorax nycticorax,-4.5667,39.9167,4,-5,39,66000
ES138,ES140,1,Nycticorax nycticorax,3.2167,42.0333,21,2.1333,41.2667,2200
BE006,FR064,1,Nycticorax nycticorax,3.35,51.3333,1820,1.5833,50.8667,8950
HU004,IT150,1,Nycticorax nycticorax,17.2166,46.6666,12072,15.75,38.2167,19750
BE006,FR176,1,Nycticorax nycticorax,3.35,51.3333,1820,-1.1167,44.6667,20100
GR067,HU004,1,Nycticorax nycticorax,20.9,39.8,46500,17.2166,46.6666,12072
IT003,IT010,1,Nycticorax nycticorax,8.1,46,42600,8.7667,45.9167,24500
AT002,HU004,1,Nycticorax nycticorax,16.9666,47.95,26839,17.2166,46.6666,12072
HU030,IT091,1,Nycticorax nycticorax,21.5666,46.9666,12326,12.0833,43.15,13200
GR085,HU004,1,Nycticorax nycticorax,20.55,38.2333,20000,17.2166,46.6666,12072
HU030,RO027,1,Nycticorax nycticorax,21.5666,46.9666,12326,21.4333,46.55,500
HU004,IT159,1,Nycticorax nycticorax,17.2166,46.6666,12072,13.45,37.8833,100000
AT017,GR086,1,Nycticorax nycticorax,16.7166,48.25,44138,20.6833,37.7667,13600
HU004,IT065,1,Nycticorax nycticorax,17.2166,46.6666,12072,10.75,45.1833,3581
AT002,AT017,1,Nycticorax nycticorax,16.9666,47.95,26839,16.7166,48.25,44138
HU004,IT074,1,Nycticorax nycticorax,17.2166,46.6666,12072,12.25,44.5,4152
ES072,ES187,1,Nycticorax nycticorax,-3.6667,40,18000,-2,40.4167,102000
HR008,HU004,1,Nycticorax nycticorax,17.75,45.0833,10000,17.2166,46.6666,12072
ES147,FR146,1,Nycticorax nycticorax,0.25,40.8333,107000,3.4,46.4667,17900
HU042,IT065,1,Nycticorax nycticorax,21.4166,48.5,94223,10.75,45.1833,3581
ES148,FR239,1,Nycticorax nycticorax,0.7333,40.7167,32000,4.6,43.5167,76500
HU042,UA056,1,Nycticorax nycticorax,21.4166,48.5,94223,24.65,49.2333,1600
AT017,CY001,1,Nycticorax nycticorax,16.7166,48.25,44138,34.6,35.7,15
AT038,HU004,1,Nycticorax nycticorax,13.1666,47.95,1390,17.2166,46.6666,12072
HU004,IT059,1,Nycticorax nycticorax,17.2166,46.6666,12072,11.7,45.6667,1100
FR214,HU038,1,Nycticorax nycticorax,3,42.8833,13650,21.05,48.0166,6009
BE006,FR239,1,Nycticorax nycticorax,3.35,51.3333,1820,4.6,43.5167,76500
BE006,IT062,1,Nycticorax nycticorax,3.35,51.3333,1820,13.3167,45.75,32815
HR009,HU004,1,Nycticorax nycticorax,17,45.5,210000,17.2166,46.6666,12072
NL051,NL078,1,Nycticorax nycticorax,4.8333,51.7667,9050,5,51.95,140
