iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK081,UK096,57,Phalacrocorax aristotelis,-3.485,52.8536,24187,-4.0421,53.2551,2694
UK018,UK044,47,Phalacrocorax aristotelis,-3.2693,54.1731,6756,-2.9781,54.104,36859
UK091,UK096,39,Phalacrocorax aristotelis,-3.637,53.3211,10154,-4.0421,53.2551,2694
UK081,UK085,28,Phalacrocorax aristotelis,-3.485,52.8536,24187,-3.9845,52.5446,2059
UK081,UK091,22,Phalacrocorax aristotelis,-3.485,52.8536,24187,-3.637,53.3211,10154
UK085,UK096,17,Phalacrocorax aristotelis,-3.9845,52.5446,2059,-4.0421,53.2551,2694
UK086,UK096,16,Phalacrocorax aristotelis,-3.1935,53.3283,13587,-4.0421,53.2551,2694
UK044,UK048,15,Phalacrocorax aristotelis,-2.9781,54.104,36859,-2.2885,54.6466,146795
UK044,UK261,13,Phalacrocorax aristotelis,-2.9781,54.104,36859,-3.487,54.9036,45480
UK081,UK086,13,Phalacrocorax aristotelis,-3.485,52.8536,24187,-3.1935,53.3283,13587
UK207,UK233,11,Phalacrocorax aristotelis,-4.0393,57.7255,16262,-2.0463,57.6943,154
UK081,UK087,10,Phalacrocorax aristotelis,-3.485,52.8536,24187,-3.6733,52.2463,29916
UK018,UK205,7,Phalacrocorax aristotelis,-3.2693,54.1731,6756,-3.0065,55.7085,9812
UK044,UK205,6,Phalacrocorax aristotelis,-2.9781,54.104,36859,-3.0065,55.7085,9812
UK039,UK096,6,Phalacrocorax aristotelis,-2.878,53.6248,120,-4.0421,53.2551,2694
UK081,UK084,5,Phalacrocorax aristotelis,-3.485,52.8536,24187,-4.4755,51.6696,33294
IE114,UK292,4,Phalacrocorax aristotelis,-6.0167,53.4833,612,-4.5143,54.3226,312
UK018,UK261,4,Phalacrocorax aristotelis,-3.2693,54.1731,6756,-3.487,54.9036,45480
UK009,UK081,4,Phalacrocorax aristotelis,0.6795,52.4218,39284,-3.485,52.8536,24187
UK018,UK048,3,Phalacrocorax aristotelis,-3.2693,54.1731,6756,-2.2885,54.6466,146795
UK025,UK096,3,Phalacrocorax aristotelis,-2.5158,53.9815,79978,-4.0421,53.2551,2694
UK118,UK227,3,Phalacrocorax aristotelis,-6.5263,57.0596,1334,-5.5115,57.9613,131
UK044,UK091,3,Phalacrocorax aristotelis,-2.9781,54.104,36859,-3.637,53.3211,10154
UK061,UK081,3,Phalacrocorax aristotelis,-4.8778,50.2155,12362,-3.485,52.8536,24187
UK044,UK101,3,Phalacrocorax aristotelis,-2.9781,54.104,36859,-3.8106,54.8463,59
UK226,UK241,3,Phalacrocorax aristotelis,-3.0575,58.7431,175,-3.1031,58.8803,25122
UK087,UK096,3,Phalacrocorax aristotelis,-3.6733,52.2463,29916,-4.0421,53.2551,2694
UK272,UK283,2,Phalacrocorax aristotelis,-6.199,55.072,26966,-6.2005,55.3001,1466
IE069,IE070,2,Phalacrocorax aristotelis,-9.8,52.2667,3290,-10.033,52.3333,370
FR268,IT170,2,Phalacrocorax aristotelis,8.6167,42.3333,28700,9.3667,41.2667,59534
UK096,UK261,2,Phalacrocorax aristotelis,-4.0421,53.2551,2694,-3.487,54.9036,45480
FR266,IT170,2,Phalacrocorax aristotelis,9.2333,41.3667,16600,9.3667,41.2667,59534
UK041,UK096,2,Phalacrocorax aristotelis,-2.8301,53.2998,5007,-4.0421,53.2551,2694
IE055,IE069,2,Phalacrocorax aristotelis,-9.7833,53.3833,7000,-9.8,52.2667,3290
UK044,UK272,2,Phalacrocorax aristotelis,-2.9781,54.104,36859,-6.199,55.072,26966
UK211,UK227,2,Phalacrocorax aristotelis,-6.93,57.9906,17868,-5.5115,57.9613,131
UK044,UK081,2,Phalacrocorax aristotelis,-2.9781,54.104,36859,-3.485,52.8536,24187
UK048,UK081,2,Phalacrocorax aristotelis,-2.2885,54.6466,146795,-3.485,52.8536,24187
IE117,UK292,2,Phalacrocorax aristotelis,-6.0167,53.6,1,-4.5143,54.3226,312
UK195,UK233,2,Phalacrocorax aristotelis,-3.7015,57.5423,1821,-2.0463,57.6943,154
UK044,UK292,2,Phalacrocorax aristotelis,-2.9781,54.104,36859,-4.5143,54.3226,312
UK049,UK081,2,Phalacrocorax aristotelis,-0.8706,54.3806,143490,-3.485,52.8536,24187
UK077,UK233,2,Phalacrocorax aristotelis,0.29,52.9366,69908,-2.0463,57.6943,154
UK041,UK081,2,Phalacrocorax aristotelis,-2.8301,53.2998,5007,-3.485,52.8536,24187
UK018,UK086,2,Phalacrocorax aristotelis,-3.2693,54.1731,6756,-3.1935,53.3283,13587
UK025,UK044,2,Phalacrocorax aristotelis,-2.5158,53.9815,79978,-2.9781,54.104,36859
IE069,IE092,2,Phalacrocorax aristotelis,-9.8,52.2667,3290,-8.05,52.15,1053
FR042,UK012,1,Phalacrocorax aristotelis,-1.5167,48.65,63800,-2.5203,50.6131,985
IE114,UK205,1,Phalacrocorax aristotelis,-6.0167,53.4833,612,-3.0065,55.7085,9812
FR276,IT003,1,Phalacrocorax aristotelis,9.4,43,1140,8.1,46,42600
IE114,IE117,1,Phalacrocorax aristotelis,-6.0167,53.4833,612,-6.0167,53.6,1
FR275,IT170,1,Phalacrocorax aristotelis,8.6,41.8667,175,9.3667,41.2667,59534
IE069,IE130,1,Phalacrocorax aristotelis,-9.8,52.2667,3290,-8.3167,52.9833,11989
FR266,IT183,1,Phalacrocorax aristotelis,9.2333,41.3667,16600,9.6167,39.75,1000
IE054,IE069,1,Phalacrocorax aristotelis,-10.15,53.5,20000,-9.8,52.2667,3290
FR266,IT174,1,Phalacrocorax aristotelis,9.2333,41.3667,16600,9.65,41,24172
FR024,UK096,1,Phalacrocorax aristotelis,-1.6667,47.0833,5600,-4.0421,53.2551,2694
NO031,NO039,1,Phalacrocorax aristotelis,11,65.2,106,8,63.3167,27400
UK017,UK096,1,Phalacrocorax aristotelis,-1.9605,50.7618,10577,-4.0421,53.2551,2694
UK207,UK243,1,Phalacrocorax aristotelis,-4.0393,57.7255,16262,-3.0073,59.1088,4866
IE079,IE129,1,Phalacrocorax aristotelis,-9.5833,52,10329,-8.1667,53.4,4000
IE007,UK239,1,Phalacrocorax aristotelis,-7.6667,55.2167,8600,-5.5813,55.2806,196
UK116,UK129,1,Phalacrocorax aristotelis,-3.3923,58.5185,1372,-6.1101,57.2503,29326
UK041,UK091,1,Phalacrocorax aristotelis,-2.8301,53.2998,5007,-3.637,53.3211,10154
IE079,IE130,1,Phalacrocorax aristotelis,-9.5833,52,10329,-8.3167,52.9833,11989
NO039,NO040,1,Phalacrocorax aristotelis,8,63.3167,27400,5.6,62.4,640
UK211,UK251,1,Phalacrocorax aristotelis,-6.93,57.9906,17868,-6.3563,58.2321,1780
ES325,ES326,1,Phalacrocorax aristotelis,4,40.05,17900,4.0833,40,30200
