iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK036,NL034,193,Phalacrocorax carbo,10.1667,55.85,42880,5.45,52.75,109000
NL034,NL038,102,Phalacrocorax carbo,5.45,52.75,109000,5.25,52.5333,69700
DK071,NL034,94,Phalacrocorax carbo,10.3333,55,38440,5.45,52.75,109000
DK036,DK106,65,Phalacrocorax carbo,10.1667,55.85,42880,12.1667,56,4610
DK007,NL034,50,Phalacrocorax carbo,10.2167,56.8667,7380,5.45,52.75,109000
DK036,DK045,46,Phalacrocorax carbo,10.1667,55.85,42880,9.75,55.7,2690
DK036,DK047,44,Phalacrocorax carbo,10.1667,55.85,42880,9.7167,55.35,35060
DK036,DK038,43,Phalacrocorax carbo,10.1667,55.85,42880,8.2333,56.35,10890
DK036,DK130,40,Phalacrocorax carbo,10.1667,55.85,42880,11.4666,55.0666,135300
AT055,DK036,32,Phalacrocorax carbo,9.66666,47.4333,3652,10.1667,55.85,42880
DK036,DK071,31,Phalacrocorax carbo,10.1667,55.85,42880,10.3333,55,38440
DK036,DK075,30,Phalacrocorax carbo,10.1667,55.85,42880,10.5667,55.5,5060
NL001,NL038,30,Phalacrocorax carbo,5.3833,53.3,272100,5.25,52.5333,69700
DK071,DK106,29,Phalacrocorax carbo,10.3333,55,38440,12.1667,56,4610
CH009,DK036,29,Phalacrocorax carbo,6.9,46.3667,6600,10.1667,55.85,42880
DE040,DK036,29,Phalacrocorax carbo,14.0833,54.3,333425,10.1667,55.85,42880
DK031,DK036,26,Phalacrocorax carbo,10.6667,55.9,15450,10.1667,55.85,42880
AT055,DE284,24,Phalacrocorax carbo,9.66666,47.4333,3652,9.66666,47.55,200
DK076,NL034,24,Phalacrocorax carbo,10.2167,55.6,13060,5.45,52.75,109000
UK001,UK016,23,Phalacrocorax carbo,0.86416,51.8251,716,1.34416,52.0423,977
DE304,DK036,23,Phalacrocorax carbo,12.9,54.4333,203810,10.1667,55.85,42880
CH009,DK071,23,Phalacrocorax carbo,6.9,46.3667,6600,10.3333,55,38440
DK036,DK076,23,Phalacrocorax carbo,10.1667,55.85,42880,10.2167,55.6,13060
SE062,SE073,22,Phalacrocorax carbo,13.6167,55.6167,3975,15.15,56.1333,59300
DK023,DK038,22,Phalacrocorax carbo,8.25,56.75,5490,8.2333,56.35,10890
DK035,DK036,22,Phalacrocorax carbo,9.8,56.0333,2020,10.1667,55.85,42880
UK001,UK096,21,Phalacrocorax carbo,0.86416,51.8251,716,-4.0421,53.2551,2694
DE223,DK036,21,Phalacrocorax carbo,7.68333,48.25,4811,10.1667,55.85,42880
DE284,DK036,21,Phalacrocorax carbo,9.66666,47.55,200,10.1667,55.85,42880
DE048,DK071,20,Phalacrocorax carbo,11.6333,53.4666,15780,10.3333,55,38440
NL077,NL079,20,Phalacrocorax carbo,4.7833,52.05,1650,4.8,51.9,180
DK036,DK089,20,Phalacrocorax carbo,10.1667,55.85,42880,12.25,55.0833,24640
UK091,UK096,20,Phalacrocorax carbo,-3.637,53.3211,10154,-4.0421,53.2551,2694
DE044,DK036,19,Phalacrocorax carbo,13.5166,54.2166,103155,10.1667,55.85,42880
DE048,DK036,18,Phalacrocorax carbo,11.6333,53.4666,15780,10.1667,55.85,42880
NL051,NL079,17,Phalacrocorax carbo,4.8333,51.7667,9050,4.8,51.9,180
DE043,DK036,17,Phalacrocorax carbo,11.6166,53.7833,74800,10.1667,55.85,42880
FR239,NL079,17,Phalacrocorax carbo,4.6,43.5167,76500,4.8,51.9,180
DK036,DK072,16,Phalacrocorax carbo,10.1667,55.85,42880,10.6667,54.7833,4980
DK036,DK073,16,Phalacrocorax carbo,10.1667,55.85,42880,10.8333,55.1667,3470
CH009,DK007,16,Phalacrocorax carbo,6.9,46.3667,6600,10.2167,56.8667,7380
DK036,NL049,16,Phalacrocorax carbo,10.1667,55.85,42880,5.6667,51.95,2480
DE040,DE044,15,Phalacrocorax carbo,14.0833,54.3,333425,13.5166,54.2166,103155
DK047,DK071,15,Phalacrocorax carbo,9.7167,55.35,35060,10.3333,55,38440
DK038,DK043,15,Phalacrocorax carbo,8.2333,56.35,10890,8.25,56,27720
UK041,UK096,15,Phalacrocorax carbo,-2.8301,53.2998,5007,-4.0421,53.2551,2694
DE043,DK071,15,Phalacrocorax carbo,11.6166,53.7833,74800,10.3333,55,38440
CH009,NL038,15,Phalacrocorax carbo,6.9,46.3667,6600,5.25,52.5333,69700
DK084,NL034,15,Phalacrocorax carbo,12,54.9167,8160,5.45,52.75,109000
AT055,DK071,14,Phalacrocorax carbo,9.66666,47.4333,3652,10.3333,55,38440
DE205,PL032,14,Phalacrocorax carbo,14.5333,51.3166,35000,14.7167,52.5667,4244
