iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK110,DK111,8,Philomachus pugnax,12.8333,55.6667,7240,12.5333,55.5833,6210
DK111,SE055,7,Philomachus pugnax,12.5333,55.5833,6210,16.4,56.2,1610
DK001,SE033,5,Philomachus pugnax,9.5833,57.0333,18530,15.3667,59.1667,800
FR239,SE055,5,Philomachus pugnax,4.6,43.5167,76500,16.4,56.2,1610
NL034,NL068,4,Philomachus pugnax,5.45,52.75,109000,4.85,52.5667,2040
DK105,DK111,4,Philomachus pugnax,12.0833,55.75,13180,12.5333,55.5833,6210
NL001,NL014,3,Philomachus pugnax,5.3833,53.3,272100,5.75,53.3333,9310
BE001,BE004,3,Philomachus pugnax,2.75,51.2,17000,3.1833,51.35,230
NL038,NL071,3,Philomachus pugnax,5.25,52.5333,69700,4.9333,52.45,1960
BE004,BE006,3,Philomachus pugnax,3.1833,51.35,230,3.35,51.3333,1820
BE003,NL068,3,Philomachus pugnax,2.8333,51,5100,4.85,52.5667,2040
DK103,DK111,3,Philomachus pugnax,12.15,55.5667,100,12.5333,55.5833,6210
FI039,IT064,3,Philomachus pugnax,23.1667,63.8667,240,12.4667,45.3667,68982
BE001,NL001,2,Philomachus pugnax,2.75,51.2,17000,5.3833,53.3,272100
DK111,SE061,2,Philomachus pugnax,12.5333,55.5833,6210,12.9167,55.4167,20000
IT064,SE055,2,Philomachus pugnax,12.4667,45.3667,68982,16.4,56.2,1610
FI039,RU223,2,Philomachus pugnax,23.1667,63.8667,240,30.2167,59.9833,2700
DK043,SE055,2,Philomachus pugnax,8.25,56,27720,16.4,56.2,1610
FI083,RU223,2,Philomachus pugnax,21.6,61.5333,15441,30.2167,59.9833,2700
BG080,DK111,2,Philomachus pugnax,23.2686,42.5583,27111,12.5333,55.5833,6210
FI083,IT067,2,Philomachus pugnax,21.6,61.5333,15441,11.25,45.0333,292
FR234,SE055,2,Philomachus pugnax,4.3,43.6333,19300,16.4,56.2,1610
DK111,IT020,2,Philomachus pugnax,12.5333,55.5833,6210,8.3833,45.4,500
DK047,DK111,2,Philomachus pugnax,9.7167,55.35,35060,12.5333,55.5833,6210
DK089,FI083,2,Philomachus pugnax,12.25,55.0833,24640,21.6,61.5333,15441
IT203,SE061,2,Philomachus pugnax,15.9167,41.4167,207378,12.9167,55.4167,20000
