iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL038,NL044,28,Platalea leucorodia,5.25,52.5333,69700,5.2,52.3167,2670
FR176,NL038,26,Platalea leucorodia,-1.1167,44.6667,20100,5.25,52.5333,69700
NL001,NL034,20,Platalea leucorodia,5.3833,53.3,272100,5.45,52.75,109000
NL013,NL092,19,Platalea leucorodia,4.7667,52.9167,6000,4.6667,52.7,2500
NL001,NL015,13,Platalea leucorodia,5.3833,53.3,272100,6.2167,53.3667,7820
FR051,NL038,13,Platalea leucorodia,1.7,50.2667,5550,5.25,52.5333,69700
NL001,NL002,12,Platalea leucorodia,5.3833,53.3,272100,4.9,53.1333,1600
FR176,NL001,12,Platalea leucorodia,-1.1167,44.6667,20100,5.3833,53.3,272100
NL001,NL038,12,Platalea leucorodia,5.3833,53.3,272100,5.25,52.5333,69700
NL013,NL015,11,Platalea leucorodia,4.7667,52.9167,6000,6.2167,53.3667,7820
NL013,NL038,10,Platalea leucorodia,4.7667,52.9167,6000,5.25,52.5333,69700
NL013,NL019,9,Platalea leucorodia,4.7667,52.9167,6000,4.7,52.8167,600
HR001,HU012,6,Platalea leucorodia,18.8333,45.6667,37111,18.5166,47.1666,1971
FR176,NL015,6,Platalea leucorodia,-1.1167,44.6667,20100,6.2167,53.3667,7820
ES237,ES238,6,Platalea leucorodia,-5.6667,37.25,18200,-5.1667,37.4167,62200
FR051,NL001,6,Platalea leucorodia,1.7,50.2667,5550,5.3833,53.3,272100
NL019,NL038,6,Platalea leucorodia,4.7,52.8167,600,5.25,52.5333,69700
FR114,NL038,6,Platalea leucorodia,-0.5167,46.1167,3500,5.25,52.5333,69700
NL038,NL068,6,Platalea leucorodia,5.25,52.5333,69700,4.85,52.5667,2040
NL038,NL051,6,Platalea leucorodia,5.25,52.5333,69700,4.8333,51.7667,9050
ES238,ES274,5,Platalea leucorodia,-5.1667,37.4167,62200,-7.1667,38.3333,7800
NL001,NL013,5,Platalea leucorodia,5.3833,53.3,272100,4.7667,52.9167,6000
HR001,HU032,5,Platalea leucorodia,18.8333,45.6667,37111,21.0666,47.6166,150072
FR114,NL001,5,Platalea leucorodia,-0.5167,46.1167,3500,5.3833,53.3,272100
FR101,NL001,5,Platalea leucorodia,-1,45.95,5400,5.3833,53.3,272100
NL034,NL038,5,Platalea leucorodia,5.45,52.75,109000,5.25,52.5333,69700
FR101,NL038,5,Platalea leucorodia,-1,45.95,5400,5.25,52.5333,69700
NL013,NL068,5,Platalea leucorodia,4.7667,52.9167,6000,4.85,52.5667,2040
ES157,ES238,4,Platalea leucorodia,-1,39.75,135000,-5.1667,37.4167,62200
NL013,NL020,4,Platalea leucorodia,4.7667,52.9167,6000,3.5833,51.7167,107000
FR033,NL038,4,Platalea leucorodia,-1,46.3333,77900,5.25,52.5333,69700
FR051,NL044,4,Platalea leucorodia,1.7,50.2667,5550,5.2,52.3167,2670
TR009,TR010,3,Platalea leucorodia,28.5833,40.1667,13500,27.9667,40.1833,16000
NL001,NL003,3,Platalea leucorodia,5.3833,53.3,272100,4.7833,53.1167,3850
HR001,HU026,3,Platalea leucorodia,18.8333,45.6667,37111,20.1666,46.25,29483
NL019,NL068,3,Platalea leucorodia,4.7,52.8167,600,4.85,52.5667,2040
NL020,NL038,3,Platalea leucorodia,3.5833,51.7167,107000,5.25,52.5333,69700
NL015,NL038,3,Platalea leucorodia,6.2167,53.3667,7820,5.25,52.5333,69700
NL001,NL020,3,Platalea leucorodia,5.3833,53.3,272100,3.5833,51.7167,107000
FR051,NL013,3,Platalea leucorodia,1.7,50.2667,5550,4.7667,52.9167,6000
FR176,NL013,3,Platalea leucorodia,-1.1167,44.6667,20100,4.7667,52.9167,6000
NL003,NL013,3,Platalea leucorodia,4.7833,53.1167,3850,4.7667,52.9167,6000
FR030,NL038,3,Platalea leucorodia,-1.5,47.3,2700,5.25,52.5333,69700
IT076,IT203,2,Platalea leucorodia,12.35,44.25,989,15.9167,41.4167,207378
DE289,NL001,2,Platalea leucorodia,8.81666,54.4833,441000,5.3833,53.3,272100
ES238,ES259,2,Platalea leucorodia,-5.1667,37.4167,62200,-6.4167,37,230000
FR176,NL002,2,Platalea leucorodia,-1.1167,44.6667,20100,4.9,53.1333,1600
ES254,NL019,2,Platalea leucorodia,-5.5667,36.75,2500,4.7,52.8167,600
FR051,NL040,2,Platalea leucorodia,1.7,50.2667,5550,5.9667,52.6333,2180
AT003,HU011,2,Platalea leucorodia,16.8333,47.75,13995,18.55,47,5313
NL034,NL040,2,Platalea leucorodia,5.45,52.75,109000,5.9667,52.6333,2180
NL001,PT034,2,Platalea leucorodia,5.3833,53.3,272100,-7.4333,37.2,2147
FR045,NL001,2,Platalea leucorodia,0.3,49.4333,21100,5.3833,53.3,272100
HU026,HU030,2,Platalea leucorodia,20.1666,46.25,29483,21.5666,46.9666,12326
FR101,FR176,2,Platalea leucorodia,-1,45.95,5400,-1.1167,44.6667,20100
HR001,HU004,2,Platalea leucorodia,18.8333,45.6667,37111,17.2166,46.6666,12072
FR025,NL044,2,Platalea leucorodia,-1.9167,46.9,47000,5.2,52.3167,2670
NL044,NL071,2,Platalea leucorodia,5.2,52.3167,2670,4.9333,52.45,1960
FR025,NL038,2,Platalea leucorodia,-1.9167,46.9,47000,5.25,52.5333,69700
FR045,NL044,2,Platalea leucorodia,0.3,49.4333,21100,5.2,52.3167,2670
NL038,NL092,2,Platalea leucorodia,5.25,52.5333,69700,4.6667,52.7,2500
FR045,NL013,2,Platalea leucorodia,0.3,49.4333,21100,4.7667,52.9167,6000
NL044,NL068,2,Platalea leucorodia,5.2,52.3167,2670,4.85,52.5667,2040
NL013,NL051,2,Platalea leucorodia,4.7667,52.9167,6000,4.8333,51.7667,9050
NL051,NL068,2,Platalea leucorodia,4.8333,51.7667,9050,4.85,52.5667,2040
NL038,NL040,2,Platalea leucorodia,5.25,52.5333,69700,5.9667,52.6333,2180
NL002,NL022,2,Platalea leucorodia,4.9,53.1333,1600,4.05,51.9,1500
FR045,NL038,2,Platalea leucorodia,0.3,49.4333,21100,5.25,52.5333,69700
NL015,NL068,2,Platalea leucorodia,6.2167,53.3667,7820,4.85,52.5667,2040
NL002,NL013,2,Platalea leucorodia,4.9,53.1333,1600,4.7667,52.9167,6000
NL013,NL034,2,Platalea leucorodia,4.7667,52.9167,6000,5.45,52.75,109000
ES237,NL038,2,Platalea leucorodia,-5.6667,37.25,18200,5.25,52.5333,69700
NL021,NL038,2,Platalea leucorodia,4.0333,51.9167,350,5.25,52.5333,69700
NL026,NL038,2,Platalea leucorodia,4.25,51.65,6450,5.25,52.5333,69700
NL038,UK074,2,Platalea leucorodia,5.25,52.5333,69700,1.3755,51.3073,2601
FR108,FR114,2,Platalea leucorodia,-0.35,46.2333,14300,-0.5167,46.1167,3500
NL022,NL068,2,Platalea leucorodia,4.05,51.9,1500,4.85,52.5667,2040
FR051,FR176,2,Platalea leucorodia,1.7,50.2667,5550,-1.1167,44.6667,20100
FR044,NL001,2,Platalea leucorodia,1.2667,49.2667,5200,5.3833,53.3,272100
NL042,NL044,2,Platalea leucorodia,5.6667,52.3833,3390,5.2,52.3167,2670
FR030,NL019,1,Platalea leucorodia,-1.5,47.3,2700,4.7,52.8167,600
NL002,NL034,1,Platalea leucorodia,4.9,53.1333,1600,5.45,52.75,109000
FR022,NL019,1,Platalea leucorodia,-2.1667,47.3667,18900,4.7,52.8167,600
FR068,NL034,1,Platalea leucorodia,4.3667,48.3,35800,5.45,52.75,109000
HR009,HU004,1,Platalea leucorodia,17,45.5,210000,17.2166,46.6666,12072
NL001,NL040,1,Platalea leucorodia,5.3833,53.3,272100,5.9667,52.6333,2180
GR074,HU004,1,Platalea leucorodia,20.1833,39.5333,8531,17.2166,46.6666,12072
BG084,HU004,1,Platalea leucorodia,23.4027,42.3683,15809,17.2166,46.6666,12072
NL019,NL020,1,Platalea leucorodia,4.7,52.8167,600,3.5833,51.7167,107000
BE003,NL019,1,Platalea leucorodia,2.8333,51,5100,4.7,52.8167,600
AL012,HU004,1,Platalea leucorodia,20,39.8333,1900,17.2166,46.6666,12072
NL001,NL022,1,Platalea leucorodia,5.3833,53.3,272100,4.05,51.9,1500
FR025,NL019,1,Platalea leucorodia,-1.9167,46.9,47000,4.7,52.8167,600
FR213,NL001,1,Platalea leucorodia,3.1333,43.1667,10400,5.3833,53.3,272100
FR023,NL002,1,Platalea leucorodia,-1.8167,47.2667,21400,4.9,53.1333,1600
NL002,NL028,1,Platalea leucorodia,4.9,53.1333,1600,3.9333,51.5833,36880
GR020,TR010,1,Platalea leucorodia,23.15,41.2,12000,27.9667,40.1833,16000
FR101,NL034,1,Platalea leucorodia,-1,45.95,5400,5.45,52.75,109000
ES238,ES260,1,Platalea leucorodia,-5.1667,37.4167,62200,-6.65,37.3667,56500
NL001,UK019,1,Platalea leucorodia,5.3833,53.3,272100,0.83,50.9755,9805
ES238,ES244,1,Platalea leucorodia,-5.1667,37.4167,62200,-5.5833,36.4167,133500
NL001,NL048,1,Platalea leucorodia,5.3833,53.3,272100,6.0333,51.8833,6460
GR028,TR016,1,Platalea leucorodia,22.7167,40.5,20000,26.9167,38.5,20400
NL026,NL027,1,Platalea leucorodia,4.25,51.65,6450,4,51.75,13900
GR020,TR016,1,Platalea leucorodia,23.15,41.2,12000,26.9167,38.5,20400
NL026,NL034,1,Platalea leucorodia,4.25,51.65,6450,5.45,52.75,109000
ES238,ES258,1,Platalea leucorodia,-5.1667,37.4167,62200,-5.85,36.8667,7600
BE004,NL001,1,Platalea leucorodia,3.1833,51.35,230,5.3833,53.3,272100
ES216,ES238,1,Platalea leucorodia,-2.0833,36.8333,46100,-5.1667,37.4167,62200
GR099,HU004,1,Platalea leucorodia,21.3,38,2700,17.2166,46.6666,12072
ES227,ES238,1,Platalea leucorodia,-3.8333,37.5,200000,-5.1667,37.4167,62200
BE012,NL001,1,Platalea leucorodia,4.35,51.2667,194,5.3833,53.3,272100
ES244,ES255,1,Platalea leucorodia,-5.5833,36.4167,133500,-5.9167,36.6167,22000
FR101,NL019,1,Platalea leucorodia,-1,45.95,5400,4.7,52.8167,600
HU012,IT150,1,Platalea leucorodia,18.5166,47.1666,1971,15.75,38.2167,19750
FR045,NL019,1,Platalea leucorodia,0.3,49.4333,21100,4.7,52.8167,600
NL002,NL019,1,Platalea leucorodia,4.9,53.1333,1600,4.7,52.8167,600
NL003,NL021,1,Platalea leucorodia,4.7833,53.1167,3850,4.0333,51.9167,350
HU012,IT133,1,Platalea leucorodia,18.5166,47.1666,1971,15,40.5,64000
NL001,NL028,1,Platalea leucorodia,5.3833,53.3,272100,3.9333,51.5833,36880
AT003,HU002,1,Platalea leucorodia,16.8333,47.75,13995,17.25,47.75,10718
DE081,FR051,1,Platalea leucorodia,7.13333,52.6666,6683,1.7,50.2667,5550
AT001,AT003,1,Platalea leucorodia,16.9666,47.7333,3729,16.8333,47.75,13995
NL015,NL034,1,Platalea leucorodia,6.2167,53.3667,7820,5.45,52.75,109000
HU002,IT188,1,Platalea leucorodia,17.25,47.75,10718,9.15,39.1833,7526
DE289,NL038,1,Platalea leucorodia,8.81666,54.4833,441000,5.25,52.5333,69700
AT001,HU026,1,Platalea leucorodia,16.9666,47.7333,3729,20.1666,46.25,29483
ES007,NL044,1,Platalea leucorodia,-7.0667,43.55,7500,5.2,52.3167,2670
AT001,HU002,1,Platalea leucorodia,16.9666,47.7333,3729,17.25,47.75,10718
ES020,NL044,1,Platalea leucorodia,-4.8333,43.1667,132000,5.2,52.3167,2670
HR001,HU022,1,Platalea leucorodia,18.8333,45.6667,37111,19.25,46.8166,44339
FR239,HU004,1,Platalea leucorodia,4.6,43.5167,76500,17.2166,46.6666,12072
DE058,HR001,1,Platalea leucorodia,8.16666,53.55,235071,18.8333,45.6667,37111
NL038,RO001,1,Platalea leucorodia,5.25,52.5333,69700,29.2,44.9333,442000
HR001,HU030,1,Platalea leucorodia,18.8333,45.6667,37111,21.5666,46.9666,12326
ES259,NL044,1,Platalea leucorodia,-6.4167,37,230000,5.2,52.3167,2670
HU011,HU012,1,Platalea leucorodia,18.55,47,5313,18.5166,47.1666,1971
DE137,NL038,1,Platalea leucorodia,12.6666,52.4666,41874,5.25,52.5333,69700
HR001,IT087,1,Platalea leucorodia,18.8333,45.6667,37111,13.6667,43.4833,180
NL038,NL070,1,Platalea leucorodia,5.25,52.5333,69700,4.8333,52.5167,1940
HR001,HU011,1,Platalea leucorodia,18.8333,45.6667,37111,18.55,47,5313
IT054,NL013,1,Platalea leucorodia,11.8,45.8833,40000,4.7667,52.9167,6000
HU003,HU032,1,Platalea leucorodia,16.6333,47.6,8500,21.0666,47.6166,150072
ES254,FR045,1,Platalea leucorodia,-5.5667,36.75,2500,0.3,49.4333,21100
FR115,NL019,1,Platalea leucorodia,-1.1,45.7667,14800,4.7,52.8167,600
FR025,FR033,1,Platalea leucorodia,-1.9167,46.9,47000,-1,46.3333,77900
FR051,NL019,1,Platalea leucorodia,1.7,50.2667,5550,4.7,52.8167,600
BE034,NL044,1,Platalea leucorodia,4.9667,49.9333,36610,5.2,52.3167,2670
AT004,IT166,1,Platalea leucorodia,16.7666,47.8166,25187,14.3333,37.0167,28052
FR114,FR176,1,Platalea leucorodia,-0.5167,46.1167,3500,-1.1167,44.6667,20100
RO036,TR010,1,Platalea leucorodia,23.6,43.85,1936,27.9667,40.1833,16000
FR134,NL013,1,Platalea leucorodia,0.1333,47.3833,18800,4.7667,52.9167,6000
BG038,TR010,1,Platalea leucorodia,27.2744,43.1719,84030,27.9667,40.1833,16000
NL038,NL071,1,Platalea leucorodia,5.25,52.5333,69700,4.9333,52.45,1960
AT004,GR081,1,Platalea leucorodia,16.7666,47.8166,25187,21,39,25000
BE001,NL038,1,Platalea leucorodia,2.75,51.2,17000,5.25,52.5333,69700
AT004,IT145,1,Platalea leucorodia,16.7666,47.8166,25187,17.9833,40.05,262
NL038,NL072,1,Platalea leucorodia,5.25,52.5333,69700,4.8667,52.45,750
FR023,FR024,1,Platalea leucorodia,-1.8167,47.2667,21400,-1.6667,47.0833,5600
NL038,NL041,1,Platalea leucorodia,5.25,52.5333,69700,5.85,52.5,640
BA001,HU004,1,Platalea leucorodia,17.7667,43.05,6144,17.2166,46.6666,12072
NL010,NL038,1,Platalea leucorodia,6.25,53.5,2800,5.25,52.5333,69700
HR004,HU004,1,Platalea leucorodia,18.2167,45.5833,1345,17.2166,46.6666,12072
ES244,NL038,1,Platalea leucorodia,-5.5833,36.4167,133500,5.25,52.5333,69700
AT004,IT153,1,Platalea leucorodia,16.7666,47.8166,25187,15.5167,38.2167,17100
ES044,NL038,1,Platalea leucorodia,-4,41.9167,108000,5.25,52.5333,69700
AT004,IT193,1,Platalea leucorodia,16.7666,47.8166,25187,11.3167,42.4,12164
ES137,NL013,1,Platalea leucorodia,3.1167,42.2,5454,4.7667,52.9167,6000
AT004,AT006,1,Platalea leucorodia,16.7666,47.8166,25187,16.7,47.9666,6320
ES259,NL038,1,Platalea leucorodia,-6.4167,37,230000,5.25,52.5333,69700
AL001,AT004,1,Platalea leucorodia,19.3333,42.1667,14000,16.7666,47.8166,25187
NL002,NL010,1,Platalea leucorodia,4.9,53.1333,1600,6.25,53.5,2800
AT003,PL070,1,Platalea leucorodia,16.8333,47.75,13995,20.3333,50.0667,11000
FR176,NL092,1,Platalea leucorodia,-1.1167,44.6667,20100,4.6667,52.7,2500
NL002,NL015,1,Platalea leucorodia,4.9,53.1333,1600,6.2167,53.3667,7820
FR176,NL003,1,Platalea leucorodia,-1.1167,44.6667,20100,4.7833,53.1167,3850
FR130,NL013,1,Platalea leucorodia,0.8667,47.4,510,4.7667,52.9167,6000
FR032,NL019,1,Platalea leucorodia,-0.8167,46.4333,18700,4.7,52.8167,600
NL022,NL038,1,Platalea leucorodia,4.05,51.9,1500,5.25,52.5333,69700
ES205,NL034,1,Platalea leucorodia,-4.5,38.8333,100000,5.45,52.75,109000
NL038,NL077,1,Platalea leucorodia,5.25,52.5333,69700,4.7833,52.05,1650
