iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL001,NL034,30,Pluvialis apricaria,5.3833,53.3,272100,5.45,52.75,109000
FR032,NL001,21,Pluvialis apricaria,-0.8167,46.4333,18700,5.3833,53.3,272100
ES270,NL001,19,Pluvialis apricaria,-6.0833,38.5833,90000,5.3833,53.3,272100
NL001,NL015,9,Pluvialis apricaria,5.3833,53.3,272100,6.2167,53.3667,7820
DK057,NL001,8,Pluvialis apricaria,8.5333,55.2667,115850,5.3833,53.3,272100
DK051,NL001,8,Pluvialis apricaria,8.7,55.3333,6660,5.3833,53.3,272100
ES255,NL001,8,Pluvialis apricaria,-5.9167,36.6167,22000,5.3833,53.3,272100
NL001,NL009,7,Pluvialis apricaria,5.3833,53.3,272100,6.05,53.45,720
FR060,NL001,7,Pluvialis apricaria,1.6,50.25,18200,5.3833,53.3,272100
FR198,NL001,7,Pluvialis apricaria,-1,45.4333,22250,5.3833,53.3,272100
NL001,NL068,7,Pluvialis apricaria,5.3833,53.3,272100,4.85,52.5667,2040
BE003,NL001,6,Pluvialis apricaria,2.8333,51,5100,5.3833,53.3,272100
NL001,NL058,6,Pluvialis apricaria,5.3833,53.3,272100,5.7667,53.0167,1670
NL001,NL016,6,Pluvialis apricaria,5.3833,53.3,272100,6.5667,53.4333,4600
DK025,NL001,5,Pluvialis apricaria,8.5833,56.75,510,5.3833,53.3,272100
ES205,NL001,5,Pluvialis apricaria,-4.5,38.8333,100000,5.3833,53.3,272100
FR062,NL001,5,Pluvialis apricaria,1.5667,50.5333,5050,5.3833,53.3,272100
DK038,NL001,5,Pluvialis apricaria,8.2333,56.35,10890,5.3833,53.3,272100
ES024,NL001,5,Pluvialis apricaria,-4.3333,43.4167,1100,5.3833,53.3,272100
DE331,NL001,5,Pluvialis apricaria,7,53.3333,5052,5.3833,53.3,272100
NL001,NL060,5,Pluvialis apricaria,5.3833,53.3,272100,5.6833,53,460
FR118,NL001,5,Pluvialis apricaria,-0.8,45.4333,2580,5.3833,53.3,272100
FR109,NL001,5,Pluvialis apricaria,-0.5667,46.4,12500,5.3833,53.3,272100
DK008,NL001,5,Pluvialis apricaria,9.1667,57.0333,1660,5.3833,53.3,272100
FR033,NL001,5,Pluvialis apricaria,-1,46.3333,77900,5.3833,53.3,272100
FR051,NL001,5,Pluvialis apricaria,1.7,50.2667,5550,5.3833,53.3,272100
NL001,NL038,5,Pluvialis apricaria,5.3833,53.3,272100,5.25,52.5333,69700
NL001,NL052,5,Pluvialis apricaria,5.3833,53.3,272100,6.4333,53.1833,1450
BE001,NL001,4,Pluvialis apricaria,2.75,51.2,17000,5.3833,53.3,272100
FR045,NL001,4,Pluvialis apricaria,0.3,49.4333,21100,5.3833,53.3,272100
NL016,NL034,4,Pluvialis apricaria,6.5667,53.4333,4600,5.45,52.75,109000
DK121,NL001,4,Pluvialis apricaria,9,57.6666,1600000,5.3833,53.3,272100
NL001,PT025,4,Pluvialis apricaria,5.3833,53.3,272100,-7.8833,38.4833,53134
ES236,NL001,4,Pluvialis apricaria,-6,37.8333,164840,5.3833,53.3,272100
DK012,NL001,4,Pluvialis apricaria,9.1667,56.9167,32570,5.3833,53.3,272100
NL001,NL035,4,Pluvialis apricaria,5.3833,53.3,272100,5.3833,53.05,1740
DK128,NL001,4,Pluvialis apricaria,11,57.2,580000,5.3833,53.3,272100
NL001,PT029,4,Pluvialis apricaria,5.3833,53.3,272100,-8,37.75,83579
DK021,NL001,4,Pluvialis apricaria,8.5,56.8667,750,5.3833,53.3,272100
DE331,NL052,4,Pluvialis apricaria,7,53.3333,5052,6.4333,53.1833,1450
DK116,NL001,3,Pluvialis apricaria,10.2,57.1167,1500,5.3833,53.3,272100
ES025,NL001,3,Pluvialis apricaria,-4,43.5,10,5.3833,53.3,272100
NL034,NL038,3,Pluvialis apricaria,5.45,52.75,109000,5.25,52.5333,69700
FR023,NL001,3,Pluvialis apricaria,-1.8167,47.2667,21400,5.3833,53.3,272100
DK014,NL001,3,Pluvialis apricaria,9.1667,56.6667,7590,5.3833,53.3,272100
FR014,NL001,3,Pluvialis apricaria,-2.7667,47.5667,18800,5.3833,53.3,272100
ES276,NL001,3,Pluvialis apricaria,-6.8333,38.8333,79000,5.3833,53.3,272100
NL001,NL055,3,Pluvialis apricaria,5.3833,53.3,272100,5.9167,53.1167,2500
FR198,NL071,3,Pluvialis apricaria,-1,45.4333,22250,4.9333,52.45,1960
FR025,NL001,3,Pluvialis apricaria,-1.9167,46.9,47000,5.3833,53.3,272100
ES270,NL034,3,Pluvialis apricaria,-6.0833,38.5833,90000,5.45,52.75,109000
FR032,NL015,3,Pluvialis apricaria,-0.8167,46.4333,18700,6.2167,53.3667,7820
DK076,NL001,3,Pluvialis apricaria,10.2167,55.6,13060,5.3833,53.3,272100
NL009,NL015,3,Pluvialis apricaria,6.05,53.45,720,6.2167,53.3667,7820
DE298,NL015,3,Pluvialis apricaria,8.78333,54.8666,4700,6.2167,53.3667,7820
FR101,NL001,3,Pluvialis apricaria,-1,45.95,5400,5.3833,53.3,272100
FR041,NL001,3,Pluvialis apricaria,0.85,48.5167,50850,5.3833,53.3,272100
NL034,NL058,3,Pluvialis apricaria,5.45,52.75,109000,5.7667,53.0167,1670
IT077,IT082,3,Pluvialis apricaria,10.3333,43.85,3795,10.2667,43.7667,7000
FR101,NL034,2,Pluvialis apricaria,-1,45.95,5400,5.45,52.75,109000
FR031,NL001,2,Pluvialis apricaria,-0.4,47.3,12000,5.3833,53.3,272100
FR045,NL034,2,Pluvialis apricaria,0.3,49.4333,21100,5.45,52.75,109000
FR034,NL001,2,Pluvialis apricaria,-0.95,49.4,2300,5.3833,53.3,272100
ES280,NL001,2,Pluvialis apricaria,-5.5,38.8333,109800,5.3833,53.3,272100
FR032,NL058,2,Pluvialis apricaria,-0.8167,46.4333,18700,5.7667,53.0167,1670
NL001,UK077,2,Pluvialis apricaria,5.3833,53.3,272100,0.29,52.9366,69908
FR101,NL052,2,Pluvialis apricaria,-1,45.95,5400,6.4333,53.1833,1450
DE289,NL001,2,Pluvialis apricaria,8.81666,54.4833,441000,5.3833,53.3,272100
NL001,UK001,2,Pluvialis apricaria,5.3833,53.3,272100,0.86416,51.8251,716
ES270,NL038,2,Pluvialis apricaria,-6.0833,38.5833,90000,5.25,52.5333,69700
NL001,NL056,2,Pluvialis apricaria,5.3833,53.3,272100,5.9167,53.0333,1260
ES279,NL001,2,Pluvialis apricaria,-5.25,38.6667,82500,5.3833,53.3,272100
ES269,NL001,2,Pluvialis apricaria,-5.6667,38.3333,147000,5.3833,53.3,272100
DE331,FR198,2,Pluvialis apricaria,7,53.3333,5052,-1,45.4333,22250
FR042,NL001,2,Pluvialis apricaria,-1.5167,48.65,63800,5.3833,53.3,272100
FR039,NL001,2,Pluvialis apricaria,-0.2333,49.2667,1000,5.3833,53.3,272100
DE096,NL001,2,Pluvialis apricaria,7.06666,53.4833,13176,5.3833,53.3,272100
FR190,NL001,2,Pluvialis apricaria,-0.5333,43.3667,3200,5.3833,53.3,272100
DK026,NL001,2,Pluvialis apricaria,8.8333,56.8333,1680,5.3833,53.3,272100
ES265,NL001,2,Pluvialis apricaria,-7.0833,37.9167,48000,5.3833,53.3,272100
ES233,NL001,2,Pluvialis apricaria,-5.1667,38.5,30000,5.3833,53.3,272100
NL016,NL052,2,Pluvialis apricaria,6.5667,53.4333,4600,6.4333,53.1833,1450
ES084,NL016,2,Pluvialis apricaria,-1.5,43.1667,6300,6.5667,53.4333,4600
DK049,NL001,2,Pluvialis apricaria,8.3167,55.6,2700,5.3833,53.3,272100
DK094,NL001,2,Pluvialis apricaria,11.3,55.8333,40250,5.3833,53.3,272100
ES291,NL001,2,Pluvialis apricaria,-6.75,39.3333,295000,5.3833,53.3,272100
ES205,NL071,2,Pluvialis apricaria,-4.5,38.8333,100000,4.9333,52.45,1960
FR032,NL071,2,Pluvialis apricaria,-0.8167,46.4333,18700,4.9333,52.45,1960
DK117,NL001,2,Pluvialis apricaria,9.8333,57.2167,6000,5.3833,53.3,272100
FR046,NL001,2,Pluvialis apricaria,1.6333,49.0333,6150,5.3833,53.3,272100
NL001,NL071,2,Pluvialis apricaria,5.3833,53.3,272100,4.9333,52.45,1960
DK049,NL071,2,Pluvialis apricaria,8.3167,55.6,2700,4.9333,52.45,1960
ES270,NL071,2,Pluvialis apricaria,-6.0833,38.5833,90000,4.9333,52.45,1960
NL001,PT048,2,Pluvialis apricaria,5.3833,53.3,272100,-7.8833,38.1,33021
NL001,PT026,2,Pluvialis apricaria,5.3833,53.3,272100,-7.2,39.0333,5049
BE005,NL001,2,Pluvialis apricaria,3.2167,51.25,9349,5.3833,53.3,272100
FR060,NL038,2,Pluvialis apricaria,1.6,50.25,18200,5.25,52.5333,69700
ES290,NL001,2,Pluvialis apricaria,-6.8333,39.1667,47800,5.3833,53.3,272100
NL001,NO042,2,Pluvialis apricaria,5.3833,53.3,272100,7.6167,60.2,427200
DK041,NL001,2,Pluvialis apricaria,8.15,56.1833,6910,5.3833,53.3,272100
NL001,NL019,2,Pluvialis apricaria,5.3833,53.3,272100,4.7,52.8167,600
NL001,NL013,2,Pluvialis apricaria,5.3833,53.3,272100,4.7667,52.9167,6000
FR012,NL001,2,Pluvialis apricaria,-3.9,48.6667,7900,5.3833,53.3,272100
ES255,NL015,2,Pluvialis apricaria,-5.9167,36.6167,22000,6.2167,53.3667,7820
