iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
UK047,UK077,18,Pluvialis squatarola,0.741,52.9741,7831,0.29,52.9366,69908
NL020,NL028,8,Pluvialis squatarola,3.5833,51.7167,107000,3.9333,51.5833,36880
DK110,DK111,5,Pluvialis squatarola,12.8333,55.6667,7240,12.5333,55.5833,6210
UK049,UK077,3,Pluvialis squatarola,-0.8706,54.3806,143490,0.29,52.9366,69908
DE288,FR051,3,Pluvialis squatarola,11.4333,54.0166,102030,1.7,50.2667,5550
BE001,NL032,2,Pluvialis squatarola,2.75,51.2,17000,3.8333,51.3833,50800
DK111,FR033,2,Pluvialis squatarola,12.5333,55.5833,6210,-1,46.3333,77900
DE288,NL010,2,Pluvialis squatarola,11.4333,54.0166,102030,6.25,53.5,2800
DK103,DK111,2,Pluvialis squatarola,12.15,55.5667,100,12.5333,55.5833,6210
FR030,UK077,2,Pluvialis squatarola,-1.5,47.3,2700,0.29,52.9366,69908
DK065,DK111,2,Pluvialis squatarola,8.5333,55.05,7010,12.5333,55.5833,6210
DE289,UK068,2,Pluvialis squatarola,8.81666,54.4833,441000,0.84283,51.3606,6486
NL001,UK014,2,Pluvialis squatarola,5.3833,53.3,272100,-0.9388,50.8056,5795
DE289,UK049,2,Pluvialis squatarola,8.81666,54.4833,441000,-0.8706,54.3806,143490
UK007,UK040,2,Pluvialis squatarola,0.66666,51.5166,2373,0.66433,51.3996,4668
UK001,UK042,2,Pluvialis squatarola,0.86416,51.8251,716,0.9595,51.6721,22856
DK038,UK077,2,Pluvialis squatarola,8.2333,56.35,10890,0.29,52.9366,69908
UK007,UK077,2,Pluvialis squatarola,0.66666,51.5166,2373,0.29,52.9366,69908
FR032,SE019,1,Pluvialis squatarola,-0.8167,46.4333,18700,17.7003,60.5215,4600
DE291,UK077,1,Pluvialis squatarola,8.3,54.2,800000,0.29,52.9366,69908
NL082,SE055,1,Pluvialis squatarola,6.4,53.0167,3830,16.4,56.2,1610
DE291,UK003,1,Pluvialis squatarola,8.3,54.2,800000,-0.549,50.9051,1413
DE288,FR102,1,Pluvialis squatarola,11.4333,54.0166,102030,-0.6667,45.7667,8300
DK098,UK077,1,Pluvialis squatarola,11,55.3333,4920,0.29,52.9366,69908
DE058,DE288,1,Pluvialis squatarola,8.16666,53.55,235071,11.4333,54.0166,102030
UK003,UK077,1,Pluvialis squatarola,-0.549,50.9051,1413,0.29,52.9366,69908
DE288,ES259,1,Pluvialis squatarola,11.4333,54.0166,102030,-6.4167,37,230000
NL010,UK077,1,Pluvialis squatarola,6.25,53.5,2800,0.29,52.9366,69908
DE288,UK077,1,Pluvialis squatarola,11.4333,54.0166,102030,0.29,52.9366,69908
FR032,UK049,1,Pluvialis squatarola,-0.8167,46.4333,18700,-0.8706,54.3806,143490
DK111,UK066,1,Pluvialis squatarola,12.5333,55.5833,6210,1.16533,51.9566,3670
DK057,UK041,1,Pluvialis squatarola,8.5333,55.2667,115850,-2.8301,53.2998,5007
DK001,DK111,1,Pluvialis squatarola,9.5833,57.0333,18530,12.5333,55.5833,6210
FR014,UK077,1,Pluvialis squatarola,-2.7667,47.5667,18800,0.29,52.9366,69908
DK111,SE061,1,Pluvialis squatarola,12.5333,55.5833,6210,12.9167,55.4167,20000
PL012,UK077,1,Pluvialis squatarola,18.6167,54.5667,56000,0.29,52.9366,69908
DE289,DK111,1,Pluvialis squatarola,8.81666,54.4833,441000,12.5333,55.5833,6210
FR051,UK077,1,Pluvialis squatarola,1.7,50.2667,5550,0.29,52.9366,69908
DK111,FR034,1,Pluvialis squatarola,12.5333,55.5833,6210,-0.95,49.4,2300
NL009,UK049,1,Pluvialis squatarola,6.05,53.45,720,-0.8706,54.3806,143490
DE111,DE288,1,Pluvialis squatarola,8.53333,53.7,7413,11.4333,54.0166,102030
PL013,UK016,1,Pluvialis squatarola,18.95,54.35,485,1.34416,52.0423,977
DE034,DE288,1,Pluvialis squatarola,8.41666,53.9166,13750,11.4333,54.0166,102030
DE009,UK077,1,Pluvialis squatarola,10.45,54.3,2141,0.29,52.9366,69908
DE288,FR176,1,Pluvialis squatarola,11.4333,54.0166,102030,-1.1167,44.6667,20100
NL010,UK068,1,Pluvialis squatarola,6.25,53.5,2800,0.84283,51.3606,6486
DK083,DK111,1,Pluvialis squatarola,11.7167,54.55,100000,12.5333,55.5833,6210
DK130,UK077,1,Pluvialis squatarola,11.4666,55.0666,135300,0.29,52.9366,69908
DE288,FR101,1,Pluvialis squatarola,11.4333,54.0166,102030,-1,45.95,5400
UK066,UK077,1,Pluvialis squatarola,1.16533,51.9566,3670,0.29,52.9366,69908
DE288,FR034,1,Pluvialis squatarola,11.4333,54.0166,102030,-0.95,49.4,2300
DE366,UK012,1,Pluvialis squatarola,7.41666,53.7,70000,-2.5203,50.6131,985
