iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL034,NL089,2,Podiceps cristatus,5.45,52.75,109000,4.55,52.1167,770
NL034,NL068,2,Podiceps cristatus,5.45,52.75,109000,4.85,52.5667,2040
NL038,NL071,2,Podiceps cristatus,5.25,52.5333,69700,4.9333,52.45,1960
NL038,NL089,2,Podiceps cristatus,5.25,52.5333,69700,4.55,52.1167,770
CH002,CH009,1,Podiceps cristatus,6.7333,46.9667,23200,6.9,46.3667,6600
DE263,NL040,1,Podiceps cristatus,12.45,47.8833,13315,5.9667,52.6333,2180
CH014,CH015,1,Podiceps cristatus,9.0667,47.65,530,9.25,47.6333,230
DE011,NL044,1,Podiceps cristatus,10.4166,53.9666,1900,5.2,52.3167,2670
AT055,DE550,1,Podiceps cristatus,9.66666,47.4333,3652,8.25,48,94726
NL034,NL103,1,Podiceps cristatus,5.45,52.75,109000,5.5,51.3333,2270
CH014,DE589,1,Podiceps cristatus,9.0667,47.65,530,8.7,47.7666,244
NL038,NL079,1,Podiceps cristatus,5.25,52.5333,69700,4.8,51.9,180
DE223,FR227,1,Podiceps cristatus,7.68333,48.25,4811,3.6,43.3667,800
NL020,NL071,1,Podiceps cristatus,3.5833,51.7167,107000,4.9333,52.45,1960
DE159,FI078,1,Podiceps cristatus,7.16666,50.8666,4502,24.9333,60.2,1274
CH002,NL071,1,Podiceps cristatus,6.7333,46.9667,23200,4.9333,52.45,1960
PL041,UA129,1,Podiceps cristatus,18.4167,52.6,12700,33.75,46.8333,16000
NL001,NL089,1,Podiceps cristatus,5.3833,53.3,272100,4.55,52.1167,770
BE011,BE013,1,Podiceps cristatus,4.25,51.3167,7570,4.4333,51.4,2200
FR088,NL040,1,Podiceps cristatus,7.45,47.95,21800,5.9667,52.6333,2180
CH009,NL088,1,Podiceps cristatus,6.9,46.3667,6600,5.6333,51.3833,1630
NL068,NL070,1,Podiceps cristatus,4.85,52.5667,2040,4.8333,52.5167,1940
BE011,BE012,1,Podiceps cristatus,4.25,51.3167,7570,4.35,51.2667,194
NL045,NL068,1,Podiceps cristatus,5.3167,52.2833,1340,4.85,52.5667,2040
BE015,NL034,1,Podiceps cristatus,4.5167,51.0167,2263,5.45,52.75,109000
NL024,NL068,1,Podiceps cristatus,4.25,51.7667,10900,4.85,52.5667,2040
UK047,UK077,1,Podiceps cristatus,0.741,52.9741,7831,0.29,52.9366,69908
CH002,CH010,1,Podiceps cristatus,6.7333,46.9667,23200,6.7333,46.8167,690
UK045,UK068,1,Podiceps cristatus,-0.0533,52.5833,1505,0.84283,51.3606,6486
FR247,NL044,1,Podiceps cristatus,6.1833,43.1,1000,5.2,52.3167,2670
DE196,NL001,1,Podiceps cristatus,11.75,50.6666,2350,5.3833,53.3,272100
FR064,NL089,1,Podiceps cristatus,1.5833,50.8667,8950,4.55,52.1167,770
DK109,UK019,1,Podiceps cristatus,12.4167,55.8,1290,0.83,50.9755,9805
CH002,CH004,1,Podiceps cristatus,6.7333,46.9667,23200,7.1833,46.9667,16100
DE287,DK088,1,Podiceps cristatus,10.9333,54.4666,59800,11.0333,54.8333,8550
CH010,FR154,1,Podiceps cristatus,6.7333,46.8167,690,4.5667,45.2667,63000
DE021,DE196,1,Podiceps cristatus,10.75,54.0333,2050,11.75,50.6666,2350
CH002,CH014,1,Podiceps cristatus,6.7333,46.9667,23200,9.0667,47.65,530
BE018,NL040,1,Podiceps cristatus,5,51.3833,7075,5.9667,52.6333,2180
CH019,DE284,1,Podiceps cristatus,8.8167,47.0167,35600,9.66666,47.55,200
DK086,FR062,1,Podiceps cristatus,11.8333,54.8333,2820,1.5667,50.5333,5050
CH004,CH009,1,Podiceps cristatus,7.1833,46.9667,16100,6.9,46.3667,6600
CH002,FR173,1,Podiceps cristatus,6.7333,46.9667,23200,6.3,45.9667,8200
