iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE148,DE406,3,Rallus aquaticus,14.0833,52.55,17863,14.45,52.6333,25993
DE257,FR240,3,Rallus aquaticus,11.7333,48.2166,986,4.8667,43.6,40100
CH010,FR239,2,Rallus aquaticus,6.7333,46.8167,690,4.6,43.5167,76500
FI092,FR110,1,Rallus aquaticus,22.1667,60.4167,904,-0.0667,46.8333,12400
DE590,FR100,1,Rallus aquaticus,8.58333,47.95,20723,5.3333,46.9833,11850
DK088,IE027,1,Rallus aquaticus,11.0333,54.8333,8550,-7.95,54.6167,691
DE456,IT065,1,Rallus aquaticus,12.3,51.3666,5738,10.75,45.1833,3581
CH004,DE616,1,Rallus aquaticus,7.1833,46.9667,16100,9.81666,47.6833,52
CH010,FR171,1,Rallus aquaticus,6.7333,46.8167,690,5.7667,45.8,9350
CH004,FR208,1,Rallus aquaticus,7.1833,46.9667,16100,1.0667,44.0667,1300
AT002,IT203,1,Rallus aquaticus,16.9666,47.95,26839,15.9167,41.4167,207378
IT061,PL044,1,Rallus aquaticus,12.9167,45.65,2200,18.6833,51.7833,4300
DE257,FR229,1,Rallus aquaticus,11.7333,48.2166,986,3.2,43.2667,4850
DE058,DE142,1,Rallus aquaticus,8.16666,53.55,235071,14.15,52.9833,11779
DE257,IT203,1,Rallus aquaticus,11.7333,48.2166,986,15.9167,41.4167,207378
DE129,FR062,1,Rallus aquaticus,12.0166,51.3833,5819,1.5667,50.5333,5050
AT002,FR220,1,Rallus aquaticus,16.9666,47.95,26839,3.9667,43.5333,12700
DE390,FR119,1,Rallus aquaticus,14.2666,52,665,1.4167,47.6167,22200
AT002,FR267,1,Rallus aquaticus,16.9666,47.95,26839,9.35,41.55,5040
DE196,FR234,1,Rallus aquaticus,11.75,50.6666,2350,4.3,43.6333,19300
AT003,FR014,1,Rallus aquaticus,16.8333,47.75,13995,-2.7667,47.5667,18800
FR176,NL039,1,Rallus aquaticus,-1.1167,44.6667,20100,5.75,52.6,3900
AT010,DE257,1,Rallus aquaticus,16.8333,48.4333,15457,11.7333,48.2166,986
NL002,NL013,1,Rallus aquaticus,4.9,53.1333,1600,4.7667,52.9167,6000
DE257,FR239,1,Rallus aquaticus,11.7333,48.2166,986,4.6,43.5167,76500
NL020,NL088,1,Rallus aquaticus,3.5833,51.7167,107000,5.6333,51.3833,1630
DE231,LI002,1,Rallus aquaticus,9.03333,47.7,6053,9.6,47.1667,950
NL013,NL019,1,Rallus aquaticus,4.7667,52.9167,6000,4.7,52.8167,600
CZ012,FR234,1,Rallus aquaticus,16.9666,48.7,9576,4.3,43.6333,19300
FR051,NL088,1,Rallus aquaticus,1.7,50.2667,5550,5.6333,51.3833,1630
AT003,FR234,1,Rallus aquaticus,16.8333,47.75,13995,4.3,43.6333,19300
