iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL001,NL038,25,Recurvirostra avosetta,5.3833,53.3,272100,5.25,52.5333,69700
DK043,PT021,13,Recurvirostra avosetta,8.25,56,27720,-8.9333,38.8167,45071
DK043,FR033,10,Recurvirostra avosetta,8.25,56,27720,-1,46.3333,77900
DK110,DK111,9,Recurvirostra avosetta,12.8333,55.6667,7240,12.5333,55.5833,6210
DK043,FR101,8,Recurvirostra avosetta,8.25,56,27720,-1,45.95,5400
NL001,NL008,8,Recurvirostra avosetta,5.3833,53.3,272100,5.75,53.4667,3150
DK043,FR115,7,Recurvirostra avosetta,8.25,56,27720,-1.1,45.7667,14800
FR045,NL001,7,Recurvirostra avosetta,0.3,49.4333,21100,5.3833,53.3,272100
BE011,NL029,7,Recurvirostra avosetta,4.25,51.3167,7570,4.2,51.5,1175
NL024,NL026,6,Recurvirostra avosetta,4.25,51.7667,10900,4.25,51.65,6450
NL001,NL009,6,Recurvirostra avosetta,5.3833,53.3,272100,6.05,53.45,720
NL001,NL015,6,Recurvirostra avosetta,5.3833,53.3,272100,6.2167,53.3667,7820
BE011,NL038,5,Recurvirostra avosetta,4.25,51.3167,7570,5.25,52.5333,69700
NL001,NL032,5,Recurvirostra avosetta,5.3833,53.3,272100,3.8333,51.3833,50800
ES276,NL001,5,Recurvirostra avosetta,-6.8333,38.8333,79000,5.3833,53.3,272100
NL032,NL038,5,Recurvirostra avosetta,3.8333,51.3833,50800,5.25,52.5333,69700
BE004,NL038,4,Recurvirostra avosetta,3.1833,51.35,230,5.25,52.5333,69700
NL068,NL071,4,Recurvirostra avosetta,4.85,52.5667,2040,4.9333,52.45,1960
UK002,UK043,4,Recurvirostra avosetta,1.55616,52.0045,2520,1.626,52.3021,2212
NL001,NL020,4,Recurvirostra avosetta,5.3833,53.3,272100,3.5833,51.7167,107000
DE330,NL001,4,Recurvirostra avosetta,5.08333,53.4333,1900,5.3833,53.3,272100
NL001,NL013,4,Recurvirostra avosetta,5.3833,53.3,272100,4.7667,52.9167,6000
FR023,SE061,3,Recurvirostra avosetta,-1.8167,47.2667,21400,12.9167,55.4167,20000
NL020,NL032,3,Recurvirostra avosetta,3.5833,51.7167,107000,3.8333,51.3833,50800
BE004,BE011,3,Recurvirostra avosetta,3.1833,51.35,230,4.25,51.3167,7570
NL001,NL002,3,Recurvirostra avosetta,5.3833,53.3,272100,4.9,53.1333,1600
DK043,FR104,3,Recurvirostra avosetta,8.25,56,27720,-0.95,46.0167,17550
DE058,NL001,3,Recurvirostra avosetta,8.16666,53.55,235071,5.3833,53.3,272100
DK043,FR045,3,Recurvirostra avosetta,8.25,56,27720,0.3,49.4333,21100
NL001,NL014,3,Recurvirostra avosetta,5.3833,53.3,272100,5.75,53.3333,9310
DK043,FR032,3,Recurvirostra avosetta,8.25,56,27720,-0.8167,46.4333,18700
DK111,FR033,3,Recurvirostra avosetta,12.5333,55.5833,6210,-1,46.3333,77900
FR033,SE061,3,Recurvirostra avosetta,-1,46.3333,77900,12.9167,55.4167,20000
NL024,NL027,3,Recurvirostra avosetta,4.25,51.7667,10900,4,51.75,13900
BE011,BE012,3,Recurvirostra avosetta,4.25,51.3167,7570,4.35,51.2667,194
NL001,NL016,3,Recurvirostra avosetta,5.3833,53.3,272100,6.5667,53.4333,4600
FR033,NL001,3,Recurvirostra avosetta,-1,46.3333,77900,5.3833,53.3,272100
NL001,UK002,3,Recurvirostra avosetta,5.3833,53.3,272100,1.55616,52.0045,2520
DK111,FR051,3,Recurvirostra avosetta,12.5333,55.5833,6210,1.7,50.2667,5550
NL038,NL068,3,Recurvirostra avosetta,5.25,52.5333,69700,4.85,52.5667,2040
DK043,ES259,2,Recurvirostra avosetta,8.25,56,27720,-6.4167,37,230000
NL027,NL029,2,Recurvirostra avosetta,4,51.75,13900,4.2,51.5,1175
DK043,ES254,2,Recurvirostra avosetta,8.25,56,27720,-5.5667,36.75,2500
FR109,NL020,2,Recurvirostra avosetta,-0.5667,46.4,12500,3.5833,51.7167,107000
DK043,DK056,2,Recurvirostra avosetta,8.25,56,27720,8.25,55.7,4270
DE289,DK089,2,Recurvirostra avosetta,8.81666,54.4833,441000,12.25,55.0833,24640
DK043,ES148,2,Recurvirostra avosetta,8.25,56,27720,0.7333,40.7167,32000
DK111,FR114,2,Recurvirostra avosetta,12.5333,55.5833,6210,-0.5167,46.1167,3500
DK043,FR102,2,Recurvirostra avosetta,8.25,56,27720,-0.6667,45.7667,8300
DK111,FR032,2,Recurvirostra avosetta,12.5333,55.5833,6210,-0.8167,46.4333,18700
DK038,DK043,2,Recurvirostra avosetta,8.2333,56.35,10890,8.25,56,27720
DK110,FR033,2,Recurvirostra avosetta,12.8333,55.6667,7240,-1,46.3333,77900
DK043,FR031,2,Recurvirostra avosetta,8.25,56,27720,-0.4,47.3,12000
NL020,NL029,2,Recurvirostra avosetta,3.5833,51.7167,107000,4.2,51.5,1175
DK094,SE061,2,Recurvirostra avosetta,11.3,55.8333,40250,12.9167,55.4167,20000
NL015,NL038,2,Recurvirostra avosetta,6.2167,53.3667,7820,5.25,52.5333,69700
UK047,UK077,2,Recurvirostra avosetta,0.741,52.9741,7831,0.29,52.9366,69908
DK111,FR023,2,Recurvirostra avosetta,12.5333,55.5833,6210,-1.8167,47.2667,21400
UK017,UK047,2,Recurvirostra avosetta,-1.9605,50.7618,10577,0.741,52.9741,7831
NL015,NL016,2,Recurvirostra avosetta,6.2167,53.3667,7820,6.5667,53.4333,4600
UK051,UK077,2,Recurvirostra avosetta,0.17816,52.4586,2490,0.29,52.9366,69908
NL021,NL024,2,Recurvirostra avosetta,4.0333,51.9167,350,4.25,51.7667,10900
BE006,NL032,2,Recurvirostra avosetta,3.35,51.3333,1820,3.8333,51.3833,50800
DK111,SE061,2,Recurvirostra avosetta,12.5333,55.5833,6210,12.9167,55.4167,20000
BE011,NL001,2,Recurvirostra avosetta,4.25,51.3167,7570,5.3833,53.3,272100
DK111,ES035,2,Recurvirostra avosetta,12.5333,55.5833,6210,-2.6833,43.3667,4000
BE011,FR033,2,Recurvirostra avosetta,4.25,51.3167,7570,-1,46.3333,77900
NL031,NL032,2,Recurvirostra avosetta,3.7333,51.5333,3010,3.8333,51.3833,50800
UK017,UK077,2,Recurvirostra avosetta,-1.9605,50.7618,10577,0.29,52.9366,69908
BE007,NL032,2,Recurvirostra avosetta,3.6667,51.25,780,3.8333,51.3833,50800
BE011,FR023,2,Recurvirostra avosetta,4.25,51.3167,7570,-1.8167,47.2667,21400
DK111,FR045,2,Recurvirostra avosetta,12.5333,55.5833,6210,0.3,49.4333,21100
BE032,DK130,2,Recurvirostra avosetta,4.4667,50.0833,83866,11.4666,55.0666,135300
DK008,NL038,2,Recurvirostra avosetta,9.1667,57.0333,1660,5.25,52.5333,69700
DK089,SE061,2,Recurvirostra avosetta,12.25,55.0833,24640,12.9167,55.4167,20000
NL032,PT021,2,Recurvirostra avosetta,3.8333,51.3833,50800,-8.9333,38.8167,45071
FR023,SE055,2,Recurvirostra avosetta,-1.8167,47.2667,21400,16.4,56.2,1610
DE298,DK061,2,Recurvirostra avosetta,8.78333,54.8666,4700,8.9333,55.0333,790
NL027,NL038,2,Recurvirostra avosetta,4,51.75,13900,5.25,52.5333,69700
NL024,NL038,2,Recurvirostra avosetta,4.25,51.7667,10900,5.25,52.5333,69700
BE006,NL028,2,Recurvirostra avosetta,3.35,51.3333,1820,3.9333,51.5833,36880
DK043,DK049,2,Recurvirostra avosetta,8.25,56,27720,8.3167,55.6,2700
FR101,NL001,2,Recurvirostra avosetta,-1,45.95,5400,5.3833,53.3,272100
NL024,NL029,2,Recurvirostra avosetta,4.25,51.7667,10900,4.2,51.5,1175
FR032,NL001,2,Recurvirostra avosetta,-0.8167,46.4333,18700,5.3833,53.3,272100
NL002,PT021,2,Recurvirostra avosetta,4.9,53.1333,1600,-8.9333,38.8167,45071
NL020,PT021,2,Recurvirostra avosetta,3.5833,51.7167,107000,-8.9333,38.8167,45071
ES276,NL038,2,Recurvirostra avosetta,-6.8333,38.8333,79000,5.25,52.5333,69700
NL038,NL071,2,Recurvirostra avosetta,5.25,52.5333,69700,4.9333,52.45,1960
NL001,NL071,2,Recurvirostra avosetta,5.3833,53.3,272100,4.9333,52.45,1960
NL071,PT021,2,Recurvirostra avosetta,4.9333,52.45,1960,-8.9333,38.8167,45071
FR032,NL020,2,Recurvirostra avosetta,-0.8167,46.4333,18700,3.5833,51.7167,107000
NL020,NL038,2,Recurvirostra avosetta,3.5833,51.7167,107000,5.25,52.5333,69700
NL001,NL034,2,Recurvirostra avosetta,5.3833,53.3,272100,5.45,52.75,109000
FR101,NL013,2,Recurvirostra avosetta,-1,45.95,5400,4.7667,52.9167,6000
BE011,FR030,2,Recurvirostra avosetta,4.25,51.3167,7570,-1.5,47.3,2700
NL026,NL038,2,Recurvirostra avosetta,4.25,51.65,6450,5.25,52.5333,69700
DE304,ES254,1,Recurvirostra avosetta,12.9,54.4333,203810,-5.5667,36.75,2500
DK057,NL001,1,Recurvirostra avosetta,8.5333,55.2667,115850,5.3833,53.3,272100
DK111,NL028,1,Recurvirostra avosetta,12.5333,55.5833,6210,3.9333,51.5833,36880
FR032,NL071,1,Recurvirostra avosetta,-0.8167,46.4333,18700,4.9333,52.45,1960
DK111,FR101,1,Recurvirostra avosetta,12.5333,55.5833,6210,-1,45.95,5400
NL038,NL072,1,Recurvirostra avosetta,5.25,52.5333,69700,4.8667,52.45,750
FR109,SE055,1,Recurvirostra avosetta,-0.5667,46.4,12500,16.4,56.2,1610
FR208,NL001,1,Recurvirostra avosetta,1.0667,44.0667,1300,5.3833,53.3,272100
DE304,PL012,1,Recurvirostra avosetta,12.9,54.4333,203810,18.6167,54.5667,56000
BE007,NL020,1,Recurvirostra avosetta,3.6667,51.25,780,3.5833,51.7167,107000
DK130,FR023,1,Recurvirostra avosetta,11.4666,55.0666,135300,-1.8167,47.2667,21400
NL021,NL031,1,Recurvirostra avosetta,4.0333,51.9167,350,3.7333,51.5333,3010
DK130,NL015,1,Recurvirostra avosetta,11.4666,55.0666,135300,6.2167,53.3667,7820
NL009,NL071,1,Recurvirostra avosetta,6.05,53.45,720,4.9333,52.45,1960
DK130,FR129,1,Recurvirostra avosetta,11.4666,55.0666,135300,0.3333,47.2667,1900
ES254,NL013,1,Recurvirostra avosetta,-5.5667,36.75,2500,4.7667,52.9167,6000
DK038,DK105,1,Recurvirostra avosetta,8.2333,56.35,10890,12.0833,55.75,13180
HU022,IT166,1,Recurvirostra avosetta,19.25,46.8166,44339,14.3333,37.0167,28052
DK071,SE050,1,Recurvirostra avosetta,10.3333,55,38440,18.95,57.4,152500
FR064,NL002,1,Recurvirostra avosetta,1.5833,50.8667,8950,4.9,53.1333,1600
DK111,FR105,1,Recurvirostra avosetta,12.5333,55.5833,6210,-1.1667,45.9,26500
BE007,FR032,1,Recurvirostra avosetta,3.6667,51.25,780,-0.8167,46.4333,18700
DK130,FR032,1,Recurvirostra avosetta,11.4666,55.0666,135300,-0.8167,46.4333,18700
