iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK009,DK011,40,Rissa tridactyla,10.9333,57.3667,2923,10.6333,57.4833,220
DK013,DK022,26,Rissa tridactyla,9,57.05,4870,8.6167,57.1167,5110
DK011,DK125,24,Rissa tridactyla,10.6333,57.4833,220,10.6,57.75,1800
DK009,DK125,15,Rissa tridactyla,10.9333,57.3667,2923,10.6,57.75,1800
DK011,DK121,9,Rissa tridactyla,10.6333,57.4833,220,9,57.6666,1600000
DK013,DK121,8,Rissa tridactyla,9,57.05,4870,9,57.6666,1600000
DK009,DK128,7,Rissa tridactyla,10.9333,57.3667,2923,11,57.2,580000
DK009,DK121,5,Rissa tridactyla,10.9333,57.3667,2923,9,57.6666,1600000
DK009,DK013,4,Rissa tridactyla,10.9333,57.3667,2923,9,57.05,4870
DK009,DK022,4,Rissa tridactyla,10.9333,57.3667,2923,8.6167,57.1167,5110
DE291,DK011,3,Rissa tridactyla,8.3,54.2,800000,10.6333,57.4833,220
DE291,DK009,3,Rissa tridactyla,8.3,54.2,800000,10.9333,57.3667,2923
IE095,IE116,3,Rissa tridactyla,-7.1,52.1667,1557,-6.0833,53.5667,62
DK005,DK009,2,Rissa tridactyla,10.35,57.55,4480,10.9333,57.3667,2923
IE089,IE095,2,Rissa tridactyla,-8.0333,51.8167,200,-7.1,52.1667,1557
DK011,DK128,2,Rissa tridactyla,10.6333,57.4833,220,11,57.2,580000
UK025,UK096,2,Rissa tridactyla,-2.5158,53.9815,79978,-4.0421,53.2551,2694
DK011,NL020,2,Rissa tridactyla,10.6333,57.4833,220,3.5833,51.7167,107000
UK006,UK096,2,Rissa tridactyla,1.7025,52.3838,468,-4.0421,53.2551,2694
UK044,UK048,2,Rissa tridactyla,-2.9781,54.104,36859,-2.2885,54.6466,146795
UK091,UK096,2,Rissa tridactyla,-3.637,53.3211,10154,-4.0421,53.2551,2694
UK207,UK233,2,Rissa tridactyla,-4.0393,57.7255,16262,-2.0463,57.6943,154
DK032,DK126,1,Rissa tridactyla,11.5833,56.7167,2000,12.25,56.1167,1250
IE116,UK081,1,Rissa tridactyla,-6.0833,53.5667,62,-3.485,52.8536,24187
