iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK052,DK053,4,Scolopax rusticola,8.5667,55.2833,850,8.4,55.4333,4370
DK049,DK050,4,Scolopax rusticola,8.3167,55.6,2700,8.15,55.6,6570
BE005,BE006,2,Scolopax rusticola,3.2167,51.25,9349,3.35,51.3333,1820
DK053,SE065,2,Scolopax rusticola,8.4,55.4333,4370,18.15,56.8666,157900
UK044,UK049,2,Scolopax rusticola,-2.9781,54.104,36859,-0.8706,54.3806,143490
DK052,UK016,2,Scolopax rusticola,8.5667,55.2833,850,1.34416,52.0423,977
ES084,NL034,2,Scolopax rusticola,-1.5,43.1667,6300,5.45,52.75,109000
DK049,NL002,2,Scolopax rusticola,8.3167,55.6,2700,4.9,53.1333,1600
NL034,UK009,2,Scolopax rusticola,5.45,52.75,109000,0.6795,52.4218,39284
DK053,ES014,2,Scolopax rusticola,8.4,55.4333,4370,-6,43.1667,166860
IE085,NL034,2,Scolopax rusticola,-8.5833,52.25,63,5.45,52.75,109000
DK080,DK113,2,Scolopax rusticola,14.9667,55.1333,6090,12.3333,55.4167,50
NL002,UK043,2,Scolopax rusticola,4.9,53.1333,1600,1.626,52.3021,2212
DK113,UK051,2,Scolopax rusticola,12.3333,55.4167,50,0.17816,52.4586,2490
DK053,DK057,2,Scolopax rusticola,8.4,55.4333,4370,8.5333,55.2667,115850
DK050,NL042,2,Scolopax rusticola,8.15,55.6,6570,5.6667,52.3833,3390
DK050,DK056,2,Scolopax rusticola,8.15,55.6,6570,8.25,55.7,4270
DK050,FR059,2,Scolopax rusticola,8.15,55.6,6570,2.65,49.2,32200
DK005,DK125,2,Scolopax rusticola,10.35,57.55,4480,10.6,57.75,1800
DK043,DK049,2,Scolopax rusticola,8.25,56,27720,8.3167,55.6,2700
DK005,SE010,2,Scolopax rusticola,10.35,57.55,4480,20.3167,63.75,1500
DK042,DK043,2,Scolopax rusticola,8.9667,56.3167,120,8.25,56,27720
DK043,UK049,2,Scolopax rusticola,8.25,56,27720,-0.8706,54.3806,143490
DK053,LV060,2,Scolopax rusticola,8.4,55.4333,4370,20.9666,56.2333,10000
DK049,UK019,2,Scolopax rusticola,8.3167,55.6,2700,0.83,50.9755,9805
DK049,DK062,2,Scolopax rusticola,8.3167,55.6,2700,9.2667,54.9333,930
DK050,DK087,2,Scolopax rusticola,8.15,55.6,6570,11.5167,54.7667,3810
DK005,DK053,2,Scolopax rusticola,10.35,57.55,4480,8.4,55.4333,4370
DK125,UK114,2,Scolopax rusticola,10.6,57.75,1800,-3.6661,57.0773,50688
DK125,FR053,2,Scolopax rusticola,10.6,57.75,1800,2.9167,49.4333,32700
DK049,EE039,2,Scolopax rusticola,8.3167,55.6,2700,26.7667,58.3333,953
FR062,UK019,1,Scolopax rusticola,1.5667,50.5333,5050,0.83,50.9755,9805
FR032,SE055,1,Scolopax rusticola,-0.8167,46.4333,18700,16.4,56.2,1610
UK047,UK072,1,Scolopax rusticola,0.741,52.9741,7831,-0.7421,51.368,11030
DK017,IE128,1,Scolopax rusticola,8.4167,56.95,1430,-7.95,53.5333,10788
DK110,FR062,1,Scolopax rusticola,12.8333,55.6667,7240,1.5667,50.5333,5050
DK017,UK049,1,Scolopax rusticola,8.4167,56.95,1430,-0.8706,54.3806,143490
BE011,FR063,1,Scolopax rusticola,4.25,51.3167,7570,1.6333,50.4667,1500
DK018,DK019,1,Scolopax rusticola,8.4667,57.0167,1410,8.7833,57,460
FR062,UK087,1,Scolopax rusticola,1.5667,50.5333,5050,-3.6733,52.2463,29916
DK050,DK051,1,Scolopax rusticola,8.15,55.6,6570,8.7,55.3333,6660
DK049,SE045,1,Scolopax rusticola,8.3167,55.6,2700,12.1,57.4,4000
IE095,SE055,1,Scolopax rusticola,-7.1,52.1667,1557,16.4,56.2,1610
BE016,UK072,1,Scolopax rusticola,4.6,50.7833,1250,-0.7421,51.368,11030
