iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK079,DK080,334,Somateria mollissima,15.1833,55.3167,1257,14.9667,55.1333,6090
DK031,DK036,254,Somateria mollissima,10.6667,55.9,15450,10.1667,55.85,42880
NL001,NL002,195,Somateria mollissima,5.3833,53.3,272100,4.9,53.1333,1600
DK030,DK031,139,Somateria mollissima,10.3333,56,370,10.6667,55.9,15450
NL001,NL004,128,Somateria mollissima,5.3833,53.3,272100,4.9833,53.2833,2740
DK071,DK079,122,Somateria mollissima,10.3333,55,38440,15.1833,55.3167,1257
DK031,DK094,101,Somateria mollissima,10.6667,55.9,15450,11.3,55.8333,40250
DE330,NL001,78,Somateria mollissima,5.08333,53.4333,1900,5.3833,53.3,272100
NL001,NL013,76,Somateria mollissima,5.3833,53.3,272100,4.7667,52.9167,6000
DK031,DK047,71,Somateria mollissima,10.6667,55.9,15450,9.7167,55.35,35060
DK072,DK079,68,Somateria mollissima,10.6667,54.7833,4980,15.1833,55.3167,1257
DK071,FI077,67,Somateria mollissima,10.3333,55,38440,25.6667,60.1667,22570
DK079,NL001,65,Somateria mollissima,15.1833,55.3167,1257,5.3833,53.3,272100
DK098,FI077,58,Somateria mollissima,11,55.3333,4920,25.6667,60.1667,22570
DK031,DK076,58,Somateria mollissima,10.6667,55.9,15450,10.2167,55.6,13060
DE289,DK079,55,Somateria mollissima,8.81666,54.4833,441000,15.1833,55.3167,1257
DK031,DK098,52,Somateria mollissima,10.6667,55.9,15450,11,55.3333,4920
DK047,FI077,51,Somateria mollissima,9.7167,55.35,35060,25.6667,60.1667,22570
NL001,NL010,50,Somateria mollissima,5.3833,53.3,272100,6.25,53.5,2800
DK051,DK052,49,Somateria mollissima,8.7,55.3333,6660,8.5667,55.2833,850
DK071,FI082,48,Somateria mollissima,10.3333,55,38440,24.5,59.9333,11808
NL001,NL009,45,Somateria mollissima,5.3833,53.3,272100,6.05,53.45,720
DK094,FI077,43,Somateria mollissima,11.3,55.8333,40250,25.6667,60.1667,22570
DK031,DK110,42,Somateria mollissima,10.6667,55.9,15450,12.8333,55.6667,7240
DK047,DK079,41,Somateria mollissima,9.7167,55.35,35060,15.1833,55.3167,1257
DK031,DK075,41,Somateria mollissima,10.6667,55.9,15450,10.5667,55.5,5060
DK102,DK110,40,Somateria mollissima,11.8333,55.9667,4000,12.8333,55.6667,7240
DK031,DK071,39,Somateria mollissima,10.6667,55.9,15450,10.3333,55,38440
DK036,FI077,37,Somateria mollissima,10.1667,55.85,42880,25.6667,60.1667,22570
DK049,DK051,37,Somateria mollissima,8.3167,55.6,2700,8.7,55.3333,6660
DK031,DK112,37,Somateria mollissima,10.6667,55.9,15450,10.8167,56.1333,70
DK071,NL001,36,Somateria mollissima,10.3333,55,38440,5.3833,53.3,272100
DK073,FI077,34,Somateria mollissima,10.8333,55.1667,3470,25.6667,60.1667,22570
DK047,NL001,34,Somateria mollissima,9.7167,55.35,35060,5.3833,53.3,272100
DK079,DK098,30,Somateria mollissima,15.1833,55.3167,1257,11,55.3333,4920
DK031,NL001,30,Somateria mollissima,10.6667,55.9,15450,5.3833,53.3,272100
DK031,DK073,29,Somateria mollissima,10.6667,55.9,15450,10.8333,55.1667,3470
DK110,DK111,28,Somateria mollissima,12.8333,55.6667,7240,12.5333,55.5833,6210
DK072,NL001,27,Somateria mollissima,10.6667,54.7833,4980,5.3833,53.3,272100
DK031,DK053,26,Somateria mollissima,10.6667,55.9,15450,8.4,55.4333,4370
DK102,FI077,26,Somateria mollissima,11.8333,55.9667,4000,25.6667,60.1667,22570
DK051,DK057,25,Somateria mollissima,8.7,55.3333,6660,8.5333,55.2667,115850
DK130,FI077,24,Somateria mollissima,11.4666,55.0666,135300,25.6667,60.1667,22570
DK072,FI077,24,Somateria mollissima,10.6667,54.7833,4980,25.6667,60.1667,22570
DE289,NL001,23,Somateria mollissima,8.81666,54.4833,441000,5.3833,53.3,272100
DE289,FI077,23,Somateria mollissima,8.81666,54.4833,441000,25.6667,60.1667,22570
NL001,NL008,23,Somateria mollissima,5.3833,53.3,272100,5.75,53.4667,3150
DK036,FI082,23,Somateria mollissima,10.1667,55.85,42880,24.5,59.9333,11808
DK031,DK077,23,Somateria mollissima,10.6667,55.9,15450,10.8333,55.5,3490
DK031,DK128,23,Somateria mollissima,10.6667,55.9,15450,11,57.2,580000
DK047,FI082,22,Somateria mollissima,9.7167,55.35,35060,24.5,59.9333,11808
DK031,DK099,22,Somateria mollissima,10.6667,55.9,15450,11.1667,55.75,3630
FI081,NL001,22,Somateria mollissima,22.9,59.8167,11151,5.3833,53.3,272100
DK031,DK051,22,Somateria mollissima,10.6667,55.9,15450,8.7,55.3333,6660
DK094,DK110,21,Somateria mollissima,11.3,55.8333,40250,12.8333,55.6667,7240
DK071,FI078,20,Somateria mollissima,10.3333,55,38440,24.9333,60.2,1274
DK031,FI077,20,Somateria mollissima,10.6667,55.9,15450,25.6667,60.1667,22570
DK071,FI080,19,Somateria mollissima,10.3333,55,38440,23.5667,59.7667,32666
FI077,NL001,19,Somateria mollissima,25.6667,60.1667,22570,5.3833,53.3,272100
DK031,DK045,19,Somateria mollissima,10.6667,55.9,15450,9.75,55.7,2690
DK051,DK053,19,Somateria mollissima,8.7,55.3333,6660,8.4,55.4333,4370
DK079,DK130,19,Somateria mollissima,15.1833,55.3167,1257,11.4666,55.0666,135300
DK073,DK079,19,Somateria mollissima,10.8333,55.1667,3470,15.1833,55.3167,1257
DK098,NL001,18,Somateria mollissima,11,55.3333,4920,5.3833,53.3,272100
