iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE289,UK124,5,Stercorarius skua,8.81666,54.4833,441000,-2.6805,58.8985,125
DE289,UK220,4,Stercorarius skua,8.81666,54.4833,441000,-1.0165,60.145,342
UK124,UK241,3,Stercorarius skua,-2.6805,58.8985,125,-3.1031,58.8803,25122
DK051,UK220,3,Stercorarius skua,8.7,55.3333,6660,-1.0165,60.145,342
NL021,UK220,3,Stercorarius skua,4.0333,51.9167,350,-1.0165,60.145,342
BE001,UK220,2,Stercorarius skua,2.75,51.2,17000,-1.0165,60.145,342
DE291,UK124,2,Stercorarius skua,8.3,54.2,800000,-2.6805,58.8985,125
FR014,UK220,2,Stercorarius skua,-2.7667,47.5667,18800,-1.0165,60.145,342
DK053,UK220,2,Stercorarius skua,8.4,55.4333,4370,-1.0165,60.145,342
DK049,UK220,2,Stercorarius skua,8.3167,55.6,2700,-1.0165,60.145,342
UK124,UK226,2,Stercorarius skua,-2.6805,58.8985,125,-3.0575,58.7431,175
FR051,UK220,2,Stercorarius skua,1.7,50.2667,5550,-1.0165,60.145,342
FO004,UK081,1,Stercorarius skua,-6.9167,62.2167,60,-3.485,52.8536,24187
UK105,UK199,1,Stercorarius skua,-2.5683,59.0316,102,-2.8975,59.0428,33
FO003,FO004,1,Stercorarius skua,-7,62.1167,125,-6.9167,62.2167,60
NL032,UK124,1,Stercorarius skua,3.8333,51.3833,50800,-2.6805,58.8985,125
UK220,UK235,1,Stercorarius skua,-1.0165,60.145,342,-3.0963,59.1806,631
FR024,UK220,1,Stercorarius skua,-1.6667,47.0833,5600,-1.0165,60.145,342
FO007,FO011,1,Stercorarius skua,-6.5167,62.25,35,-6.6167,61.9667,1028
DK057,UK124,1,Stercorarius skua,8.5333,55.2667,115850,-2.6805,58.8985,125
FR176,UK124,1,Stercorarius skua,-1.1167,44.6667,20100,-2.6805,58.8985,125
UK124,UK199,1,Stercorarius skua,-2.6805,58.8985,125,-2.8975,59.0428,33
PT015,UK220,1,Stercorarius skua,-8.5333,39.3666,432,-1.0165,60.145,342
ES026,UK220,1,Stercorarius skua,-3.75,43.4167,3300,-1.0165,60.145,342
UK040,UK220,1,Stercorarius skua,0.66433,51.3996,4668,-1.0165,60.145,342
NL001,UK110,1,Stercorarius skua,5.3833,53.3,272100,-1.0245,60.6705,1130
NL026,UK110,1,Stercorarius skua,4.25,51.65,6450,-1.0245,60.6705,1130
UK124,UK219,1,Stercorarius skua,-2.6805,58.8985,125,-2.9733,59.3516,125
UK124,UK234,1,Stercorarius skua,-2.6805,58.8985,125,-2.6728,59.0846,295
NO040,UK124,1,Stercorarius skua,5.6,62.4,640,-2.6805,58.8985,125
DK128,UK220,1,Stercorarius skua,11,57.2,580000,-1.0165,60.145,342
UK105,UK234,1,Stercorarius skua,-2.5683,59.0316,102,-2.6728,59.0846,295
NL031,UK124,1,Stercorarius skua,3.7333,51.5333,3010,-2.6805,58.8985,125
DK121,UK220,1,Stercorarius skua,9,57.6666,1600000,-1.0165,60.145,342
NL020,UK220,1,Stercorarius skua,3.5833,51.7167,107000,-1.0165,60.145,342
NL008,UK220,1,Stercorarius skua,5.75,53.4667,3150,-1.0165,60.145,342
NL012,UK124,1,Stercorarius skua,6.5833,53.55,311,-2.6805,58.8985,125
DK056,UK124,1,Stercorarius skua,8.25,55.7,4270,-2.6805,58.8985,125
FR191,UK220,1,Stercorarius skua,-1.6,43.2667,1500,-1.0165,60.145,342
UK110,UK220,1,Stercorarius skua,-1.0245,60.6705,1130,-1.0165,60.145,342
FR102,UK220,1,Stercorarius skua,-0.6667,45.7667,8300,-1.0165,60.145,342
DK038,UK220,1,Stercorarius skua,8.2333,56.35,10890,-1.0165,60.145,342
IE037,UK220,1,Stercorarius skua,-8.75,54.2667,18,-1.0165,60.145,342
ES148,UK220,1,Stercorarius skua,0.7333,40.7167,32000,-1.0165,60.145,342
UK105,UK124,1,Stercorarius skua,-2.5683,59.0316,102,-2.6805,58.8985,125
NL034,UK220,1,Stercorarius skua,5.45,52.75,109000,-1.0165,60.145,342
NL001,UK220,1,Stercorarius skua,5.3833,53.3,272100,-1.0165,60.145,342
UK049,UK124,1,Stercorarius skua,-0.8706,54.3806,143490,-2.6805,58.8985,125
UK124,UK259,1,Stercorarius skua,-2.6805,58.8985,125,-2.2298,57.679,171
DE058,UK124,1,Stercorarius skua,8.16666,53.55,235071,-2.6805,58.8985,125
UK124,UK238,1,Stercorarius skua,-2.6805,58.8985,125,-8.5801,57.8156,860
UK103,UK124,1,Stercorarius skua,-5.069,58.1796,1151,-2.6805,58.8985,125
FR051,UK199,1,Stercorarius skua,1.7,50.2667,5550,-2.8975,59.0428,33
NL019,UK124,1,Stercorarius skua,4.7,52.8167,600,-2.6805,58.8985,125
ES153,UK220,1,Stercorarius skua,0.6667,39.9167,2500,-1.0165,60.145,342
BE030,UK013,1,Stercorarius skua,3.7333,50.4833,13715,-2.6206,51.3343,574
DK072,UK220,1,Stercorarius skua,10.6667,54.7833,4980,-1.0165,60.145,342
