iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL034,NL038,129,Sterna hirundo,5.45,52.75,109000,5.25,52.5333,69700
DE049,DE316,77,Sterna hirundo,12.2833,53.5333,45850,12.7333,53.7166,77210
NL021,NL024,57,Sterna hirundo,4.0333,51.9167,350,4.25,51.7667,10900
DE043,DE288,40,Sterna hirundo,11.6166,53.7833,74800,11.4333,54.0166,102030
DE049,DE313,19,Sterna hirundo,12.2833,53.5333,45850,12.1333,53.7666,5960
DE045,DE304,17,Sterna hirundo,14.0166,53.9333,27790,12.9,54.4333,203810
NL001,NL009,17,Sterna hirundo,5.3833,53.3,272100,6.05,53.45,720
CH004,CH006,16,Sterna hirundo,7.1833,46.9667,16100,6.1,46.1833,1100
DE049,DE304,14,Sterna hirundo,12.2833,53.5333,45850,12.9,54.4333,203810
NL021,NL071,14,Sterna hirundo,4.0333,51.9167,350,4.9333,52.45,1960
NL071,NL072,13,Sterna hirundo,4.9333,52.45,1960,4.8667,52.45,750
NL038,NL071,13,Sterna hirundo,5.25,52.5333,69700,4.9333,52.45,1960
DE043,DE049,12,Sterna hirundo,11.6166,53.7833,74800,12.2833,53.5333,45850
DE045,DE049,11,Sterna hirundo,14.0166,53.9333,27790,12.2833,53.5333,45850
NL001,NL034,11,Sterna hirundo,5.3833,53.3,272100,5.45,52.75,109000
NL001,NL038,10,Sterna hirundo,5.3833,53.3,272100,5.25,52.5333,69700
NL002,NL013,10,Sterna hirundo,4.9,53.1333,1600,4.7667,52.9167,6000
DE045,PL001,10,Sterna hirundo,14.0166,53.9333,27790,14.3333,53.8333,4000
UK041,UK049,9,Sterna hirundo,-2.8301,53.2998,5007,-0.8706,54.3806,143490
NL020,NL021,8,Sterna hirundo,3.5833,51.7167,107000,4.0333,51.9167,350
BE004,BE006,8,Sterna hirundo,3.1833,51.35,230,3.35,51.3333,1820
NL009,NL010,8,Sterna hirundo,6.05,53.45,720,6.25,53.5,2800
DE043,DE304,8,Sterna hirundo,11.6166,53.7833,74800,12.9,54.4333,203810
CH006,CH009,8,Sterna hirundo,6.1,46.1833,1100,6.9,46.3667,6600
UK010,UK049,7,Sterna hirundo,1.63133,52.5845,2091,-0.8706,54.3806,143490
CH006,CH007,7,Sterna hirundo,6.1,46.1833,1100,6.2,46.25,3400
NL038,NL068,7,Sterna hirundo,5.25,52.5333,69700,4.85,52.5667,2040
NL001,NL021,7,Sterna hirundo,5.3833,53.3,272100,4.0333,51.9167,350
BE004,NL021,7,Sterna hirundo,3.1833,51.35,230,4.0333,51.9167,350
BE007,NL032,7,Sterna hirundo,3.6667,51.25,780,3.8333,51.3833,50800
UK047,UK077,6,Sterna hirundo,0.741,52.9741,7831,0.29,52.9366,69908
NL020,NL032,6,Sterna hirundo,3.5833,51.7167,107000,3.8333,51.3833,50800
DE043,DE371,5,Sterna hirundo,11.6166,53.7833,74800,10.9166,53.0333,4851
BE004,ES238,5,Sterna hirundo,3.1833,51.35,230,-5.1667,37.4167,62200
AT001,AT003,5,Sterna hirundo,16.9666,47.7333,3729,16.8333,47.75,13995
BE004,UK010,5,Sterna hirundo,3.1833,51.35,230,1.63133,52.5845,2091
FR045,NL001,5,Sterna hirundo,0.3,49.4333,21100,5.3833,53.3,272100
DE262,DE276,5,Sterna hirundo,11.1333,48.0166,7500,11.3,47.9166,5671
BE011,NL032,4,Sterna hirundo,4.25,51.3167,7570,3.8333,51.3833,50800
NL001,NL002,4,Sterna hirundo,5.3833,53.3,272100,4.9,53.1333,1600
BE004,FI077,4,Sterna hirundo,3.1833,51.35,230,25.6667,60.1667,22570
NL010,NL015,4,Sterna hirundo,6.25,53.5,2800,6.2167,53.3667,7820
NL068,NL071,4,Sterna hirundo,4.85,52.5667,2040,4.9333,52.45,1960
PL012,PL013,4,Sterna hirundo,18.6167,54.5667,56000,18.95,54.35,485
NL021,NL023,4,Sterna hirundo,4.0333,51.9167,350,4,51.8333,430
FR051,NL020,4,Sterna hirundo,1.7,50.2667,5550,3.5833,51.7167,107000
CH004,CH009,4,Sterna hirundo,7.1833,46.9667,16100,6.9,46.3667,6600
DE044,DE304,3,Sterna hirundo,13.5166,54.2166,103155,12.9,54.4333,203810
DE330,NL001,3,Sterna hirundo,5.08333,53.4333,1900,5.3833,53.3,272100
