iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE043,DE288,149,Sterna paradisaea,11.6166,53.7833,74800,11.4333,54.0166,102030
DK110,DK111,38,Sterna paradisaea,12.8333,55.6667,7240,12.5333,55.5833,6210
DK023,DK038,19,Sterna paradisaea,8.25,56.75,5490,8.2333,56.35,10890
DK103,DK111,14,Sterna paradisaea,12.15,55.5667,100,12.5333,55.5833,6210
DK111,SE061,10,Sterna paradisaea,12.5333,55.5833,6210,12.9167,55.4167,20000
DK014,DK025,9,Sterna paradisaea,9.1667,56.6667,7590,8.5833,56.75,510
DK088,DK130,8,Sterna paradisaea,11.0333,54.8333,8550,11.4666,55.0666,135300
DK082,DK083,8,Sterna paradisaea,11.95,54.6333,1710,11.7167,54.55,100000
NL009,NL011,7,Sterna paradisaea,6.05,53.45,720,6.5,53.5333,782
NL001,NL009,7,Sterna paradisaea,5.3833,53.3,272100,6.05,53.45,720
DK049,DK053,6,Sterna paradisaea,8.3167,55.6,2700,8.4,55.4333,4370
NL009,NL010,6,Sterna paradisaea,6.05,53.45,720,6.25,53.5,2800
UK086,UK091,6,Sterna paradisaea,-3.1935,53.3283,13587,-3.637,53.3211,10154
NL001,NL011,5,Sterna paradisaea,5.3833,53.3,272100,6.5,53.5333,782
DK083,DK084,5,Sterna paradisaea,11.7167,54.55,100000,12,54.9167,8160
DK082,DK086,5,Sterna paradisaea,11.95,54.6333,1710,11.8333,54.8333,2820
DK001,DK121,5,Sterna paradisaea,9.5833,57.0333,18530,9,57.6666,1600000
DE288,DK083,4,Sterna paradisaea,11.4333,54.0166,102030,11.7167,54.55,100000
DK105,DK111,4,Sterna paradisaea,12.0833,55.75,13180,12.5333,55.5833,6210
DK001,DK008,4,Sterna paradisaea,9.5833,57.0333,18530,9.1667,57.0333,1660
DK001,DK038,4,Sterna paradisaea,9.5833,57.0333,18530,8.2333,56.35,10890
DK038,NL009,3,Sterna paradisaea,8.2333,56.35,10890,6.05,53.45,720
DE043,DK130,3,Sterna paradisaea,11.6166,53.7833,74800,11.4666,55.0666,135300
DK014,DK036,3,Sterna paradisaea,9.1667,56.6667,7590,10.1667,55.85,42880
DE288,DK075,3,Sterna paradisaea,11.4333,54.0166,102030,10.5667,55.5,5060
DK103,DK110,3,Sterna paradisaea,12.15,55.5667,100,12.8333,55.6667,7240
DK036,DK047,3,Sterna paradisaea,10.1667,55.85,42880,9.7167,55.35,35060
DK013,DK045,3,Sterna paradisaea,9,57.05,4870,9.75,55.7,2690
DK104,DK105,3,Sterna paradisaea,12.05,55.5833,220,12.0833,55.75,13180
DK001,DK007,3,Sterna paradisaea,9.5833,57.0333,18530,10.2167,56.8667,7380
DK084,DK130,3,Sterna paradisaea,12,54.9167,8160,11.4666,55.0666,135300
DK071,DK088,3,Sterna paradisaea,10.3333,55,38440,11.0333,54.8333,8550
DK098,DK130,3,Sterna paradisaea,11,55.3333,4920,11.4666,55.0666,135300
DE043,DK083,3,Sterna paradisaea,11.6166,53.7833,74800,11.7167,54.55,100000
DK036,DK076,3,Sterna paradisaea,10.1667,55.85,42880,10.2167,55.6,13060
DK030,DK036,3,Sterna paradisaea,10.3333,56,370,10.1667,55.85,42880
NL010,NL011,2,Sterna paradisaea,6.25,53.5,2800,6.5,53.5333,782
DK023,DK025,2,Sterna paradisaea,8.25,56.75,5490,8.5833,56.75,510
DK103,DK130,2,Sterna paradisaea,12.15,55.5667,100,11.4666,55.0666,135300
DK009,DK128,2,Sterna paradisaea,10.9333,57.3667,2923,11,57.2,580000
DE043,DK075,2,Sterna paradisaea,11.6166,53.7833,74800,10.5667,55.5,5060
DK027,DK036,2,Sterna paradisaea,8.5833,56.6667,6990,10.1667,55.85,42880
DE288,DE289,2,Sterna paradisaea,11.4333,54.0166,102030,8.81666,54.4833,441000
DE288,DK088,2,Sterna paradisaea,11.4333,54.0166,102030,11.0333,54.8333,8550
DK075,DK098,2,Sterna paradisaea,10.5667,55.5,5060,11,55.3333,4920
DE018,DK088,2,Sterna paradisaea,11.1333,54.3833,2930,11.0333,54.8333,8550
DK036,DK111,2,Sterna paradisaea,10.1667,55.85,42880,12.5333,55.5833,6210
DK001,DK128,2,Sterna paradisaea,9.5833,57.0333,18530,11,57.2,580000
DK103,SE061,2,Sterna paradisaea,12.15,55.5667,100,12.9167,55.4167,20000
DK083,DK086,2,Sterna paradisaea,11.7167,54.55,100000,11.8333,54.8333,2820
DK110,SE061,2,Sterna paradisaea,12.8333,55.6667,7240,12.9167,55.4167,20000
DK001,DK117,2,Sterna paradisaea,9.5833,57.0333,18530,9.8333,57.2167,6000
DK051,DK057,2,Sterna paradisaea,8.7,55.3333,6660,8.5333,55.2667,115850
DK130,NL015,2,Sterna paradisaea,11.4666,55.0666,135300,6.2167,53.3667,7820
DK105,SE061,2,Sterna paradisaea,12.0833,55.75,13180,12.9167,55.4167,20000
DE043,DK105,2,Sterna paradisaea,11.6166,53.7833,74800,12.0833,55.75,13180
DK001,DK023,2,Sterna paradisaea,9.5833,57.0333,18530,8.25,56.75,5490
DK083,DK088,2,Sterna paradisaea,11.7167,54.55,100000,11.0333,54.8333,8550
DK084,DK089,2,Sterna paradisaea,12,54.9167,8160,12.25,55.0833,24640
DK005,DK011,2,Sterna paradisaea,10.35,57.55,4480,10.6333,57.4833,220
DK111,DK130,2,Sterna paradisaea,12.5333,55.5833,6210,11.4666,55.0666,135300
DK075,DK130,2,Sterna paradisaea,10.5667,55.5,5060,11.4666,55.0666,135300
DK036,NL001,2,Sterna paradisaea,10.1667,55.85,42880,5.3833,53.3,272100
DE043,DE371,1,Sterna paradisaea,11.6166,53.7833,74800,10.9166,53.0333,4851
DK075,DK105,1,Sterna paradisaea,10.5667,55.5,5060,12.0833,55.75,13180
DK086,DK088,1,Sterna paradisaea,11.8333,54.8333,2820,11.0333,54.8333,8550
DK089,DK130,1,Sterna paradisaea,12.25,55.0833,24640,11.4666,55.0666,135300
DK086,DK111,1,Sterna paradisaea,11.8333,54.8333,2820,12.5333,55.5833,6210
DK047,SE055,1,Sterna paradisaea,9.7167,55.35,35060,16.4,56.2,1610
DE024,DE288,1,Sterna paradisaea,9.33333,54.3833,60000,11.4333,54.0166,102030
DE289,DK053,1,Sterna paradisaea,8.81666,54.4833,441000,8.4,55.4333,4370
DE288,DE371,1,Sterna paradisaea,11.4333,54.0166,102030,10.9166,53.0333,4851
DE118,DK038,1,Sterna paradisaea,8.68333,53.1,2310,8.2333,56.35,10890
DK110,NL021,1,Sterna paradisaea,12.8333,55.6667,7240,4.0333,51.9167,350
DK048,DK075,1,Sterna paradisaea,9,55.7333,630,10.5667,55.5,5060
DE288,DE306,1,Sterna paradisaea,11.4333,54.0166,102030,11.9833,53.95,11490
DK094,NL020,1,Sterna paradisaea,11.3,55.8333,40250,3.5833,51.7167,107000
DE043,DK084,1,Sterna paradisaea,11.6166,53.7833,74800,12,54.9167,8160
DK047,DK057,1,Sterna paradisaea,9.7167,55.35,35060,8.5333,55.2667,115850
DK086,DK130,1,Sterna paradisaea,11.8333,54.8333,2820,11.4666,55.0666,135300
FI088,UK039,1,Sterna paradisaea,21.3333,61.75,9716,-2.878,53.6248,120
DK075,DK111,1,Sterna paradisaea,10.5667,55.5,5060,12.5333,55.5833,6210
DK047,NL023,1,Sterna paradisaea,9.7167,55.35,35060,4,51.8333,430
DE331,DK111,1,Sterna paradisaea,7,53.3333,5052,12.5333,55.5833,6210
FI093,SE071,1,Sterna paradisaea,20.5833,59.8667,17843,13.6166,55.3833,9160
DE043,NL001,1,Sterna paradisaea,11.6166,53.7833,74800,5.3833,53.3,272100
DE021,FI081,1,Sterna paradisaea,10.75,54.0333,2050,22.9,59.8167,11151
DE043,DE058,1,Sterna paradisaea,11.6166,53.7833,74800,8.16666,53.55,235071
DE005,DK088,1,Sterna paradisaea,9.83333,54.5833,2665,11.0333,54.8333,8550
DK088,NL013,1,Sterna paradisaea,11.0333,54.8333,8550,4.7667,52.9167,6000
DK036,DK049,1,Sterna paradisaea,10.1667,55.85,42880,8.3167,55.6,2700
UK081,UK091,1,Sterna paradisaea,-3.485,52.8536,24187,-3.637,53.3211,10154
FI083,SE019,1,Sterna paradisaea,21.6,61.5333,15441,17.7003,60.5215,4600
DK075,DK110,1,Sterna paradisaea,10.5667,55.5,5060,12.8333,55.6667,7240
DK049,DK128,1,Sterna paradisaea,8.3167,55.6,2700,11,57.2,580000
DK084,DK111,1,Sterna paradisaea,12,54.9167,8160,12.5333,55.5833,6210
DK050,DK057,1,Sterna paradisaea,8.15,55.6,6570,8.5333,55.2667,115850
DK089,DK100,1,Sterna paradisaea,12.25,55.0833,24640,11.3333,55.5833,2890
DK008,DK025,1,Sterna paradisaea,9.1667,57.0333,1660,8.5833,56.75,510
DE288,DK130,1,Sterna paradisaea,11.4333,54.0166,102030,11.4666,55.0666,135300
DK036,DK071,1,Sterna paradisaea,10.1667,55.85,42880,10.3333,55,38440
DE288,DK103,1,Sterna paradisaea,11.4333,54.0166,102030,12.15,55.5667,100
DK056,DK130,1,Sterna paradisaea,8.25,55.7,4270,11.4666,55.0666,135300
DE307,DK083,1,Sterna paradisaea,13.4333,54.5,21790,11.7167,54.55,100000
DK014,DK047,1,Sterna paradisaea,9.1667,56.6667,7590,9.7167,55.35,35060
DK036,DK075,1,Sterna paradisaea,10.1667,55.85,42880,10.5667,55.5,5060
DK011,DK128,1,Sterna paradisaea,10.6333,57.4833,220,11,57.2,580000
DK084,DK105,1,Sterna paradisaea,12,54.9167,8160,12.0833,55.75,13180
DK001,DK012,1,Sterna paradisaea,9.5833,57.0333,18530,9.1667,56.9167,32570
DK098,DK111,1,Sterna paradisaea,11,55.3333,4920,12.5333,55.5833,6210
DK124,DK130,1,Sterna paradisaea,12.5333,56.05,800,11.4666,55.0666,135300
DK082,DK088,1,Sterna paradisaea,11.95,54.6333,1710,11.0333,54.8333,8550
DK075,DK088,1,Sterna paradisaea,10.5667,55.5,5060,11.0333,54.8333,8550
DK110,DK130,1,Sterna paradisaea,12.8333,55.6667,7240,11.4666,55.0666,135300
DK100,DK111,1,Sterna paradisaea,11.3333,55.5833,2890,12.5333,55.5833,6210
DK007,DK036,1,Sterna paradisaea,10.2167,56.8667,7380,10.1667,55.85,42880
DE289,DK001,1,Sterna paradisaea,8.81666,54.4833,441000,9.5833,57.0333,18530
DK007,DK128,1,Sterna paradisaea,10.2167,56.8667,7380,11,57.2,580000
DK023,DK128,1,Sterna paradisaea,8.25,56.75,5490,11,57.2,580000
DE288,DK076,1,Sterna paradisaea,11.4333,54.0166,102030,10.2167,55.6,13060
