iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DE286,DE288,20,Sternula albifrons,11.15,54.2333,14600,11.4333,54.0166,102030
NL024,NL026,19,Sternula albifrons,4.25,51.7667,10900,4.25,51.65,6450
DE043,DE288,17,Sternula albifrons,11.6166,53.7833,74800,11.4333,54.0166,102030
DE044,DE304,15,Sternula albifrons,13.5166,54.2166,103155,12.9,54.4333,203810
IT064,IT077,11,Sternula albifrons,12.4667,45.3667,68982,10.3333,43.85,3795
DK038,DK043,10,Sternula albifrons,8.2333,56.35,10890,8.25,56,27720
DE304,DK103,10,Sternula albifrons,12.9,54.4333,203810,12.15,55.5667,100
NL020,NL024,10,Sternula albifrons,3.5833,51.7167,107000,4.25,51.7667,10900
DE304,PL013,9,Sternula albifrons,12.9,54.4333,203810,18.95,54.35,485
DE008,DE288,8,Sternula albifrons,10.35,54.4166,9680,11.4333,54.0166,102030
DE288,DE304,8,Sternula albifrons,11.4333,54.0166,102030,12.9,54.4333,203810
NL020,NL032,5,Sternula albifrons,3.5833,51.7167,107000,3.8333,51.3833,50800
DE304,DK083,5,Sternula albifrons,12.9,54.4333,203810,11.7167,54.55,100000
IT064,IT082,5,Sternula albifrons,12.4667,45.3667,68982,10.2667,43.7667,7000
DE286,DE304,4,Sternula albifrons,11.15,54.2333,14600,12.9,54.4333,203810
NL026,NL029,4,Sternula albifrons,4.25,51.65,6450,4.2,51.5,1175
DE008,DE286,4,Sternula albifrons,10.35,54.4166,9680,11.15,54.2333,14600
NL024,NL029,4,Sternula albifrons,4.25,51.7667,10900,4.2,51.5,1175
IT064,IT071,4,Sternula albifrons,12.4667,45.3667,68982,12.25,44.7833,7081
DK103,DK110,3,Sternula albifrons,12.15,55.5667,100,12.8333,55.6667,7240
DK111,SE061,3,Sternula albifrons,12.5333,55.5833,6210,12.9167,55.4167,20000
DK103,DK111,3,Sternula albifrons,12.15,55.5667,100,12.5333,55.5833,6210
ES204,ES238,3,Sternula albifrons,-4.3333,39.5,324500,-5.1667,37.4167,62200
DE018,DE288,3,Sternula albifrons,11.1333,54.3833,2930,11.4333,54.0166,102030
DE304,SE061,3,Sternula albifrons,12.9,54.4333,203810,12.9167,55.4167,20000
ES148,IT064,3,Sternula albifrons,0.7333,40.7167,32000,12.4667,45.3667,68982
DE058,DE304,3,Sternula albifrons,8.16666,53.55,235071,12.9,54.4333,203810
DK111,SE052,2,Sternula albifrons,12.5333,55.5833,6210,12.2167,57.1167,355
DE009,DE287,2,Sternula albifrons,10.45,54.3,2141,10.9333,54.4666,59800
DK110,SE065,2,Sternula albifrons,12.8333,55.6667,7240,18.15,56.8666,157900
DE304,DK130,2,Sternula albifrons,12.9,54.4333,203810,11.4666,55.0666,135300
ES238,ES259,2,Sternula albifrons,-5.1667,37.4167,62200,-6.4167,37,230000
DE304,NL010,2,Sternula albifrons,12.9,54.4333,203810,6.25,53.5,2800
DE008,DE043,2,Sternula albifrons,10.35,54.4166,9680,11.6166,53.7833,74800
DE304,DK082,2,Sternula albifrons,12.9,54.4333,203810,11.95,54.6333,1710
DK110,DK111,2,Sternula albifrons,12.8333,55.6667,7240,12.5333,55.5833,6210
ES238,ES280,2,Sternula albifrons,-5.1667,37.4167,62200,-5.5,38.8333,109800
DK038,DK057,2,Sternula albifrons,8.2333,56.35,10890,8.5333,55.2667,115850
FI028,SE055,2,Sternula albifrons,25.1667,64.9167,81781,16.4,56.2,1610
DK098,DK100,2,Sternula albifrons,11,55.3333,4920,11.3333,55.5833,2890
DE304,DK111,2,Sternula albifrons,12.9,54.4333,203810,12.5333,55.5833,6210
DK111,DK130,2,Sternula albifrons,12.5333,55.5833,6210,11.4666,55.0666,135300
NL024,NL032,2,Sternula albifrons,4.25,51.7667,10900,3.8333,51.3833,50800
NL020,UK042,2,Sternula albifrons,3.5833,51.7167,107000,0.9595,51.6721,22856
NL020,NL029,2,Sternula albifrons,3.5833,51.7167,107000,4.2,51.5,1175
IT072,IT076,2,Sternula albifrons,12.1667,44.6167,44013,12.35,44.25,989
IT064,IT072,2,Sternula albifrons,12.4667,45.3667,68982,12.1667,44.6167,44013
BE004,UK010,2,Sternula albifrons,3.1833,51.35,230,1.63133,52.5845,2091
NL020,NL026,2,Sternula albifrons,3.5833,51.7167,107000,4.25,51.65,6450
UK001,UK042,1,Sternula albifrons,0.86416,51.8251,716,0.9595,51.6721,22856
DE288,SE061,1,Sternula albifrons,11.4333,54.0166,102030,12.9167,55.4167,20000
NL009,NL010,1,Sternula albifrons,6.05,53.45,720,6.25,53.5,2800
NL026,NL028,1,Sternula albifrons,4.25,51.65,6450,3.9333,51.5833,36880
SE059,SE061,1,Sternula albifrons,12.8333,55.8667,20000,12.9167,55.4167,20000
DE287,DE288,1,Sternula albifrons,10.9333,54.4666,59800,11.4333,54.0166,102030
ES223,IT064,1,Sternula albifrons,-3.6667,36.8333,125000,12.4667,45.3667,68982
NL029,NL032,1,Sternula albifrons,4.2,51.5,1175,3.8333,51.3833,50800
FR063,NL038,1,Sternula albifrons,1.6333,50.4667,1500,5.25,52.5333,69700
DE142,DE144,1,Sternula albifrons,14.15,52.9833,11779,14.45,52.6666,3158
DK001,SE061,1,Sternula albifrons,9.5833,57.0333,18530,12.9167,55.4167,20000
DE287,DK083,1,Sternula albifrons,10.9333,54.4666,59800,11.7167,54.55,100000
DE304,NL009,1,Sternula albifrons,12.9,54.4333,203810,6.05,53.45,720
DK027,DK038,1,Sternula albifrons,8.5833,56.6667,6990,8.2333,56.35,10890
DE058,DE366,1,Sternula albifrons,8.16666,53.55,235071,7.41666,53.7,70000
DK023,DK038,1,Sternula albifrons,8.25,56.75,5490,8.2333,56.35,10890
FR062,IT082,1,Sternula albifrons,1.5667,50.5333,5050,10.2667,43.7667,7000
DK130,FR045,1,Sternula albifrons,11.4666,55.0666,135300,0.3,49.4333,21100
DE058,UK077,1,Sternula albifrons,8.16666,53.55,235071,0.29,52.9366,69908
DK023,FR045,1,Sternula albifrons,8.25,56.75,5490,0.3,49.4333,21100
UK042,UK066,1,Sternula albifrons,0.9595,51.6721,22856,1.16533,51.9566,3670
DK105,FR060,1,Sternula albifrons,12.0833,55.75,13180,1.6,50.25,18200
UK044,UK048,1,Sternula albifrons,-2.9781,54.104,36859,-2.2885,54.6466,146795
DK130,NL020,1,Sternula albifrons,11.4666,55.0666,135300,3.5833,51.7167,107000
IT077,SE049,1,Sternula albifrons,10.3333,43.85,3795,18.0167,57.2833,4570
DE040,DE304,1,Sternula albifrons,14.0833,54.3,333425,12.9,54.4333,203810
FR176,NL011,1,Sternula albifrons,-1.1167,44.6667,20100,6.5,53.5333,782
NL013,NL020,1,Sternula albifrons,4.7667,52.9167,6000,3.5833,51.7167,107000
