iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL098,NL100,3,Tachybaptus ruficollis,5.35,51.4833,1190,5.1333,51.4333,3870
CH009,DE226,2,Tachybaptus ruficollis,6.9,46.3667,6600,9.8,48.2833,3980
FR034,NL039,1,Tachybaptus ruficollis,-0.95,49.4,2300,5.75,52.6,3900
DE205,DE395,1,Tachybaptus ruficollis,14.5333,51.3166,35000,13.6833,51.45,11376
BE006,NL020,1,Tachybaptus ruficollis,3.35,51.3333,1820,3.5833,51.7167,107000
FR064,UK001,1,Tachybaptus ruficollis,1.5833,50.8667,8950,0.86416,51.8251,716
NL048,NL094,1,Tachybaptus ruficollis,6.0333,51.8833,6460,5.8333,52.1667,91800
BE003,DE351,1,Tachybaptus ruficollis,2.8333,51,5100,8.65,52.7,2036
NL020,NL100,1,Tachybaptus ruficollis,3.5833,51.7167,107000,5.1333,51.4333,3870
DE483,DE484,1,Tachybaptus ruficollis,12.8833,50.6166,5182,13.0666,50.7,3002
FR040,NL020,1,Tachybaptus ruficollis,-0.15,49.3667,23100,3.5833,51.7167,107000
CH004,CH009,1,Tachybaptus ruficollis,7.1833,46.9667,16100,6.9,46.3667,6600
NL010,NL071,1,Tachybaptus ruficollis,6.25,53.5,2800,4.9333,52.45,1960
DE206,FR087,1,Tachybaptus ruficollis,12.5333,51.05,272,7.8833,48.8667,21350
NL020,NL096,1,Tachybaptus ruficollis,3.5833,51.7167,107000,5.1,51.65,4090
BG015,DE275,1,Tachybaptus ruficollis,25.0355,42.0797,38,10.9166,49.75,50698
DK111,NL032,1,Tachybaptus ruficollis,12.5333,55.5833,6210,3.8333,51.3833,50800
DE205,NL088,1,Tachybaptus ruficollis,14.5333,51.3166,35000,5.6333,51.3833,1630
DE118,DK111,1,Tachybaptus ruficollis,8.68333,53.1,2310,12.5333,55.5833,6210
DK031,PL035,1,Tachybaptus ruficollis,10.6667,55.9,15450,16.7333,51.9833,900
DE123,NL100,1,Tachybaptus ruficollis,11.3333,51.8833,6441,5.1333,51.4333,3870
UK001,UK066,1,Tachybaptus ruficollis,0.86416,51.8251,716,1.16533,51.9566,3670
DE154,NL100,1,Tachybaptus ruficollis,6.21666,51.2166,10736,5.1333,51.4333,3870
DE174,DE205,1,Tachybaptus ruficollis,9.41666,50.9,35000,14.5333,51.3166,35000
NL086,NL100,1,Tachybaptus ruficollis,5.9,51.4167,2560,5.1333,51.4333,3870
NL032,UK040,1,Tachybaptus ruficollis,3.8333,51.3833,50800,0.66433,51.3996,4668
NL098,NL103,1,Tachybaptus ruficollis,5.35,51.4833,1190,5.5,51.3333,2270
CH009,DE278,1,Tachybaptus ruficollis,6.9,46.3667,6600,11.25,47.6666,13444
FR062,NL038,1,Tachybaptus ruficollis,1.5667,50.5333,5050,5.25,52.5333,69700
DE275,DE592,1,Tachybaptus ruficollis,10.9166,49.75,50698,9.65,49.65,1030
DK110,DK111,1,Tachybaptus ruficollis,12.8333,55.6667,7240,12.5333,55.5833,6210
DE275,DE283,1,Tachybaptus ruficollis,10.9166,49.75,50698,10.8833,50.25,40000
DK091,DK111,1,Tachybaptus ruficollis,11.8333,55.3333,1900,12.5333,55.5833,6210
DE243,DE592,1,Tachybaptus ruficollis,9.66666,49.4,2391,9.65,49.65,1030
UK001,UK009,1,Tachybaptus ruficollis,0.86416,51.8251,716,0.6795,52.4218,39284
CH009,CH013,1,Tachybaptus ruficollis,6.9,46.3667,6600,8.8167,47.6333,480
DE096,DK111,1,Tachybaptus ruficollis,7.06666,53.4833,13176,12.5333,55.5833,6210
DE205,NL093,1,Tachybaptus ruficollis,14.5333,51.3166,35000,6.3333,52.9,7100
BE003,FR030,1,Tachybaptus ruficollis,2.8333,51,5100,-1.5,47.3,2700
CH009,DE610,1,Tachybaptus ruficollis,6.9,46.3667,6600,9.4,47.9166,3425
IT070,IT071,1,Tachybaptus ruficollis,12.2667,44.9333,17000,12.25,44.7833,7081
CH009,DE460,1,Tachybaptus ruficollis,6.9,46.3667,6600,13.3333,51.4,3396
CH013,CH014,1,Tachybaptus ruficollis,8.8167,47.6333,480,9.0667,47.65,530
CH009,CH028,1,Tachybaptus ruficollis,6.9,46.3667,6600,8.7333,46.25,14700
DK051,DK072,1,Tachybaptus ruficollis,8.7,55.3333,6660,10.6667,54.7833,4980
CH009,DE242,1,Tachybaptus ruficollis,6.9,46.3667,6600,9.11666,47.7666,6588
UK001,UK073,1,Tachybaptus ruficollis,0.86416,51.8251,716,0.53333,51.4666,9357
CH002,CH004,1,Tachybaptus ruficollis,6.7333,46.9667,23200,7.1833,46.9667,16100
NL013,NL034,1,Tachybaptus ruficollis,4.7667,52.9167,6000,5.45,52.75,109000
DE205,DE206,1,Tachybaptus ruficollis,14.5333,51.3166,35000,12.5333,51.05,272
BE016,DE205,1,Tachybaptus ruficollis,4.6,50.7833,1250,14.5333,51.3166,35000
