iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
FR051,NL001,13,Tadorna tadorna,1.7,50.2667,5550,5.3833,53.3,272100
DE289,UK270,11,Tadorna tadorna,8.81666,54.4833,441000,-1.9791,57.3328,1012
DE289,DK111,11,Tadorna tadorna,8.81666,54.4833,441000,12.5333,55.5833,6210
DE289,SE055,10,Tadorna tadorna,8.81666,54.4833,441000,16.4,56.2,1610
DE289,FR051,9,Tadorna tadorna,8.81666,54.4833,441000,1.7,50.2667,5550
DE366,UK270,8,Tadorna tadorna,7.41666,53.7,70000,-1.9791,57.3328,1012
DE034,UK270,8,Tadorna tadorna,8.41666,53.9166,13750,-1.9791,57.3328,1012
DE024,FR051,7,Tadorna tadorna,9.33333,54.3833,60000,1.7,50.2667,5550
DE291,UK270,7,Tadorna tadorna,8.3,54.2,800000,-1.9791,57.3328,1012
DE034,FR051,7,Tadorna tadorna,8.41666,53.9166,13750,1.7,50.2667,5550
BE011,FR051,6,Tadorna tadorna,4.25,51.3167,7570,1.7,50.2667,5550
FR051,NL013,6,Tadorna tadorna,1.7,50.2667,5550,4.7667,52.9167,6000
DE291,SE055,6,Tadorna tadorna,8.3,54.2,800000,16.4,56.2,1610
FR051,NL032,6,Tadorna tadorna,1.7,50.2667,5550,3.8333,51.3833,50800
DE058,DE288,6,Tadorna tadorna,8.16666,53.55,235071,11.4333,54.0166,102030
NL001,NL002,5,Tadorna tadorna,5.3833,53.3,272100,4.9,53.1333,1600
DE058,FR051,5,Tadorna tadorna,8.16666,53.55,235071,1.7,50.2667,5550
DE291,FR051,5,Tadorna tadorna,8.3,54.2,800000,1.7,50.2667,5550
DE288,DE291,5,Tadorna tadorna,11.4333,54.0166,102030,8.3,54.2,800000
BE006,FR051,4,Tadorna tadorna,3.35,51.3333,1820,1.7,50.2667,5550
FR051,NL029,4,Tadorna tadorna,1.7,50.2667,5550,4.2,51.5,1175
DE291,DK110,4,Tadorna tadorna,8.3,54.2,800000,12.8333,55.6667,7240
FR051,NL028,3,Tadorna tadorna,1.7,50.2667,5550,3.9333,51.5833,36880
BE006,NL020,3,Tadorna tadorna,3.35,51.3333,1820,3.5833,51.7167,107000
FR051,NL020,3,Tadorna tadorna,1.7,50.2667,5550,3.5833,51.7167,107000
DE034,NL001,3,Tadorna tadorna,8.41666,53.9166,13750,5.3833,53.3,272100
FR051,NL024,3,Tadorna tadorna,1.7,50.2667,5550,4.25,51.7667,10900
NL009,NL010,3,Tadorna tadorna,6.05,53.45,720,6.25,53.5,2800
DE288,DE289,3,Tadorna tadorna,11.4333,54.0166,102030,8.81666,54.4833,441000
