iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK103,DK111,2,Tringa erythropus,12.15,55.5667,100,12.5333,55.5833,6210
IT077,SE061,2,Tringa erythropus,10.3333,43.85,3795,12.9167,55.4167,20000
DK111,DK130,2,Tringa erythropus,12.5333,55.5833,6210,11.4666,55.0666,135300
DK111,IT073,2,Tringa erythropus,12.5333,55.5833,6210,11.8333,44.5667,2000
FR239,SE055,2,Tringa erythropus,4.6,43.5167,76500,16.4,56.2,1610
DK110,DK111,2,Tringa erythropus,12.8333,55.6667,7240,12.5333,55.5833,6210
DK075,DK111,2,Tringa erythropus,10.5667,55.5,5060,12.5333,55.5833,6210
DK111,FR234,2,Tringa erythropus,12.5333,55.5833,6210,4.3,43.6333,19300
DK111,FR063,2,Tringa erythropus,12.5333,55.5833,6210,1.6333,50.4667,1500
BE007,UK014,1,Tringa erythropus,3.6667,51.25,780,-0.9388,50.8056,5795
DK111,SE052,1,Tringa erythropus,12.5333,55.5833,6210,12.2167,57.1167,355
BE004,BE007,1,Tringa erythropus,3.1833,51.35,230,3.6667,51.25,780
ES297,SE033,1,Tringa erythropus,-5.4167,39.6667,216230,15.3667,59.1667,800
ES148,NL001,1,Tringa erythropus,0.7333,40.7167,32000,5.3833,53.3,272100
IT110,SE052,1,Tringa erythropus,12.2,42.1667,31300,12.2167,57.1167,355
IT082,SE061,1,Tringa erythropus,10.2667,43.7667,7000,12.9167,55.4167,20000
FR144,SE052,1,Tringa erythropus,2.5,45.7,64900,12.2167,57.1167,355
DK100,SE061,1,Tringa erythropus,11.3333,55.5833,2890,12.9167,55.4167,20000
DE317,FR051,1,Tringa erythropus,12.7,54.05,67280,1.7,50.2667,5550
FR004,SE019,1,Tringa erythropus,-3.1167,48.8333,9900,17.7003,60.5215,4600
DK105,DK111,1,Tringa erythropus,12.0833,55.75,13180,12.5333,55.5833,6210
DE122,FR101,1,Tringa erythropus,11,51.4333,1454,-1,45.95,5400
DK071,DK111,1,Tringa erythropus,10.3333,55,38440,12.5333,55.5833,6210
FI083,FR159,1,Tringa erythropus,21.6,61.5333,15441,5.0167,46.0333,79800
DK100,DK111,1,Tringa erythropus,11.3333,55.5833,2890,12.5333,55.5833,6210
FI083,IT077,1,Tringa erythropus,21.6,61.5333,15441,10.3333,43.85,3795
FR235,SE033,1,Tringa erythropus,4.2667,43.5167,21000,15.3667,59.1667,800
FI039,FR239,1,Tringa erythropus,23.1667,63.8667,240,4.6,43.5167,76500
BE002,SE052,1,Tringa erythropus,2.6667,51.1333,1415,12.2167,57.1167,355
FI083,IT075,1,Tringa erythropus,21.6,61.5333,15441,12.3167,44.3667,620
IT091,SE061,1,Tringa erythropus,12.0833,43.15,13200,12.9167,55.4167,20000
FI083,LV037,1,Tringa erythropus,21.6,61.5333,15441,25.25,57.8667,444
BE004,FR032,1,Tringa erythropus,3.1833,51.35,230,-0.8167,46.4333,18700
DK111,FR215,1,Tringa erythropus,12.5333,55.5833,6210,3.05,43.0833,10600
DK111,IT178,1,Tringa erythropus,12.5333,55.5833,6210,8.6333,39.6667,20000
DK111,FR060,1,Tringa erythropus,12.5333,55.5833,6210,1.6,50.25,18200
NL013,SE052,1,Tringa erythropus,4.7667,52.9167,6000,12.2167,57.1167,355
FI039,IT022,1,Tringa erythropus,23.1667,63.8667,240,9.1667,45.3,32292
BE003,FR159,1,Tringa erythropus,2.8333,51,5100,5.0167,46.0333,79800
BE006,FR025,1,Tringa erythropus,3.35,51.3333,1820,-1.9167,46.9,47000
FR045,SE052,1,Tringa erythropus,0.3,49.4333,21100,12.2167,57.1167,355
ES148,FI039,1,Tringa erythropus,0.7333,40.7167,32000,23.1667,63.8667,240
FR220,NL032,1,Tringa erythropus,3.9667,43.5333,12700,3.8333,51.3833,50800
FI083,FR063,1,Tringa erythropus,21.6,61.5333,15441,1.6333,50.4667,1500
FR045,SE061,1,Tringa erythropus,0.3,49.4333,21100,12.9167,55.4167,20000
ES261,FI096,1,Tringa erythropus,-6.8333,37.25,14900,19.9167,59.8333,2859
LT006,SE052,1,Tringa erythropus,21.25,55.3,26625,12.2167,57.1167,355
FI081,IT097,1,Tringa erythropus,22.9,59.8167,11151,10.9167,42.7833,2964
DK111,NL026,1,Tringa erythropus,12.5333,55.5833,6210,4.25,51.65,6450
ES148,FI083,1,Tringa erythropus,0.7333,40.7167,32000,21.6,61.5333,15441
DE091,DK111,1,Tringa erythropus,7.25,53.4833,2625,12.5333,55.5833,6210
BE006,PT021,1,Tringa erythropus,3.35,51.3333,1820,-8.9333,38.8167,45071
DK111,IT072,1,Tringa erythropus,12.5333,55.5833,6210,12.1667,44.6167,44013
DE122,DE151,1,Tringa erythropus,11,51.4333,1454,12.2666,52.75,16775
DE329,DK111,1,Tringa erythropus,13.3833,53.6666,14990,12.5333,55.5833,6210
DE137,DE151,1,Tringa erythropus,12.6666,52.4666,41874,12.2666,52.75,16775
BE004,FR051,1,Tringa erythropus,3.1833,51.35,230,1.7,50.2667,5550
IT082,SE010,1,Tringa erythropus,10.2667,43.7667,7000,20.3167,63.75,1500
FR030,SE052,1,Tringa erythropus,-1.5,47.3,2700,12.2167,57.1167,355
DE275,PL080,1,Tringa erythropus,10.9166,49.75,50698,18.2833,54.8166,272500
DK109,DK111,1,Tringa erythropus,12.4167,55.8,1290,12.5333,55.5833,6210
CH013,FR060,1,Tringa erythropus,8.8167,47.6333,480,1.6,50.25,18200
FR239,SE019,1,Tringa erythropus,4.6,43.5167,76500,17.7003,60.5215,4600
DE252,FR227,1,Tringa erythropus,9.05,48.5666,19216,3.6,43.3667,800
IT064,SE061,1,Tringa erythropus,12.4667,45.3667,68982,12.9167,55.4167,20000
CH013,FR234,1,Tringa erythropus,8.8167,47.6333,480,4.3,43.6333,19300
BE006,FR234,1,Tringa erythropus,3.35,51.3333,1820,4.3,43.6333,19300
DE485,IT126,1,Tringa erythropus,13.3166,50.6333,631,15.1,41.6667,50000
IT072,SE055,1,Tringa erythropus,12.1667,44.6167,44013,16.4,56.2,1610
MT002,UK040,1,Tringa erythropus,14.3333,36.0167,260,0.66433,51.3996,4668
DK111,FR023,1,Tringa erythropus,12.5333,55.5833,6210,-1.8167,47.2667,21400
FR123,UK010,1,Tringa erythropus,1.2167,46.75,22000,1.63133,52.5845,2091
FR051,SE052,1,Tringa erythropus,1.7,50.2667,5550,12.2167,57.1167,355
FR064,UK047,1,Tringa erythropus,1.5833,50.8667,8950,0.741,52.9741,7831
DK111,NL001,1,Tringa erythropus,12.5333,55.5833,6210,5.3833,53.3,272100
FR215,PL013,1,Tringa erythropus,3.05,43.0833,10600,18.95,54.35,485
DK111,IT093,1,Tringa erythropus,12.5333,55.5833,6210,11.9667,43.0667,2136
FR060,PL013,1,Tringa erythropus,1.6,50.25,18200,18.95,54.35,485
FR108,SE052,1,Tringa erythropus,-0.35,46.2333,14300,12.2167,57.1167,355
BE006,ES274,1,Tringa erythropus,3.35,51.3333,1820,-7.1667,38.3333,7800
DK111,IT205,1,Tringa erythropus,12.5333,55.5833,6210,8.4833,39.8667,22595
IT081,SE055,1,Tringa erythropus,11.75,43.4167,4394,16.4,56.2,1610
DK089,DK111,1,Tringa erythropus,12.25,55.0833,24640,12.5333,55.5833,6210
BE006,NL032,1,Tringa erythropus,3.35,51.3333,1820,3.8333,51.3833,50800
DK094,SE052,1,Tringa erythropus,11.3,55.8333,40250,12.2167,57.1167,355
IT188,SE055,1,Tringa erythropus,9.15,39.1833,7526,16.4,56.2,1610
FR051,SE061,1,Tringa erythropus,1.7,50.2667,5550,12.9167,55.4167,20000
DK111,UK001,1,Tringa erythropus,12.5333,55.5833,6210,0.86416,51.8251,716
DK111,IT063,1,Tringa erythropus,12.5333,55.5833,6210,13.5667,45.75,5000
AL015,PL056,1,Tringa erythropus,19.5,41.3,800,16.6167,50.9667,920
FR159,SE061,1,Tringa erythropus,5.0167,46.0333,79800,12.9167,55.4167,20000
IT042,PL056,1,Tringa erythropus,12.0833,46.6667,48507,16.6167,50.9667,920
DK111,FR227,1,Tringa erythropus,12.5333,55.5833,6210,3.6,43.3667,800
DE252,FR220,1,Tringa erythropus,9.05,48.5666,19216,3.9667,43.5333,12700
DK084,DK111,1,Tringa erythropus,12,54.9167,8160,12.5333,55.5833,6210
LT003,LT006,1,Tringa erythropus,21.1667,55.4167,9720,21.25,55.3,26625
DK111,FR030,1,Tringa erythropus,12.5333,55.5833,6210,-1.5,47.3,2700
FR068,PL058,1,Tringa erythropus,4.3667,48.3,35800,18.1167,50.7333,2200
GR042,SE055,1,Tringa erythropus,22.1667,40.45,4400,16.4,56.2,1610
PL012,PL013,1,Tringa erythropus,18.6167,54.5667,56000,18.95,54.35,485
DK111,IT069,1,Tringa erythropus,12.5333,55.5833,6210,12.2333,44.9333,60
DK111,FR051,1,Tringa erythropus,12.5333,55.5833,6210,1.7,50.2667,5550
