iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
FR239,SE061,29,Tringa glareola,4.6,43.5167,76500,12.9167,55.4167,20000
FR239,SE055,26,Tringa glareola,4.6,43.5167,76500,16.4,56.2,1610
FR234,SE061,11,Tringa glareola,4.3,43.6333,19300,12.9167,55.4167,20000
DK111,FR239,11,Tringa glareola,12.5333,55.5833,6210,4.6,43.5167,76500
FR234,SE055,10,Tringa glareola,4.3,43.6333,19300,16.4,56.2,1610
DK111,SE061,8,Tringa glareola,12.5333,55.5833,6210,12.9167,55.4167,20000
FR239,SE033,8,Tringa glareola,4.6,43.5167,76500,15.3667,59.1667,800
CH013,FR239,7,Tringa glareola,8.8167,47.6333,480,4.6,43.5167,76500
FR239,SE052,6,Tringa glareola,4.6,43.5167,76500,12.2167,57.1167,355
IT064,SE055,5,Tringa glareola,12.4667,45.3667,68982,16.4,56.2,1610
CZ010,SE055,5,Tringa glareola,16.6667,48.8166,8539,16.4,56.2,1610
FR234,SE033,5,Tringa glareola,4.3,43.6333,19300,15.3667,59.1667,800
DK110,DK111,4,Tringa glareola,12.8333,55.6667,7240,12.5333,55.5833,6210
FR235,SE061,4,Tringa glareola,4.2667,43.5167,21000,12.9167,55.4167,20000
FI079,FR239,3,Tringa glareola,24.5833,60.2833,6700,4.6,43.5167,76500
FR045,SE055,3,Tringa glareola,0.3,49.4333,21100,16.4,56.2,1610
IT065,SE055,3,Tringa glareola,10.75,45.1833,3581,16.4,56.2,1610
FR239,SE019,3,Tringa glareola,4.6,43.5167,76500,17.7003,60.5215,4600
IT082,SE055,3,Tringa glareola,10.2667,43.7667,7000,16.4,56.2,1610
AT001,SE055,3,Tringa glareola,16.9666,47.7333,3729,16.4,56.2,1610
FR239,PL012,3,Tringa glareola,4.6,43.5167,76500,18.6167,54.5667,56000
PL044,SE055,3,Tringa glareola,18.6833,51.7833,4300,16.4,56.2,1610
IT022,SE055,3,Tringa glareola,9.1667,45.3,32292,16.4,56.2,1610
DK111,IT064,2,Tringa glareola,12.5333,55.5833,6210,12.4667,45.3667,68982
IT072,SE052,2,Tringa glareola,12.1667,44.6167,44013,12.2167,57.1167,355
DK111,ES148,2,Tringa glareola,12.5333,55.5833,6210,0.7333,40.7167,32000
IT079,SE055,2,Tringa glareola,11.1667,43.9167,3900,16.4,56.2,1610
DK111,FR234,2,Tringa glareola,12.5333,55.5833,6210,4.3,43.6333,19300
FR234,SE019,2,Tringa glareola,4.3,43.6333,19300,17.7003,60.5215,4600
DK088,IT022,2,Tringa glareola,11.0333,54.8333,8550,9.1667,45.3,32292
FR051,SE033,2,Tringa glareola,1.7,50.2667,5550,15.3667,59.1667,800
IT062,SE055,2,Tringa glareola,13.3167,45.75,32815,16.4,56.2,1610
FR227,SE055,2,Tringa glareola,3.6,43.3667,800,16.4,56.2,1610
FR220,SE055,2,Tringa glareola,3.9667,43.5333,12700,16.4,56.2,1610
FR226,SE061,2,Tringa glareola,3.5167,43.3167,561,12.9167,55.4167,20000
IT070,SE055,2,Tringa glareola,12.2667,44.9333,17000,16.4,56.2,1610
IT139,SE055,2,Tringa glareola,17,40.5833,30000,16.4,56.2,1610
IT071,SE055,2,Tringa glareola,12.25,44.7833,7081,16.4,56.2,1610
IT072,SE055,2,Tringa glareola,12.1667,44.6167,44013,16.4,56.2,1610
