iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK110,DK111,4,Tringa nebularia,12.8333,55.6667,7240,12.5333,55.5833,6210
ES007,UK014,3,Tringa nebularia,-7.0667,43.55,7500,-0.9388,50.8056,5795
DK111,FR234,3,Tringa nebularia,12.5333,55.5833,6210,4.3,43.6333,19300
DK111,DK130,3,Tringa nebularia,12.5333,55.5833,6210,11.4666,55.0666,135300
DK105,DK111,3,Tringa nebularia,12.0833,55.75,13180,12.5333,55.5833,6210
FR062,UK014,2,Tringa nebularia,1.5667,50.5333,5050,-0.9388,50.8056,5795
DK103,DK111,2,Tringa nebularia,12.15,55.5667,100,12.5333,55.5833,6210
DK111,IT074,2,Tringa nebularia,12.5333,55.5833,6210,12.25,44.5,4152
FR213,SE061,2,Tringa nebularia,3.1333,43.1667,10400,12.9167,55.4167,20000
DK047,DK111,2,Tringa nebularia,9.7167,55.35,35060,12.5333,55.5833,6210
CH002,FR162,1,Tringa nebularia,6.7333,46.9667,23200,4.8667,44.7667,2100
SE019,UK007,1,Tringa nebularia,17.7003,60.5215,4600,0.66666,51.5166,2373
CH013,FR235,1,Tringa nebularia,8.8167,47.6333,480,4.2667,43.5167,21000
DK111,IT065,1,Tringa nebularia,12.5333,55.5833,6210,10.75,45.1833,3581
CH013,FR234,1,Tringa nebularia,8.8167,47.6333,480,4.3,43.6333,19300
BE004,PT021,1,Tringa nebularia,3.1833,51.35,230,-8.9333,38.8167,45071
UK006,UK014,1,Tringa nebularia,1.7025,52.3838,468,-0.9388,50.8056,5795
DE058,DK051,1,Tringa nebularia,8.16666,53.55,235071,8.7,55.3333,6660
CH012,DE162,1,Tringa nebularia,8.2167,47.55,410,7.65,52.0333,584
ES148,FR051,1,Tringa nebularia,0.7333,40.7167,32000,1.7,50.2667,5550
UK014,UK065,1,Tringa nebularia,-0.9388,50.8056,5795,1.18366,51.3103,479
DK102,DK111,1,Tringa nebularia,11.8333,55.9667,4000,12.5333,55.5833,6210
DK051,UK077,1,Tringa nebularia,8.7,55.3333,6660,0.29,52.9366,69908
DE195,FR043,1,Tringa nebularia,10.8666,51.1333,85,0.4167,49.8,5700
CH012,FR235,1,Tringa nebularia,8.2167,47.55,410,4.2667,43.5167,21000
BE001,FR062,1,Tringa nebularia,2.75,51.2,17000,1.5667,50.5333,5050
FR051,UK014,1,Tringa nebularia,1.7,50.2667,5550,-0.9388,50.8056,5795
FR162,SE061,1,Tringa nebularia,4.8667,44.7667,2100,12.9167,55.4167,20000
IT075,UK001,1,Tringa nebularia,12.3167,44.3667,620,0.86416,51.8251,716
BE004,UK014,1,Tringa nebularia,3.1833,51.35,230,-0.9388,50.8056,5795
FR068,UK014,1,Tringa nebularia,4.3667,48.3,35800,-0.9388,50.8056,5795
DK053,DK111,1,Tringa nebularia,8.4,55.4333,4370,12.5333,55.5833,6210
FR101,UK014,1,Tringa nebularia,-1,45.95,5400,-0.9388,50.8056,5795
CH010,FR247,1,Tringa nebularia,6.7333,46.8167,690,6.1833,43.1,1000
NO051,UK014,1,Tringa nebularia,11.2333,60.35,40,-0.9388,50.8056,5795
DK111,FR051,1,Tringa nebularia,12.5333,55.5833,6210,1.7,50.2667,5550
FR030,UK014,1,Tringa nebularia,-1.5,47.3,2700,-0.9388,50.8056,5795
FR101,SE033,1,Tringa nebularia,-1,45.95,5400,15.3667,59.1667,800
DK098,UK014,1,Tringa nebularia,11,55.3333,4920,-0.9388,50.8056,5795
DK086,DK111,1,Tringa nebularia,11.8333,54.8333,2820,12.5333,55.5833,6210
FR045,UK016,1,Tringa nebularia,0.3,49.4333,21100,1.34416,52.0423,977
DE304,IT022,1,Tringa nebularia,12.9,54.4333,203810,9.1667,45.3,32292
BE006,UK014,1,Tringa nebularia,3.35,51.3333,1820,-0.9388,50.8056,5795
DE129,FR239,1,Tringa nebularia,12.0166,51.3833,5819,4.6,43.5167,76500
FR064,UK016,1,Tringa nebularia,1.5833,50.8667,8950,1.34416,52.0423,977
BE006,FR176,1,Tringa nebularia,3.35,51.3333,1820,-1.1167,44.6667,20100
UK040,UK073,1,Tringa nebularia,0.66433,51.3996,4668,0.53333,51.4666,9357
DK111,ES147,1,Tringa nebularia,12.5333,55.5833,6210,0.25,40.8333,107000
RU012,UK014,1,Tringa nebularia,33,66,1000000,-0.9388,50.8056,5795
FR234,SE061,1,Tringa nebularia,4.3,43.6333,19300,12.9167,55.4167,20000
UK014,UK077,1,Tringa nebularia,-0.9388,50.8056,5795,0.29,52.9366,69908
DK100,DK111,1,Tringa nebularia,11.3333,55.5833,2890,12.5333,55.5833,6210
IT193,UK014,1,Tringa nebularia,11.3167,42.4,12164,-0.9388,50.8056,5795
DE288,RU008,1,Tringa nebularia,11.4333,54.0166,102030,32,67.9166,278436
FR268,UK014,1,Tringa nebularia,8.6167,42.3333,28700,-0.9388,50.8056,5795
BE001,FR063,1,Tringa nebularia,2.75,51.2,17000,1.6333,50.4667,1500
FR215,NO045,1,Tringa nebularia,3.05,43.0833,10600,6.6667,58.0833,1189
BE006,FR063,1,Tringa nebularia,3.35,51.3333,1820,1.6333,50.4667,1500
CH002,FR159,1,Tringa nebularia,6.7333,46.9667,23200,5.0167,46.0333,79800
DE162,DE195,1,Tringa nebularia,7.65,52.0333,584,10.8666,51.1333,85
FI028,FR234,1,Tringa nebularia,25.1667,64.9167,81781,4.3,43.6333,19300
DK111,FR033,1,Tringa nebularia,12.5333,55.5833,6210,-1,46.3333,77900
FI083,FR235,1,Tringa nebularia,21.6,61.5333,15441,4.2667,43.5167,21000
DK051,FR235,1,Tringa nebularia,8.7,55.3333,6660,4.2667,43.5167,21000
FI060,IT077,1,Tringa nebularia,27.1667,64,5826,10.3333,43.85,3795
DK088,SE061,1,Tringa nebularia,11.0333,54.8333,8550,12.9167,55.4167,20000
FI083,PL036,1,Tringa nebularia,21.6,61.5333,15441,18.1667,52.2,32000
FR215,SE061,1,Tringa nebularia,3.05,43.0833,10600,12.9167,55.4167,20000
FI083,SE061,1,Tringa nebularia,21.6,61.5333,15441,12.9167,55.4167,20000
DK111,ES244,1,Tringa nebularia,12.5333,55.5833,6210,-5.5833,36.4167,133500
FI035,FR235,1,Tringa nebularia,29.2,66.1667,810,4.2667,43.5167,21000
FR234,SE052,1,Tringa nebularia,4.3,43.6333,19300,12.2167,57.1167,355
FI083,FR062,1,Tringa nebularia,21.6,61.5333,15441,1.5667,50.5333,5050
DK098,DK111,1,Tringa nebularia,11,55.3333,4920,12.5333,55.5833,6210
FI078,FR213,1,Tringa nebularia,24.9333,60.2,1274,3.1333,43.1667,10400
DK089,DK111,1,Tringa nebularia,12.25,55.0833,24640,12.5333,55.5833,6210
BE015,FR030,1,Tringa nebularia,4.5167,51.0167,2263,-1.5,47.3,2700
DK111,SE061,1,Tringa nebularia,12.5333,55.5833,6210,12.9167,55.4167,20000
