iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK111,FR239,1,Tringa ochropus,12.5333,55.5833,6210,4.6,43.5167,76500
BE001,BE005,1,Tringa ochropus,2.75,51.2,17000,3.2167,51.25,9349
DE151,ES079,1,Tringa ochropus,12.2666,52.75,16775,-2.5,41.3333,45300
BE010,FR051,1,Tringa ochropus,4.1,51.05,7923,1.7,50.2667,5550
DK110,DK111,1,Tringa ochropus,12.8333,55.6667,7240,12.5333,55.5833,6210
BE014,ES244,1,Tringa ochropus,4.5667,51.3833,4100,-5.5833,36.4167,133500
BE005,BE006,1,Tringa ochropus,3.2167,51.25,9349,3.35,51.3333,1820
BE001,BE003,1,Tringa ochropus,2.75,51.2,17000,2.8333,51,5100
DE122,DE304,1,Tringa ochropus,11,51.4333,1454,12.9,54.4333,203810
BE003,IT096,1,Tringa ochropus,2.8333,51,5100,10.3333,42.8,76608
DK111,FR041,1,Tringa ochropus,12.5333,55.5833,6210,0.85,48.5167,50850
ES154,SE070,1,Tringa ochropus,-0.0167,39.95,375,16.3666,56.7,9600
DK091,DK111,1,Tringa ochropus,11.8333,55.3333,1900,12.5333,55.5833,6210
FR159,PL012,1,Tringa ochropus,5.0167,46.0333,79800,18.6167,54.5667,56000
DK111,ES140,1,Tringa ochropus,12.5333,55.5833,6210,2.1333,41.2667,2200
FR041,NL001,1,Tringa ochropus,0.85,48.5167,50850,5.3833,53.3,272100
FI047,NL056,1,Tringa ochropus,21.3667,62.1667,1093,5.9167,53.0333,1260
FR138,NL056,1,Tringa ochropus,2.9667,47.2333,1400,5.9167,53.0333,1260
DK111,ES047,1,Tringa ochropus,12.5333,55.5833,6210,-2.3333,42.2833,23400
UK002,UK016,1,Tringa ochropus,1.55616,52.0045,2520,1.34416,52.0423,977
DK093,FI078,1,Tringa ochropus,11.5833,55.3667,1960,24.9333,60.2,1274
BE024,NL086,1,Tringa ochropus,5.8333,51.15,2653,5.9,51.4167,2560
DK130,FR134,1,Tringa ochropus,11.4666,55.0666,135300,0.1333,47.3833,18800
DE517,IT075,1,Tringa ochropus,8.36666,49.5666,400,12.3167,44.3667,620
FI078,FR063,1,Tringa ochropus,24.9333,60.2,1274,1.6333,50.4667,1500
DE245,DK111,1,Tringa ochropus,9.56666,48.8166,1836,12.5333,55.5833,6210
DE142,IT181,1,Tringa ochropus,14.15,52.9833,11779,9.4,40.1667,59102
DE185,DE517,1,Tringa ochropus,8.51666,49.6,7000,8.36666,49.5666,400
FI083,FR213,1,Tringa ochropus,21.6,61.5333,15441,3.1333,43.1667,10400
DE185,FR238,1,Tringa ochropus,8.51666,49.6,7000,5.85,43.9,11300
FI092,FR124,1,Tringa ochropus,22.1667,60.4167,904,1.3,46.6667,6660
DE275,FR239,1,Tringa ochropus,10.9166,49.75,50698,4.6,43.5167,76500
DE162,DK111,1,Tringa ochropus,7.65,52.0333,584,12.5333,55.5833,6210
DE206,IT077,1,Tringa ochropus,12.5333,51.05,272,10.3333,43.85,3795
ES211,SE033,1,Tringa ochropus,-2.3333,37.8333,52140,15.3667,59.1667,800
DE226,IT073,1,Tringa ochropus,9.8,48.2833,3980,11.8333,44.5667,2000
FR239,SE055,1,Tringa ochropus,4.6,43.5167,76500,16.4,56.2,1610
FR062,NL025,1,Tringa ochropus,1.5667,50.5333,5050,4.5,51.7,4300
IT026,SE061,1,Tringa ochropus,9.6167,45.0333,30,12.9167,55.4167,20000
FR134,UK002,1,Tringa ochropus,0.1333,47.3833,18800,1.55616,52.0045,2520
FR218,SE055,1,Tringa ochropus,2.7167,42.8833,47400,16.4,56.2,1610
DK080,SE055,1,Tringa ochropus,14.9667,55.1333,6090,16.4,56.2,1610
SE052,UK019,1,Tringa ochropus,12.2167,57.1167,355,0.83,50.9755,9805
FR060,SE052,1,Tringa ochropus,1.6,50.25,18200,12.2167,57.1167,355
ES316,SE061,1,Tringa ochropus,2.8667,39.8167,54953,12.9167,55.4167,20000
FR045,SE052,1,Tringa ochropus,0.3,49.4333,21100,12.2167,57.1167,355
DE222,ES139,1,Tringa ochropus,7.76666,48.45,3938,2.0167,41.65,124000
DK111,FR023,1,Tringa ochropus,12.5333,55.5833,6210,-1.8167,47.2667,21400
PT029,SE061,1,Tringa ochropus,-8,37.75,83579,12.9167,55.4167,20000
DE469,SE055,1,Tringa ochropus,14.6666,51.1666,6059,16.4,56.2,1610
