iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
DK111,FR239,110,Tringa totanus,12.5333,55.5833,6210,4.6,43.5167,76500
UK047,UK077,56,Tringa totanus,0.741,52.9741,7831,0.29,52.9366,69908
DE043,DE288,36,Tringa totanus,11.6166,53.7833,74800,11.4333,54.0166,102030
DK111,IT064,35,Tringa totanus,12.5333,55.5833,6210,12.4667,45.3667,68982
DK110,DK111,32,Tringa totanus,12.8333,55.6667,7240,12.5333,55.5833,6210
DK111,FR227,29,Tringa totanus,12.5333,55.5833,6210,3.6,43.3667,800
DE288,FR060,27,Tringa totanus,11.4333,54.0166,102030,1.6,50.25,18200
DK111,FR051,26,Tringa totanus,12.5333,55.5833,6210,1.7,50.2667,5550
PL012,PL013,25,Tringa totanus,18.6167,54.5667,56000,18.95,54.35,485
DK111,ES244,24,Tringa totanus,12.5333,55.5833,6210,-5.5833,36.4167,133500
DK111,FR033,23,Tringa totanus,12.5333,55.5833,6210,-1,46.3333,77900
DK111,FR220,21,Tringa totanus,12.5333,55.5833,6210,3.9667,43.5333,12700
DK111,ES148,21,Tringa totanus,12.5333,55.5833,6210,0.7333,40.7167,32000
DK111,FR245,21,Tringa totanus,12.5333,55.5833,6210,4.8,43.4833,5650
UK016,UK066,20,Tringa totanus,1.34416,52.0423,977,1.16533,51.9566,3670
DK111,FR234,20,Tringa totanus,12.5333,55.5833,6210,4.3,43.6333,19300
DK111,FR235,19,Tringa totanus,12.5333,55.5833,6210,4.2667,43.5167,21000
DK111,FR176,17,Tringa totanus,12.5333,55.5833,6210,-1.1167,44.6667,20100
DE288,FR051,17,Tringa totanus,11.4333,54.0166,102030,1.7,50.2667,5550
DK111,SE061,12,Tringa totanus,12.5333,55.5833,6210,12.9167,55.4167,20000
DK111,FR060,12,Tringa totanus,12.5333,55.5833,6210,1.6,50.25,18200
FR060,SE055,11,Tringa totanus,1.6,50.25,18200,16.4,56.2,1610
FR176,SE055,11,Tringa totanus,-1.1167,44.6667,20100,16.4,56.2,1610
DK111,IT188,10,Tringa totanus,12.5333,55.5833,6210,9.15,39.1833,7526
FR051,SE055,10,Tringa totanus,1.7,50.2667,5550,16.4,56.2,1610
UK007,UK073,10,Tringa totanus,0.66666,51.5166,2373,0.53333,51.4666,9357
DK111,FR032,10,Tringa totanus,12.5333,55.5833,6210,-0.8167,46.4333,18700
DK111,FR115,10,Tringa totanus,12.5333,55.5833,6210,-1.1,45.7667,14800
NL001,NL013,8,Tringa totanus,5.3833,53.3,272100,4.7667,52.9167,6000
UK025,UK044,8,Tringa totanus,-2.5158,53.9815,79978,-2.9781,54.104,36859
DE288,PL013,8,Tringa totanus,11.4333,54.0166,102030,18.95,54.35,485
DK111,IT072,8,Tringa totanus,12.5333,55.5833,6210,12.1667,44.6167,44013
FR239,SE061,8,Tringa totanus,4.6,43.5167,76500,12.9167,55.4167,20000
DK111,FR215,8,Tringa totanus,12.5333,55.5833,6210,3.05,43.0833,10600
DK111,FR198,8,Tringa totanus,12.5333,55.5833,6210,-1,45.4333,22250
DE288,FR062,8,Tringa totanus,11.4333,54.0166,102030,1.5667,50.5333,5050
DK111,FR226,8,Tringa totanus,12.5333,55.5833,6210,3.5167,43.3167,561
DK111,FR045,8,Tringa totanus,12.5333,55.5833,6210,0.3,49.4333,21100
DK111,IT062,8,Tringa totanus,12.5333,55.5833,6210,13.3167,45.75,32815
DK111,FR101,7,Tringa totanus,12.5333,55.5833,6210,-1,45.95,5400
FI083,FR051,7,Tringa totanus,21.6,61.5333,15441,1.7,50.2667,5550
UK077,UK096,7,Tringa totanus,0.29,52.9366,69908,-4.0421,53.2551,2694
DK111,FR213,7,Tringa totanus,12.5333,55.5833,6210,3.1333,43.1667,10400
DK111,FR229,7,Tringa totanus,12.5333,55.5833,6210,3.2,43.2667,4850
DK111,ES259,7,Tringa totanus,12.5333,55.5833,6210,-6.4167,37,230000
DK111,FR242,7,Tringa totanus,12.5333,55.5833,6210,5.15,43.4667,530
DK111,DK130,7,Tringa totanus,12.5333,55.5833,6210,11.4666,55.0666,135300
DK111,ES255,7,Tringa totanus,12.5333,55.5833,6210,-5.9167,36.6167,22000
