iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
PL012,SE049,543,Uria aalge,18.6167,54.5667,56000,18.0167,57.2833,4570
DK079,SE049,125,Uria aalge,15.1833,55.3167,1257,18.0167,57.2833,4570
SE049,SE065,68,Uria aalge,18.0167,57.2833,4570,18.15,56.8666,157900
SE049,SE064,51,Uria aalge,18.0167,57.2833,4570,17.9666,58.9166,40100
DK131,SE049,43,Uria aalge,14.5333,54.4,623500,18.0167,57.2833,4570
PL013,SE049,43,Uria aalge,18.95,54.35,485,18.0167,57.2833,4570
DE040,SE049,39,Uria aalge,14.0833,54.3,333425,18.0167,57.2833,4570
SE027,SE049,33,Uria aalge,19.3333,59.4167,9100,18.0167,57.2833,4570
PL080,SE049,31,Uria aalge,18.2833,54.8166,272500,18.0167,57.2833,4570
SE049,SE050,30,Uria aalge,18.0167,57.2833,4570,18.95,57.4,152500
DK080,SE049,29,Uria aalge,14.9667,55.1333,6090,18.0167,57.2833,4570
DK079,PL012,23,Uria aalge,15.1833,55.3167,1257,18.6167,54.5667,56000
LT001,SE049,19,Uria aalge,20.8666,55.95,113000,18.0167,57.2833,4570
PL014,SE049,16,Uria aalge,19.4833,54.3167,33000,18.0167,57.2833,4570
SE049,SE073,16,Uria aalge,18.0167,57.2833,4570,15.15,56.1333,59300
DK079,DK080,15,Uria aalge,15.1833,55.3167,1257,14.9667,55.1333,6090
FI075,SE049,14,Uria aalge,26.3333,60.2167,18250,18.0167,57.2833,4570
UK207,UK233,14,Uria aalge,-4.0393,57.7255,16262,-2.0463,57.6943,154
SE049,SE068,11,Uria aalge,18.0167,57.2833,4570,16.5,57.25,9700
UK195,UK233,11,Uria aalge,-3.7015,57.5423,1821,-2.0463,57.6943,154
PL012,SE027,10,Uria aalge,18.6167,54.5667,56000,19.3333,59.4167,9100
UK081,UK084,10,Uria aalge,-3.485,52.8536,24187,-4.4755,51.6696,33294
