iba_from,iba_to,individuals,species,longitude_from,latitude_from,area_from,longitude_to,latitude_to,area_to
NL001,NL056,38,Vanellus vanellus,5.3833,53.3,272100,5.9167,53.0333,1260
BE005,BE006,26,Vanellus vanellus,3.2167,51.25,9349,3.35,51.3333,1820
FR032,NL076,21,Vanellus vanellus,-0.8167,46.4333,18700,4.7833,52.15,2000
NL056,NL057,21,Vanellus vanellus,5.9167,53.0333,1260,6.0833,53.05,670
NL038,NL039,20,Vanellus vanellus,5.25,52.5333,69700,5.75,52.6,3900
NL038,NL068,18,Vanellus vanellus,5.25,52.5333,69700,4.85,52.5667,2040
NL049,NL094,17,Vanellus vanellus,5.6667,51.95,2480,5.8333,52.1667,91800
NL034,NL056,14,Vanellus vanellus,5.45,52.75,109000,5.9167,53.0333,1260
NL038,NL071,14,Vanellus vanellus,5.25,52.5333,69700,4.9333,52.45,1960
NL020,NL028,13,Vanellus vanellus,3.5833,51.7167,107000,3.9333,51.5833,36880
NL038,NL042,13,Vanellus vanellus,5.25,52.5333,69700,5.6667,52.3833,3390
NL048,NL094,13,Vanellus vanellus,6.0333,51.8833,6460,5.8333,52.1667,91800
BE018,FR032,12,Vanellus vanellus,5,51.3833,7075,-0.8167,46.4333,18700
NL094,NL107,10,Vanellus vanellus,5.8333,52.1667,91800,6.1333,52.4,11780
BE004,BE006,10,Vanellus vanellus,3.1833,51.35,230,3.35,51.3333,1820
NL050,NL094,10,Vanellus vanellus,5.5333,51.9,5940,5.8333,52.1667,91800
NL054,NL056,10,Vanellus vanellus,5.8667,53.2167,600,5.9167,53.0333,1260
BE018,FR033,9,Vanellus vanellus,5,51.3833,7075,-1,46.3333,77900
NL001,NL009,9,Vanellus vanellus,5.3833,53.3,272100,6.05,53.45,720
NL055,NL056,9,Vanellus vanellus,5.9167,53.1167,2500,5.9167,53.0333,1260
NL001,NL002,8,Vanellus vanellus,5.3833,53.3,272100,4.9,53.1333,1600
ES204,NL076,8,Vanellus vanellus,-4.3333,39.5,324500,4.7833,52.15,2000
DK110,DK111,8,Vanellus vanellus,12.8333,55.6667,7240,12.5333,55.5833,6210
IT077,IT082,8,Vanellus vanellus,10.3333,43.85,3795,10.2667,43.7667,7000
BE011,BE012,8,Vanellus vanellus,4.25,51.3167,7570,4.35,51.2667,194
FR033,NL076,8,Vanellus vanellus,-1,46.3333,77900,4.7833,52.15,2000
NL076,NL077,7,Vanellus vanellus,4.7833,52.15,2000,4.7833,52.05,1650
NL056,NL058,7,Vanellus vanellus,5.9167,53.0333,1260,5.7667,53.0167,1670
FR032,NL056,7,Vanellus vanellus,-0.8167,46.4333,18700,5.9167,53.0333,1260
NL009,NL010,7,Vanellus vanellus,6.05,53.45,720,6.25,53.5,2800
NL034,NL038,7,Vanellus vanellus,5.45,52.75,109000,5.25,52.5333,69700
BE018,FR110,6,Vanellus vanellus,5,51.3833,7075,-0.0667,46.8333,12400
BE017,FR033,6,Vanellus vanellus,4.9333,51.1833,91,-1,46.3333,77900
BE023,NL088,6,Vanellus vanellus,5.5833,51.1667,13125,5.6333,51.3833,1630
NL038,NL092,6,Vanellus vanellus,5.25,52.5333,69700,4.6667,52.7,2500
NL013,NL094,6,Vanellus vanellus,4.7667,52.9167,6000,5.8333,52.1667,91800
NL001,NL058,6,Vanellus vanellus,5.3833,53.3,272100,5.7667,53.0167,1670
FR032,NL094,6,Vanellus vanellus,-0.8167,46.4333,18700,5.8333,52.1667,91800
ES280,NL076,6,Vanellus vanellus,-5.5,38.8333,109800,4.7833,52.15,2000
BE017,FR032,5,Vanellus vanellus,4.9333,51.1833,91,-0.8167,46.4333,18700
IT082,IT140,5,Vanellus vanellus,10.2667,43.7667,7000,15.3,40,5700
DK105,DK111,5,Vanellus vanellus,12.0833,55.75,13180,12.5333,55.5833,6210
NL002,NL094,5,Vanellus vanellus,4.9,53.1333,1600,5.8333,52.1667,91800
FR067,NL076,5,Vanellus vanellus,4.7833,49.8833,94800,4.7833,52.15,2000
BE017,NL086,5,Vanellus vanellus,4.9333,51.1833,91,5.9,51.4167,2560
NL028,NL031,5,Vanellus vanellus,3.9333,51.5833,36880,3.7333,51.5333,3010
NL076,NL089,5,Vanellus vanellus,4.7833,52.15,2000,4.55,52.1167,770
NL073,NL076,5,Vanellus vanellus,5.0833,52.2167,7040,4.7833,52.15,2000
FR032,NL001,5,Vanellus vanellus,-0.8167,46.4333,18700,5.3833,53.3,272100
FR101,NL076,5,Vanellus vanellus,-1,45.95,5400,4.7833,52.15,2000
FR032,NL038,5,Vanellus vanellus,-0.8167,46.4333,18700,5.25,52.5333,69700
DK103,DK111,4,Vanellus vanellus,12.15,55.5667,100,12.5333,55.5833,6210
NL038,NL056,4,Vanellus vanellus,5.25,52.5333,69700,5.9167,53.0333,1260
DK111,FR032,4,Vanellus vanellus,12.5333,55.5833,6210,-0.8167,46.4333,18700
FR101,NL038,4,Vanellus vanellus,-1,45.95,5400,5.25,52.5333,69700
UK025,UK044,4,Vanellus vanellus,-2.5158,53.9815,79978,-2.9781,54.104,36859
BE017,FR051,4,Vanellus vanellus,4.9333,51.1833,91,1.7,50.2667,5550
BE018,FR045,4,Vanellus vanellus,5,51.3833,7075,0.3,49.4333,21100
BE017,NL088,4,Vanellus vanellus,4.9333,51.1833,91,5.6333,51.3833,1630
BE006,BE007,4,Vanellus vanellus,3.35,51.3333,1820,3.6667,51.25,780
NL009,NL056,4,Vanellus vanellus,6.05,53.45,720,5.9167,53.0333,1260
BE014,FR101,4,Vanellus vanellus,4.5667,51.3833,4100,-1,45.95,5400
FR109,NL056,4,Vanellus vanellus,-0.5667,46.4,12500,5.9167,53.0333,1260
DK110,SE060,4,Vanellus vanellus,12.8333,55.6667,7240,13.0063,55.6881,5600
ES205,NL056,4,Vanellus vanellus,-4.5,38.8333,100000,5.9167,53.0333,1260
BE018,FR117,4,Vanellus vanellus,5,51.3833,7075,0.0667,45.9667,9050
BE017,ES205,4,Vanellus vanellus,4.9333,51.1833,91,-4.5,38.8333,100000
BE018,FR198,4,Vanellus vanellus,5,51.3833,7075,-1,45.4333,22250
NL001,NL008,4,Vanellus vanellus,5.3833,53.3,272100,5.75,53.4667,3150
BE014,FR032,4,Vanellus vanellus,4.5667,51.3833,4100,-0.8167,46.4333,18700
ES204,NL056,4,Vanellus vanellus,-4.3333,39.5,324500,5.9167,53.0333,1260
BE018,ES255,4,Vanellus vanellus,5,51.3833,7075,-5.9167,36.6167,22000
FR109,NL076,4,Vanellus vanellus,-0.5667,46.4,12500,4.7833,52.15,2000
BE006,NL020,4,Vanellus vanellus,3.35,51.3333,1820,3.5833,51.7167,107000
ES226,NL076,4,Vanellus vanellus,-4.3333,37.4167,63000,4.7833,52.15,2000
UK049,UK071,4,Vanellus vanellus,-0.8706,54.3806,143490,-1.15,54.6333,1246
NL056,NL063,4,Vanellus vanellus,5.9167,53.0333,1260,5.9167,52.85,1920
NL039,NL094,4,Vanellus vanellus,5.75,52.6,3900,5.8333,52.1667,91800
ES024,NL076,4,Vanellus vanellus,-4.3333,43.4167,1100,4.7833,52.15,2000
NL001,NL010,4,Vanellus vanellus,5.3833,53.3,272100,6.25,53.5,2800
FR198,NL076,4,Vanellus vanellus,-1,45.4333,22250,4.7833,52.15,2000
BE018,FR104,3,Vanellus vanellus,5,51.3833,7075,-0.95,46.0167,17550
FR032,NL011,3,Vanellus vanellus,-0.8167,46.4333,18700,6.5,53.5333,782
BE004,BE005,3,Vanellus vanellus,3.1833,51.35,230,3.2167,51.25,9349
NL054,NL055,3,Vanellus vanellus,5.8667,53.2167,600,5.9167,53.1167,2500
BE018,FR191,3,Vanellus vanellus,5,51.3833,7075,-1.6,43.2667,1500
NL038,NL041,3,Vanellus vanellus,5.25,52.5333,69700,5.85,52.5,640
BE018,FR051,3,Vanellus vanellus,5,51.3833,7075,1.7,50.2667,5550
FR025,NL038,3,Vanellus vanellus,-1.9167,46.9,47000,5.25,52.5333,69700
BE018,ES207,3,Vanellus vanellus,5,51.3833,7075,-4.5,38.6667,226300
NL041,NL042,3,Vanellus vanellus,5.85,52.5,640,5.6667,52.3833,3390
BE014,FR051,3,Vanellus vanellus,4.5667,51.3833,4100,1.7,50.2667,5550
NL015,NL056,3,Vanellus vanellus,6.2167,53.3667,7820,5.9167,53.0333,1260
BE018,FR031,3,Vanellus vanellus,5,51.3833,7075,-0.4,47.3,12000
BE017,NL103,3,Vanellus vanellus,4.9333,51.1833,91,5.5,51.3333,2270
BE011,BE018,3,Vanellus vanellus,4.25,51.3167,7570,5,51.3833,7075
NL039,NL042,3,Vanellus vanellus,5.75,52.6,3900,5.6667,52.3833,3390
BE018,FR116,3,Vanellus vanellus,5,51.3833,7075,0.0667,46.9,6550
FR032,NL028,3,Vanellus vanellus,-0.8167,46.4333,18700,3.9333,51.5833,36880
DK111,FR198,3,Vanellus vanellus,12.5333,55.5833,6210,-1,45.4333,22250
ES024,NL056,3,Vanellus vanellus,-4.3333,43.4167,1100,5.9167,53.0333,1260
BE017,FR110,3,Vanellus vanellus,4.9333,51.1833,91,-0.0667,46.8333,12400
FR023,NL056,3,Vanellus vanellus,-1.8167,47.2667,21400,5.9167,53.0333,1260
DK111,FR033,3,Vanellus vanellus,12.5333,55.5833,6210,-1,46.3333,77900
FR109,NL001,3,Vanellus vanellus,-0.5667,46.4,12500,5.3833,53.3,272100
DK001,DK117,3,Vanellus vanellus,9.5833,57.0333,18530,9.8333,57.2167,6000
DK008,DK013,3,Vanellus vanellus,9.1667,57.0333,1660,9,57.05,4870
FR109,NL094,3,Vanellus vanellus,-0.5667,46.4,12500,5.8333,52.1667,91800
NL049,NL050,3,Vanellus vanellus,5.6667,51.95,2480,5.5333,51.9,5940
DK111,FR110,3,Vanellus vanellus,12.5333,55.5833,6210,-0.0667,46.8333,12400
FR033,NL094,3,Vanellus vanellus,-1,46.3333,77900,5.8333,52.1667,91800
BE018,ES205,3,Vanellus vanellus,5,51.3833,7075,-4.5,38.8333,100000
FR118,NL094,3,Vanellus vanellus,-0.8,45.4333,2580,5.8333,52.1667,91800
BE018,NL097,3,Vanellus vanellus,5,51.3833,7075,5.0333,51.5167,410
NL011,NL052,3,Vanellus vanellus,6.5,53.5333,782,6.4333,53.1833,1450
BE017,BE018,3,Vanellus vanellus,4.9333,51.1833,91,5,51.3833,7075
NL011,NL056,3,Vanellus vanellus,6.5,53.5333,782,5.9167,53.0333,1260
DK110,SE061,3,Vanellus vanellus,12.8333,55.6667,7240,12.9167,55.4167,20000
NL056,NL060,3,Vanellus vanellus,5.9167,53.0333,1260,5.6833,53,460
FR073,NL076,3,Vanellus vanellus,4.5167,49.4,18800,4.7833,52.15,2000
FR025,NL056,3,Vanellus vanellus,-1.9167,46.9,47000,5.9167,53.0333,1260
FR033,NL056,3,Vanellus vanellus,-1,46.3333,77900,5.9167,53.0333,1260
BE001,BE006,3,Vanellus vanellus,2.75,51.2,17000,3.35,51.3333,1820
FR023,NL001,3,Vanellus vanellus,-1.8167,47.2667,21400,5.3833,53.3,272100
NL076,UK065,3,Vanellus vanellus,4.7833,52.15,2000,1.18366,51.3103,479
FR118,NL076,3,Vanellus vanellus,-0.8,45.4333,2580,4.7833,52.15,2000
ES208,FI083,2,Vanellus vanellus,-4,38.3333,212300,21.6,61.5333,15441
NL041,NL094,2,Vanellus vanellus,5.85,52.5,640,5.8333,52.1667,91800
FI028,FR120,2,Vanellus vanellus,25.1667,64.9167,81781,1.6,48.2333,71600
FR045,NL015,2,Vanellus vanellus,0.3,49.4333,21100,6.2167,53.3667,7820
BE014,FR110,2,Vanellus vanellus,4.5667,51.3833,4100,-0.0667,46.8333,12400
FR051,NL056,2,Vanellus vanellus,1.7,50.2667,5550,5.9167,53.0333,1260
BE018,BE020,2,Vanellus vanellus,5,51.3833,7075,5.1833,51.0167,7010
NL028,NL056,2,Vanellus vanellus,3.9333,51.5833,36880,5.9167,53.0333,1260
BE004,FR033,2,Vanellus vanellus,3.1833,51.35,230,-1,46.3333,77900
NL038,NL094,2,Vanellus vanellus,5.25,52.5333,69700,5.8333,52.1667,91800
BE014,FR104,2,Vanellus vanellus,4.5667,51.3833,4100,-0.95,46.0167,17550
FR060,NL094,2,Vanellus vanellus,1.6,50.25,18200,5.8333,52.1667,91800
BE011,FR032,2,Vanellus vanellus,4.25,51.3167,7570,-0.8167,46.4333,18700
FR198,NL094,2,Vanellus vanellus,-1,45.4333,22250,5.8333,52.1667,91800
BE018,FR113,2,Vanellus vanellus,5,51.3833,7075,0.2,46.6667,10250
IT117,NL094,2,Vanellus vanellus,12.2,41.85,19529,5.8333,52.1667,91800
BE018,ES118,2,Vanellus vanellus,5,51.3833,7075,-0.1667,42.3333,95000
BE018,ES204,2,Vanellus vanellus,5,51.3833,7075,-4.3333,39.5,324500
BE006,FR033,2,Vanellus vanellus,3.35,51.3333,1820,-1,46.3333,77900
NL055,NL057,2,Vanellus vanellus,5.9167,53.1167,2500,6.0833,53.05,670
FR032,SE057,2,Vanellus vanellus,-0.8167,46.4333,18700,12.729,56.2328,1370
FR045,NL001,2,Vanellus vanellus,0.3,49.4333,21100,5.3833,53.3,272100
BE018,FR065,2,Vanellus vanellus,5,51.3833,7075,1.6833,50.55,11450
BE017,ES234,2,Vanellus vanellus,4.9333,51.1833,91,-5.3333,38.3333,32000
BE018,FR109,2,Vanellus vanellus,5,51.3833,7075,-0.5667,46.4,12500
NL086,NL087,2,Vanellus vanellus,5.9,51.4167,2560,5.8167,51.3333,1350
BE006,FR065,2,Vanellus vanellus,3.35,51.3333,1820,1.6833,50.55,11450
FR025,NL094,2,Vanellus vanellus,-1.9167,46.9,47000,5.8333,52.1667,91800
BE018,NL088,2,Vanellus vanellus,5,51.3833,7075,5.6333,51.3833,1630
ES270,NL076,2,Vanellus vanellus,-6.0833,38.5833,90000,4.7833,52.15,2000
BE011,FR109,2,Vanellus vanellus,4.25,51.3167,7570,-0.5667,46.4,12500
BE017,FR104,2,Vanellus vanellus,4.9333,51.1833,91,-0.95,46.0167,17550
BE018,BE021,2,Vanellus vanellus,5,51.3833,7075,5.3333,51.1167,8864
NL068,NL076,2,Vanellus vanellus,4.85,52.5667,2040,4.7833,52.15,2000
DE145,DE151,2,Vanellus vanellus,12.55,52.75,15805,12.2666,52.75,16775
FR110,NL056,2,Vanellus vanellus,-0.0667,46.8333,12400,5.9167,53.0333,1260
BE018,FR060,2,Vanellus vanellus,5,51.3833,7075,1.6,50.25,18200
NL022,NL076,2,Vanellus vanellus,4.05,51.9,1500,4.7833,52.15,2000
DE289,DE298,2,Vanellus vanellus,8.81666,54.4833,441000,8.78333,54.8666,4700
NL076,NL079,2,Vanellus vanellus,4.7833,52.15,2000,4.8,51.9,180
DE289,DK111,2,Vanellus vanellus,8.81666,54.4833,441000,12.5333,55.5833,6210
ES298,NL076,2,Vanellus vanellus,-5.75,39.6667,155000,4.7833,52.15,2000
BE001,BE018,2,Vanellus vanellus,2.75,51.2,17000,5,51.3833,7075
NL057,NL107,2,Vanellus vanellus,6.0833,53.05,670,6.1333,52.4,11780
BE017,FR023,2,Vanellus vanellus,4.9333,51.1833,91,-1.8167,47.2667,21400
BE004,NL023,2,Vanellus vanellus,3.1833,51.35,230,4,51.8333,430
DK100,DK111,2,Vanellus vanellus,11.3333,55.5833,2890,12.5333,55.5833,6210
NL048,NL049,2,Vanellus vanellus,6.0333,51.8833,6460,5.6667,51.95,2480
BE003,BE012,2,Vanellus vanellus,2.8333,51,5100,4.35,51.2667,194
FR117,NL088,2,Vanellus vanellus,0.0667,45.9667,9050,5.6333,51.3833,1630
BE012,BE014,2,Vanellus vanellus,4.35,51.2667,194,4.5667,51.3833,4100
FR101,NL094,2,Vanellus vanellus,-1,45.95,5400,5.8333,52.1667,91800
BE011,FR045,2,Vanellus vanellus,4.25,51.3167,7570,0.3,49.4333,21100
BE010,BE017,2,Vanellus vanellus,4.1,51.05,7923,4.9333,51.1833,91
BE010,FR051,2,Vanellus vanellus,4.1,51.05,7923,1.7,50.2667,5550
BE017,NL106,2,Vanellus vanellus,4.9333,51.1833,91,5.2667,51.5667,1150
BE017,FR061,2,Vanellus vanellus,4.9333,51.1833,91,3.4333,50.4333,11150
BE017,FR190,2,Vanellus vanellus,4.9333,51.1833,91,-0.5333,43.3667,3200
BE017,FR130,2,Vanellus vanellus,4.9333,51.1833,91,0.8667,47.4,510
FR112,NL094,2,Vanellus vanellus,0.6167,46.6333,2550,5.8333,52.1667,91800
BE018,ES270,2,Vanellus vanellus,5,51.3833,7075,-6.0833,38.5833,90000
NL038,NL044,2,Vanellus vanellus,5.25,52.5333,69700,5.2,52.3167,2670
BE017,FR045,2,Vanellus vanellus,4.9333,51.1833,91,0.3,49.4333,21100
ES226,NL056,2,Vanellus vanellus,-4.3333,37.4167,63000,5.9167,53.0333,1260
BE018,FR023,2,Vanellus vanellus,5,51.3833,7075,-1.8167,47.2667,21400
BE017,NL087,2,Vanellus vanellus,4.9333,51.1833,91,5.8167,51.3333,1350
BE021,FR025,2,Vanellus vanellus,5.3333,51.1167,8864,-1.9167,46.9,47000
ES255,NL056,2,Vanellus vanellus,-5.9167,36.6167,22000,5.9167,53.0333,1260
BE003,FR045,2,Vanellus vanellus,2.8333,51,5100,0.3,49.4333,21100
NL056,PT026,2,Vanellus vanellus,5.9167,53.0333,1260,-7.2,39.0333,5049
DK111,ES204,2,Vanellus vanellus,12.5333,55.5833,6210,-4.3333,39.5,324500
ES276,NL094,2,Vanellus vanellus,-6.8333,38.8333,79000,5.8333,52.1667,91800
DK111,DK130,2,Vanellus vanellus,12.5333,55.5833,6210,11.4666,55.0666,135300
NL039,NL040,2,Vanellus vanellus,5.75,52.6,3900,5.9667,52.6333,2180
BE018,NL106,2,Vanellus vanellus,5,51.3833,7075,5.2667,51.5667,1150
FR033,NL028,2,Vanellus vanellus,-1,46.3333,77900,3.9333,51.5833,36880
DK111,FR109,2,Vanellus vanellus,12.5333,55.5833,6210,-0.5667,46.4,12500
FR033,NL001,2,Vanellus vanellus,-1,46.3333,77900,5.3833,53.3,272100
