from,to,species_label,individuals
AL001,SE061,0072,1
AL001,DE044,0072,1
AL001,NL079,0072,1
AL001,DK007,0072,1
AL001,EE067,0072,1
AL001,EE030,0072,1
AL001,AT004,0144,1
AL001,CH014,0186,1
AL001,DE452,0429,1
AL001,LT030,0429,1
AL001,HU012,0582,1
AL001,FI078,0582,1
AL003,EE030,0072,1
AL003,LV022,0582,1
AL004,GR020,0089,2
AL004,GR028,0089,1
AL004,GR023,0089,1
AL005,FI075,0606,1
AL006,DK036,0072,2
AL006,DK071,0072,1
AL006,DE044,0072,1
AL006,NL034,0072,1
AL006,HU012,0121,1
AL006,DE257,0182,1
AL006,HU026,0582,1
AL006,FI080,0606,1
AL007,DK036,0072,2
AL007,SE073,0072,1
AL007,AT003,0121,1
AL007,HU030,0161,1
AL007,DE257,0182,1
AL007,IT062,0186,1
AL007,NL096,0189,1
AL007,IT062,0191,1
AL007,ES321,0455,1
AL007,FI075,0606,1
AL012,DK036,0072,1
AL012,DK071,0072,1
AL012,HU004,0144,1
AL012,IT082,0191,1
AL014,PL032,0072,1
AL014,FI080,0606,2
AL014,SE064,0606,1
AL015,IT193,0184,1
AL015,HU030,0186,1
AL015,IT193,0429,1
AL015,SE055,0512,1
AL015,PL056,0545,1
AL015,FI045,0606,1
AL015,FI027,0606,1
AT001,SE073,0072,1
AT001,CZ008,0122,1
AT001,AT033,0122,1
AT001,SI013,0122,1
AT001,IT133,0124,1
AT001,IT091,0124,1
AT001,AT010,0124,1
AT001,AT003,0134,2
AT001,HR009,0134,1
AT001,AT002,0134,1
AT001,AT003,0144,1
AT001,HU026,0144,1
AT001,HU002,0144,1
AT001,HU015,0152,2
AT001,AT003,0152,1
AT001,AT002,0152,1
AT001,PL061,0152,1
AT001,NL045,0157,2
AT001,HU003,0159,1
AT001,DE160,0159,1
AT001,CZ010,0159,1
AT001,HU004,0159,1
AT001,PL059,0159,1
AT001,DE137,0159,1
AT001,BE017,0159,1
AT001,AT003,0161,25
AT001,PL054,0161,7
AT001,DK008,0161,6
AT001,PL032,0161,3
AT001,PL035,0161,2
AT001,CZ008,0161,2
AT001,DE151,0161,1
AT001,AT002,0161,1
AT001,CZ009,0161,1
AT001,PL041,0161,1
AT001,BG077,0184,1
AT001,IT052,0184,1
AT001,FR234,0184,1
AT001,NL044,0184,1
AT001,IT193,0186,1
AT001,AT003,0186,1
AT001,IT082,0186,1
AT001,IT193,0429,1
AT001,IT062,0429,1
AT001,IT074,0456,1
AT001,IT123,0456,1
AT001,IT071,0456,1
AT001,ES148,0456,1
AT001,DE289,0456,1
AT001,AT017,0469,1
AT001,DE196,0469,1
AT001,FR239,0477,1
AT001,IT077,0477,1
AT001,FR051,0485,1
AT001,FR032,0493,2
AT001,AT003,0493,2
AT001,IT072,0493,1
AT001,ES140,0493,1
AT001,FR198,0493,1
AT001,BE018,0493,1
AT001,FR239,0493,1
AT001,ES205,0493,1
AT001,FR069,0493,1
AT001,FR110,0493,1
AT001,ES208,0493,1
AT001,FR061,0493,1
AT001,FR190,0493,1
AT001,IT027,0493,1
AT001,UK077,0496,1
AT001,FR235,0501,1
AT001,IT064,0501,1
AT001,SE055,0509,1
AT001,PL012,0509,1
AT001,PL012,0512,6
AT001,PL013,0512,5
AT001,IT071,0512,3
AT001,SE055,0512,2
AT001,FR159,0512,1
AT001,PL058,0512,1
AT001,BY036,0512,1
AT001,IT062,0512,1
AT001,DE288,0512,1
AT001,UA092,0512,1
AT001,FR245,0512,1
AT001,IT064,0512,1
AT001,EE067,0512,1
AT001,FR032,0517,1
AT001,FR051,0519,3
AT001,FR239,0519,2
AT001,FR147,0519,2
AT001,FR094,0519,1
AT001,ES148,0519,1
AT001,FR045,0519,1
AT001,FR014,0519,1
AT001,IT022,0519,1
AT001,FR212,0519,1
AT001,FR252,0519,1
AT001,FR150,0519,1
AT001,FR159,0519,1
AT001,IT023,0519,1
AT001,IT071,0519,1
AT001,FR234,0519,1
AT001,BG099,0546,1
AT001,SE055,0554,3
AT001,PL012,0554,2
AT001,DE196,0554,1
AT001,IT072,0582,14
AT001,IT070,0582,6
AT001,IT073,0582,6
AT001,IT064,0582,4
AT001,IT061,0582,3
AT001,HU032,0582,2
AT001,IT071,0582,2
AT001,ES148,0582,2
AT001,IT062,0582,2
AT001,HU014,0582,2
AT001,HR020,0582,2
AT001,IT075,0582,2
AT001,IT193,0582,2
AT001,SK007,0582,1
AT001,IT153,0582,1
AT001,HU022,0582,1
AT001,AT055,0582,1
AT001,IT063,0582,1
AT001,AT002,0582,1
AT001,HU026,0582,1
AT001,FR227,0582,1
AT001,BE018,0582,1
AT001,CZ010,0582,1
AT001,FR109,0582,1
AT001,BA001,0582,1
AT001,IT068,0582,1
AT001,IT159,0582,1
AT001,AT003,0582,1
AT001,IT091,0582,1
AT001,IT069,0582,1
AT001,HR023,0582,1
AT001,CH006,0582,1
AT001,HU002,0582,1
AT001,IT076,0582,1
AT001,AT003,0615,5
AT001,IT036,0615,1
AT001,HU003,0615,1
AT001,AT002,0615,1
AT002,SE049,0072,1
AT002,HU004,0104,1
AT002,AT017,0104,1
AT002,HU011,0121,1
AT002,SK007,0121,1
AT002,AT003,0124,2
AT002,AT004,0134,2
AT002,AT003,0134,1
AT002,HU003,0134,1
AT002,AT003,0152,9
AT002,PL054,0152,2
AT002,SK004,0152,2
AT002,HU004,0152,1
AT002,AT015,0152,1
AT002,DE304,0152,1
AT002,NL054,0159,1
AT002,CZ009,0161,4
AT002,CZ008,0161,3
AT002,AT003,0161,3
AT002,AT004,0161,2
AT002,PL054,0161,2
AT002,HR021,0161,1
AT002,PL032,0161,1
AT002,SK007,0161,1
AT002,PL032,0186,1
AT002,FI028,0194,1
AT002,IT203,0407,1
AT002,FR220,0407,1
AT002,FR267,0407,1
AT002,ES137,0407,1
AT002,FR234,0407,1
AT002,AT049,0408,1
AT002,HU001,0410,1
AT002,IT070,0410,1
AT002,IT193,0429,1
AT002,FR055,0493,1
AT002,IT017,0519,1
AT002,FR234,0554,1
AT002,AT003,0582,2
AT003,SE073,0072,1
AT003,FR239,0119,1
AT003,HR001,0121,3
AT003,SK007,0121,2
AT003,IT061,0121,1
AT003,CZ012,0121,1
AT003,HU015,0121,1
AT003,CZ010,0121,1
AT003,HU002,0121,1
AT003,HU008,0121,1
AT003,IT064,0121,1
AT003,AT010,0121,1
AT003,HU006,0121,1
AT003,SI012,0121,1
AT003,IT062,0121,1
AT003,HR013,0121,1
AT003,HU003,0121,1
AT003,AT006,0121,1
AT003,PL018,0122,1
AT003,IT205,0122,1
AT003,HU010,0122,1
AT003,AT010,0122,1
AT003,FR029,0122,1
AT003,HR020,0122,1
AT003,AT043,0122,1
AT003,AT020,0122,1
AT003,IT203,0122,1
AT003,IT062,0122,1
AT003,AT017,0124,1
AT003,HU005,0124,1
AT003,HU003,0124,1
AT003,AT024,0124,1
AT003,GR012,0124,1
AT003,CY007,0124,1
AT003,IT094,0124,1
AT003,AT004,0134,3
AT003,HU003,0134,3
AT003,AT012,0134,1
AT003,AT006,0134,1
AT003,HU004,0134,1
AT003,DE590,0134,1
AT003,CZ007,0134,1
AT003,DE228,0134,1
AT003,BG095,0134,1
AT003,HU012,0134,1
AT003,CZ010,0134,1
AT003,CZ009,0134,1
AT003,HU005,0134,1
AT003,HU011,0144,2
AT003,HU002,0144,1
AT003,PL070,0144,1
AT003,AT015,0152,17
AT003,SK004,0152,15
AT003,SI012,0152,4
AT003,HU004,0152,4
AT003,AT004,0152,3
AT003,HU005,0152,3
AT003,SK007,0152,1
AT003,HU018,0152,1
AT003,SI006,0152,1
AT003,HU015,0152,1
AT003,HU006,0152,1
AT003,AT044,0152,1
AT003,PL052,0152,1
AT003,CZ014,0152,1
AT003,NL058,0157,1
AT003,NL051,0157,1
AT003,CZ009,0161,23
AT003,CZ008,0161,19
AT003,CZ010,0161,10
AT003,AT004,0161,5
AT003,PL054,0161,3
AT003,PL032,0161,3
AT003,DE044,0161,3
AT003,DE304,0161,3
AT003,AT010,0161,2
AT003,DK008,0161,2
AT003,IT096,0161,1
AT003,DK087,0161,1
AT003,NL009,0161,1
AT003,IT069,0161,1
AT003,IT193,0161,1
AT003,HU032,0161,1
AT003,EE067,0161,1
AT003,DE040,0161,1
AT003,DK083,0161,1
AT003,DE313,0161,1
AT003,IT072,0161,1
AT003,DE363,0161,1
AT003,DE151,0161,1
AT003,IT098,0161,1
AT003,FI079,0179,1
AT003,NL094,0184,1
AT003,IT147,0186,1
AT003,IT193,0186,1
AT003,RU222,0186,1
AT003,HU003,0186,1
AT003,HU001,0186,1
AT003,AT014,0186,1
AT003,SK002,0186,1
AT003,PL032,0186,1
AT003,UK001,0191,1
AT003,IT064,0194,1
AT003,FR014,0407,1
AT003,FR234,0407,1
AT003,IT061,0407,1
AT003,IT070,0456,1
AT003,GR029,0456,1
AT003,IT188,0456,1
AT003,AT013,0456,1
AT003,IT075,0456,1
AT003,IT203,0456,1
AT003,GR044,0456,1
AT003,BG035,0456,1
AT003,IT074,0456,1
AT003,IT071,0477,1
AT003,IT078,0493,1
AT003,HU003,0493,1
AT003,ES287,0493,1
AT003,PT026,0519,1
AT003,IT072,0546,1
AT003,LT003,0556,1
AT003,HU026,0575,1
AT003,FR005,0575,1
AT003,IT072,0582,9
AT003,IT064,0582,8
AT003,IT071,0582,5
AT003,IT022,0582,2
AT003,IT062,0582,2
AT003,NL094,0582,2
AT003,FR213,0582,1
AT003,IT069,0582,1
AT003,CZ007,0582,1
AT003,BE004,0582,1
AT003,FR240,0582,1
AT003,ES148,0582,1
AT003,IT203,0582,1
AT003,IT185,0582,1
AT003,DE246,0582,1
AT003,IT061,0582,1
AT003,SK002,0615,1
AT003,HU022,0615,1
AT003,HU014,0615,1
AT003,FR239,0627,1
AT004,HR001,0121,1
AT004,HU003,0121,1
AT004,CZ012,0121,1
AT004,HU002,0121,1
AT004,BA001,0121,1
AT004,HU014,0121,1
AT004,IT072,0121,1
AT004,SK002,0122,3
AT004,HU007,0122,2
AT004,AT010,0122,2
AT004,AT017,0122,1
AT004,UA056,0122,1
AT004,HU003,0122,1
AT004,AT018,0122,1
AT004,DE098,0122,1
AT004,IT117,0122,1
AT004,IT067,0122,1
AT004,IT066,0122,1
AT004,DE423,0122,1
AT004,IT205,0122,1
AT004,PL073,0122,1
AT004,SI006,0124,1
AT004,IT166,0144,1
AT004,GR081,0144,1
AT004,IT145,0144,1
AT004,IT153,0144,1
AT004,IT193,0144,1
AT004,AT006,0144,1
AT004,FI096,0161,1
AT004,PL032,0161,1
AT004,DE257,0182,1
AT004,NL051,0191,1
AT006,HU004,0122,1
AT007,DE601,0134,1
AT007,NL041,0517,1
AT007,FR198,0529,1
AT008,DE406,0152,1
AT008,DE137,0152,1
AT008,LT030,0582,1
AT008,AT015,0582,1
AT008,FI078,0582,1
AT008,RU225,0582,1
AT008,CH005,0582,1
AT008,FI092,0582,1
AT009,AT015,0152,29
AT009,PL036,0152,2
AT009,PL054,0152,1
AT009,CZ008,0152,1
AT009,PL044,0152,1
AT009,AT015,0582,3
AT009,LV022,0582,2
AT009,CH005,0582,2
AT009,FI078,0582,2
AT009,SE060,0582,1
AT010,DK036,0072,1
AT010,PL061,0134,1
AT010,AT015,0152,1
AT010,PL032,0161,1
AT010,CZ008,0161,1
AT010,PL052,0186,1
AT010,DE257,0407,1
AT012,ES244,0541,1
AT013,SE049,0072,1
AT013,FI080,0072,1
AT013,AT042,0134,1
AT013,DE139,0152,1
AT014,SE073,0072,1
AT014,HU026,0582,1
AT014,SE050,0582,1
AT015,SE073,0072,1
AT015,SE069,0072,1
AT015,PL021,0122,1
AT015,PL052,0152,4
AT015,AT033,0152,4
AT015,PL061,0152,3
AT015,CZ014,0152,3
AT015,PL054,0152,3
AT015,DE205,0152,3
AT015,DE317,0152,2
AT015,SK004,0152,2
AT015,CZ012,0152,2
AT015,DE456,0152,2
AT015,DE474,0152,2
AT015,HU005,0152,1
AT015,CZ008,0152,1
AT015,DE293,0152,1
AT015,CZ015,0152,1
AT015,HU018,0152,1
AT015,PL012,0152,1
AT015,DE045,0152,1
