species_label,species_name,individuals,records
0002,Gavia stellata,40,80
0003,Gavia arctica,6,12
0007,Tachybaptus ruficollis,53,107
0009,Podiceps cristatus,47,94
0010,Podiceps grisegena,4,8
0011,Podiceps auritus,1,2
0012,Podiceps nigricollis,18,36
0071,Morus bassanus,80,160
0072,Phalacrocorax carbo,6110,12626
0080,Phalacrocorax aristotelis,488,977
0089,Pelecanus crispus,5,10
0095,Botaurus stellaris,92,185
0098,Ixobrychus minutus,26,52
0104,Nycticorax nycticorax,51,102
0108,Ardeola ralloides,5,10
0111,Bubulcus ibis,37,74
0119,Egretta garzetta,79,160
0121,Egretta alba,48,96
0122,Ardea cinerea,4179,8393
0124,Ardea purpurea,288,576
0131,Ciconia nigra,28,63
0134,Ciconia ciconia,5880,13537
0136,Plegadis falcinellus,12,24
0144,Platalea leucorodia,441,995
0147,Phoenicopterus ruber,137,281
0152,Cygnus olor,13966,35646
0153,Cygnus columbianus,251,780
0154,Cygnus cygnus,278,927
0157,Anser fabalis,1025,2628
0158,Anser brachyrhynchus,380,767
0159,Anser albifrons,4882,16509
0160,Anser erythropus,18,38
0161,Anser anser,2902,9652
0166,Branta canadensis,413,841
0167,Branta leucopsis,502,1086
0168,Branta bernicla,133,271
0170,Alopochen aegyptiaca,2,4
0173,Tadorna tadorna,592,1186
0178,Aix galericulata,7,14
0179,Anas penelope,1391,2784
0182,Anas strepera,603,1208
0184,Anas crecca,9653,19364
0186,Anas platyrhynchos,16065,32494
0189,Anas acuta,1534,3074
0191,Anas querquedula,402,804
0194,Anas clypeata,1030,2065
0196,Netta rufina,88,176
0198,Aythya ferina,936,1872
0202,Aythya nyroca,4,8
0203,Aythya fuligula,1615,3240
0204,Aythya marila,29,58
0206,Somateria mollissima,5880,11831
0209,Polysticta stelleri,1,2
0212,Clangula hyemalis,2,4
0213,Melanitta nigra,10,20
0215,Melanitta fusca,40,80
0218,Bucephala clangula,67,134
0220,Mergus albellus,2,4
0221,Mergus serrator,61,122
0223,Mergus merganser,51,102
0225,Oxyura jamaicensis,2,4
0226,Oxyura leucocephala,1,2
0407,Rallus aquaticus,86,172
0408,Porzana porzana,26,52
0410,Porzana parva,2,4
0421,Crex crex,15,30
0424,Gallinula chloropus,521,1046
0427,Porphyrio porphyrio,2,4
0429,Fulica atra,1457,2964
0433,Grus grus,405,1309
0450,Haematopus ostralegus,5492,11099
0455,Himantopus himantopus,21,42
0456,Recurvirostra avosetta,592,1245
0469,Charadrius dubius,107,215
0470,Charadrius hiaticula,755,1523
0477,Charadrius alexandrinus,108,222
0485,Pluvialis apricaria,692,1384
0486,Pluvialis squatarola,156,316
0493,Vanellus vanellus,2496,4995
0496,Calidris canutus,945,1902
0497,Calidris alba,175,352
0501,Calidris minuta,219,441
0502,Calidris temminckii,34,69
0509,Calidris ferruginea,248,497
0510,Calidris maritima,10,21
0512,Calidris alpina,8566,17267
0514,Limicola falcinellus,9,20
0517,Philomachus pugnax,560,1121
0518,Lymnocryptes minimus,48,96
0519,Gallinago gallinago,1266,2536
0520,Gallinago media,1,2
0529,Scolopax rusticola,269,538
0532,Limosa limosa,437,888
0534,Limosa lapponica,190,383
0538,Numenius phaeopus,141,282
0541,Numenius arquata,607,1216
0543,Numenius madagascariensis,1,2
0545,Tringa erythropus,111,222
0546,Tringa totanus,2154,4317
0548,Tringa nebularia,118,238
0553,Tringa ochropus,50,100
0554,Tringa glareola,523,1047
0555,Xenus cinereus,4,8
0556,Actitis hypoleucos,334,669
0561,Arenaria interpres,317,642
0564,Phalaropus lobatus,1,2
0567,Stercorarius parasiticus,10,20
0569,Stercorarius skua,77,154
0575,Larus melanocephalus,443,1190
0578,Larus minutus,22,44
0582,Larus ridibundus,28883,61463
0585,Larus genei,9,18
0588,Larus audouinii,522,1120
0590,Larus canus,5173,10433
0591,Larus fuscus,2396,4895
0592,Larus argentatus,20508,48227
0599,Larus hyperboreus,1,2
0600,Larus marinus,1731,3503
0602,Rissa tridactyla,206,430
0605,Gelochelidon nilotica,14,30
0606,Hydroprogne caspia,350,701
0611,Thalasseus sandvicensis,1485,3021
0614,Sterna dougallii,144,288
0615,Sterna hirundo,1317,2675
0616,Sterna paradisaea,605,1260
0624,Sternula albifrons,346,719
0626,Chlidonias hybrida,7,14
0627,Chlidonias niger,97,197
0628,Chlidonias leucopterus,1,2
0634,Uria aalge,1836,3674
0635,Uria lomvia,1,2
0636,Alca torda,610,1220
0638,Cepphus grylle,246,492
0645,Synthliboramphus antiquus,1,2
0654,Fratercula arctica,39,78
