iba_label,iba_name,longitude,latitude,area_ha
AL001,Lake Shkodra (Lake Scadar),19.3333,42.1667,14000
AL003,Lake Megali Prespa,20.95,40.8833,10000
AL005,Narta Lagoon,19.3833,40.5833,4180
AL006,Karavasta Lagoon,19.4167,40.8833,5450
AL007,Drini Delta,19.6167,41.7833,2188
AL012,Lake Butrinti,20,39.8333,1900
AL014,Patoku lagoon,19.6,41.6333,1211
AL015,Lalzi Bay,19.5,41.3,800
AT001,Austrian part of Hanság,16.9666,47.7333,3729
AT002,Parndorfer Platte and Heideboden,16.9666,47.95,26839
AT003,Southern Seewinkel and Zitzmannsdorfer,16.8333,47.75,13995
AT004,Neusiedler See,16.7666,47.8166,25187
AT006,North-eastern Leithagebirge,16.7,47.9666,6320
AT007,Surroundings of Mattersburg,16.4166,47.7333,4064
AT008,Zoological Gardens of Lainz,16.2166,48.1666,2669
AT009,Lobau,16.5166,48.1666,2585
AT010,March/Thaya riverine forest,16.8333,48.4333,15457
AT012,Feuchte Ebene and Rauchwarther Platte,16.5,48.0166,8156
AT013,Steinfeld,16.2333,47.8333,13300
AT014,Thermenlinie,16.1666,47.9666,15106
AT015,Vienna forest,16.2666,48.2,83563
AT016,Western Weinviertel,15.9666,48.65,31613
AT017,Central Marchfeld,16.7166,48.25,44138
AT018,Riverine forests in the Tullnerfeld,15.9666,48.35,18352
AT019,Lösslandschaft and Wagram east of Krems,15.6,48.4333,14158
AT020,Pielachtal,15.4333,48.2166,1907
AT024,Middle Kamp valley,15.5666,48.6333,22412
AT027,Western Waldviertel,14.9666,48.6333,41198
AT028,Niederösterreichische Randalpen,15.5666,48.0166,20232
AT029,Ötscher-Dürrenstein,15.1166,47.8333,41260
AT031,Freiwald,14.7333,48.6166,53654
AT032,Bohemian forest and Mühl valley,13.9833,48.6833,22302
AT033,Northern Kalkalpen,14.1333,48.2,131535
AT034,Lower course of the Traun,13.9666,48.05,3010
AT035,Ibmer Moor,12.95,48.05,1090
AT036,Salzach valley,12.8333,48.0333,3781
AT037,Storage lakes on the lower Inn,13.2,48.3,1699
AT038,Meadows and lakes in the foreland of th,13.1666,47.95,1390
AT039,Hohe Tauern National Park,12.7833,47.05,183600
AT041,Styrian Joglland,15.9166,47.4,52607
AT042,Unterlammer hill country,16.05,46.9833,6500
AT043,South-east Styrian hill country,15.9167,46.8,10500
AT044,Lower Mur valley,15.8167,46.7333,13600
AT046,Niedere Tauern,14.3,47.3166,253560
AT047,Villacher Alpe-Dobratsch,13.7166,46.6666,8776
AT050,Kaisergebirge,12.2666,47.6,18639
AT051,Tyrolian Lech valley,10.5333,47.4666,4138
AT054,Meadows on the lower Ill,9.55,47.2833,266
AT055,Delta of the Rhine,9.66666,47.4333,3652
AZ033,Yashma Island,49.5333,40.7333,250
AZ039,Sangachal Bay,49.5,40.15,4000
AZ048,Gizilagach State Reserve,49.05,39.0833,132500
BA001,Hutovo blato,17.7667,43.05,6144
BA003,Bardaca,17.45,45.1167,700
BE001,Trappegeer-Stroombank,2.75,51.2,17000
BE002,Westkust,2.6667,51.1333,1415
BE003,IJzervallei-De Blankaart,2.8333,51,5100
BE004,Voorhaven Zeebrugge and Baai van Heist,3.1833,51.35,230
BE005,Polderkomplex,3.2167,51.25,9349
BE006,Zwin,3.35,51.3333,1820
BE007,Krekengebied,3.6667,51.25,780
BE008,Bourgoyen-Ossemeersen,3.6833,51.0667,213
BE009,Gentse Kanaalzone,3.7333,51.0833,700
BE010,Durme en Middenloop van de Schelde,4.1,51.05,7923
BE011,Schorren en Polder van de Beneden-Schel,4.25,51.3167,7570
BE012,Kuifeend and Blokkersdijk,4.35,51.2667,194
BE013,Kalmthoutse Heide,4.4333,51.4,2200
BE014,De Maatjes,4.5667,51.3833,4100
BE015,Mechels Rivierengebied,4.5167,51.0167,2263
BE016,De Dijlevallei,4.6,50.7833,1250
BE017,Zegge,4.9333,51.1833,91
BE018,Gebieden ten noorden van Turnhout en Ra,5,51.3833,7075
BE019,Ronde Put,5.1833,51.2833,5400
BE020,Demervallei,5.1833,51.0167,7010
BE021,Vallei van de Zwarte Beek,5.3333,51.1167,8864
BE022,Gebieden gelegen te Peer en Hechtel-Eks,5.4167,51.1167,10015
BE023,Hamonterheide,5.5833,51.1667,13125
BE024,Grensmaas,5.8333,51.15,2653
BE025,Gebieden gelegen te Houthalen-Helchtere,5.4333,51.05,2798
BE026,Vijverkomplex van Midden Limburg,5.3,50.9667,2560
BE027,Bokrijk,5.4,50.95,800
BE028,De Maten,5.45,50.95,600
BE029,Mechelse Heide en de Vallei van de Ziep,5.6333,50.95,2350
BE030,Bassin de la Haine,3.7333,50.4833,13715
BE031,Vallée de la Dyle,4.6,50.7167,1334
BE032,Entre-Sambre-et-Meuse,4.4667,50.0833,83866
BE033,Haute Meuse,4.9167,50.25,7700
BE034,Croix-Scaille,4.9667,49.9333,36610
BE035,Daverdisse,5.1,50.0333,14914
BE036,Lesse et Lomme,5.1667,50.1167,22426
BE037,Marche en Famenne,5.4167,50.3,5100
BE038,Saint-Hubert,5.4,50.0833,16700
BE039,Ochamp-Freux,5.3833,49.95,10900
BE040,Malchamps,5.65,50.4,41638
BE041,Vallée de la Lienne,5.7833,50.3333,8500
BE043,Wanne-Logbiermé,5.95,50.3167,5700
BE044,Hautes Fagnes/Eifel,6.25,50.4,80304
BE045,Deux Ourthes,5.7667,50.0833,34678
BE046,Haute Sûre/Ardenne méridionale,5.4667,49.7333,89443
BG001,Rayanovtsi,23.0611,42.9341,13180
BG002,Western Balkan,22.8266,43.4666,146820
BG004,Dolni Bogrov-Kazichene,23.4963,42.6783,2251
BG011,Central Balkan,24.9672,42.7172,166678
BG013,Studen Kladenets,25.5319,41.625,15996
BG015,Konush Reservoir,25.0355,42.0797,38
BG016,Plovdiv Fish-ponds,24.7583,42.1869,146
BG018,Vardim Island,25.4788,43.6313,1168
BG020,Radinchevo,26.0794,41.9108,5786
BG021,Sakar,26.328,42.0105,125707
BG023,Ovtcharitsa Reservoir,26.1855,42.2647,4304
BG029,Kotlenska Mountain,26.4236,42.865,99264
BG030,Kalimok Complex,26.4283,44.0252,9432
BG031,Stenata,26.5641,44.0255,80
BG032,Pozharevo Island,26.6977,44.0638,976
BG033,Srebarna,27.0736,44.1161,1448
BG034,Mandra-Poda complex,27.3825,42.4166,5988
BG035,Burgasko Lake,27.3883,42.4994,3092
BG038,Provadiysko-Royaksko plateau,27.2744,43.1719,84030
BG039,Harsovska Reka,27.3786,43.9091,35429
BG040,Strandzha,27.6477,42.0725,115417
BG043,Emine,27.7316,42.7444,68811
BG047,Varna-Beloslav Lakes Complex,27.8058,43.1925,4682
BG055,Rila,23.5216,42.1077,143733
BG057,Besaparski Hills,24.3863,42.12,14765
BG060,Galata,27.8925,43.118,8137
BG062,Ludogorie,26.7608,43.8033,91389
BG067,Golia Island,22.9883,44.0161,415
BG069,Zvanichevo Fish-ponds,24.2769,42.2005,1571
BG073,Dobrostan,25.0286,41.7594,83616
BG074,Nikopolsko Plateau,24.948,43.6386,22260
BG077,Bakarlaka,27.6188,42.4577,33505
BG080,Vitosha Mountain,23.2686,42.5583,27111
BG081,Maritsa-Parvomay,25.2216,42.1286,11505
BG082,Batova,27.9591,43.353,38133
BG084,Palakaria,23.4027,42.3683,15809
BG086,Tsalapitsa Rice-fields,24.5577,42.2136,3672
BG088,Mikre Meadows,24.5911,43.0177,12387
BG094,Adata-Tundzha,26.4172,42.5663,5636
BG095,Gorni Dabnik-Telish Reservoir,24.308,43.3627,3398
BG096,Obnova Fish-ponds,24.9791,43.4605,5422
BG098,Rupite,23.2772,41.4752,8837
BG099,Kocherinovo Meadows,23.0836,42.0916,2435
BG103,Zlato Pole,25.7213,42.0291,409
BG107,Boboshevo Meadows,22.9911,42.1258,4835
BG109,Vasilyovska Mountain,24.3161,42.9808,45472
BG114,Chelopechene Fish-ponds,23.4569,42.7408,65
BY001,Osveya,28.0167,56.1,22600
BY002,Elnya raised bog,27.9167,55.5667,23200
BY003,Kozyany,29.3667,55.4167,26060
BY004,Golubickaya Pushcha,28.05,55,20452
BY009,Belovezhskaya Pushcha,24.0667,52.75,87400
BY011,Selets,24.9167,52.9666,19500
BY012,Vygonoshchanskoe,26,52.6667,43000
BY016,Zvanets,24.8333,52.0833,15873
BY017,Mid-Pripyat,27,52.25,90447
BY018,Olmany,27.25,51.8333,94219
BY019,Beloe fish-farm,27.7333,52.2833,5700
BY021,Flood-plain of Sozh river,31.1333,52.6666,13400
BY022,Sporovski,25.3333,52.3833,19384
BY023,Belooziorsk-Khovanschina,25.2833,54.5666,26500
BY030,Floodplain of Lva river,27.3,51.9833,56000
BY031,Floodplain of Ptich River,20.8166,52.8333,4136
BY036,Pripyatski,28,52,82461
BY038,Servech,27.5,55,9268
BY041,Tikiny ostrova,27.45,55.6,26500
BY042,Vasilevichi,29.8166,52.15,187000
BY045,Yanka River Floodplain,27.0333,55.3166,20170
CH001,Mont Tendre,6.2667,46.55,31000
CH002,La Brévine and Les Ponts-de-Martel,6.7333,46.9667,23200
CH003,Jura mountains of Baselland/Solothurn,7.65,47.4333,35000
CH004,Grosses Moos' plain and Niederried rese,7.1833,46.9667,16100
CH005,Lowlands of Zurich and lower valley of,8.5667,47.5333,22700
CH006,River Rhone: Geneva to Verbois reservoi,6.1,46.1833,1100
CH007,Lake Geneva: Versoix and Hermance to Ge,6.2,46.25,3400
CH008,Lake Geneva: Rolle to Céligny,6.2833,46.3833,1500
CH009,Lake Geneva: Grangettes,6.9,46.3667,6600
CH010,Lake Neuchâtel: Corcelettes-Vaumarcus,6.7333,46.8167,690
